"Date","Simple Date","Outdoor Temperature (°F)","Feels Like (°F)","Dew Point (°F)","Wind Speed (mph)","Wind Gust (mph)","Wind Direction (°)","Rain Rate (in/hr)","Daily Rain (in)","Relative Pressure (inHg)","Humidity (%)","Station Battery (V)","Absolute Pressure (inHg)"
2025-08-05T00:39:00-04:00,2025-08-05 00:39:00,70.2,70.9,65.1,3.8,6.9,128,0,0,30.31,84,,30.31
2025-08-05T00:24:00-04:00,2025-08-05 00:24:00,70.3,70.9,64.9,5.4,8.7,123,0,0,30.3,83,,30.3
2025-08-05T00:09:00-04:00,2025-08-05 00:09:00,70.7,71.3,64.9,5.8,9.2,118,0,0,30.3,82,4.29,30.3
2025-08-04T23:54:00-04:00,2025-08-04 23:54:00,70.3,70.9,64.9,6.7,11.9,117,0,0,30.3,83,,30.3
2025-08-04T23:39:00-04:00,2025-08-04 23:39:00,69.4,69.9,64,6.9,10.7,109,0,0,30.29,83,,30.29
2025-08-04T23:24:00-04:00,2025-08-04 23:24:00,67.5,67.5,63.2,2.9,6.7,129,0,0,30.29,86,,30.29
2025-08-04T23:09:00-04:00,2025-08-04 23:09:00,66.4,66.4,63.1,0,0,258,0,0,30.29,89,4.28,30.29
2025-08-04T22:54:00-04:00,2025-08-04 22:54:00,66.7,66.7,63,0,0,258,0,0,30.29,88,,30.29
2025-08-04T22:39:00-04:00,2025-08-04 22:39:00,67.1,67.1,62.8,0,0,258,0,0,30.28,86,,30.28
2025-08-04T22:24:00-04:00,2025-08-04 22:24:00,67.1,67.1,62.4,0,0,258,0,0,30.28,85,,30.28
2025-08-04T22:09:00-04:00,2025-08-04 22:09:00,67.3,67.3,63,0,0,258,0,0,30.27,86,4.29,30.27
2025-08-04T21:54:00-04:00,2025-08-04 21:54:00,67.5,67.5,62.5,0,0,258,0,0,30.27,84,,30.27
2025-08-04T21:39:00-04:00,2025-08-04 21:39:00,68,68,63,0,0,258,0,0,30.27,84,,30.27
2025-08-04T21:24:00-04:00,2025-08-04 21:24:00,68.2,68.7,63.2,0,2,258,0,0,30.26,84,,30.26
2025-08-04T21:09:00-04:00,2025-08-04 21:09:00,68.7,69.1,63,0,2,258,0,0,30.26,82,4.29,30.26
2025-08-04T20:54:00-04:00,2025-08-04 20:54:00,68.9,69.3,62.8,0,1.3,260,0,0,30.25,81,,30.25
2025-08-04T20:39:00-04:00,2025-08-04 20:39:00,69.1,69.5,63,0,0,260,0,0,30.24,81,,30.24
2025-08-04T20:24:00-04:00,2025-08-04 20:24:00,69.1,69.6,63.7,0,1.3,260,0,0,30.23,83,,30.23
2025-08-04T20:09:00-04:00,2025-08-04 20:09:00,69.4,69.8,63.3,0.4,2,260,0,0,30.22,81,4.29,30.22
2025-08-04T19:54:00-04:00,2025-08-04 19:54:00,69.8,70.2,63,1.8,2.5,260,0,0,30.22,79,,30.22
2025-08-04T19:39:00-04:00,2025-08-04 19:39:00,70.3,70.7,63.1,2.5,4,260,0,0,30.21,78,,30.21
2025-08-04T19:24:00-04:00,2025-08-04 19:24:00,70.9,71.3,63.3,1.8,3.6,260,0,0,30.2,77,,30.2
2025-08-04T19:09:00-04:00,2025-08-04 19:09:00,71.4,71.8,63.4,2.9,4.7,258,0,0,30.2,76,4.34,30.2
2025-08-04T18:54:00-04:00,2025-08-04 18:54:00,71.8,72.2,63.1,4.3,6.7,260,0,0,30.19,74,,30.19
2025-08-04T18:39:00-04:00,2025-08-04 18:39:00,72.1,72.4,63,4.7,8.3,281,0,0,30.19,73,,30.19
2025-08-04T18:24:00-04:00,2025-08-04 18:24:00,72.3,72.7,63.1,5.4,7.6,300,0,0,30.18,73,,30.18
2025-08-04T18:09:00-04:00,2025-08-04 18:09:00,72.5,72.8,62.9,4.5,7.2,302,0,0,30.18,72,4.47,30.18
2025-08-04T17:54:00-04:00,2025-08-04 17:54:00,72.3,72.7,63.1,4,5.8,302,0,0,30.18,73,,30.18
2025-08-04T17:39:00-04:00,2025-08-04 17:39:00,72.1,72.5,63.3,5.4,7.2,302,0,0,30.18,74,,30.18
2025-08-04T17:24:00-04:00,2025-08-04 17:24:00,72.1,72.4,63,6.9,9.2,303,0,0,30.18,73,,30.18
2025-08-04T17:09:00-04:00,2025-08-04 17:09:00,72.1,72.5,63.3,5.8,8.3,289,0,0,30.18,74,4.47,30.18
2025-08-04T16:54:00-04:00,2025-08-04 16:54:00,72,72.4,63.6,6.7,8.9,300,0,0,30.18,75,,30.18
2025-08-04T16:39:00-04:00,2025-08-04 16:39:00,71.8,72.3,64.2,7.4,10.3,300,0,0,30.18,77,,30.18
2025-08-04T16:24:00-04:00,2025-08-04 16:24:00,72,72.5,64,7.6,10.3,303,0,0,30.18,76,,30.18
2025-08-04T16:09:00-04:00,2025-08-04 16:09:00,72.1,72.5,63.3,8.7,11.4,301,0,0,30.17,74,4.47,30.17
2025-08-04T15:54:00-04:00,2025-08-04 15:54:00,72.5,72.9,63.7,7.2,10.3,303,0,0,30.17,74,,30.17
2025-08-04T15:39:00-04:00,2025-08-04 15:39:00,71.4,71.8,63.4,7.8,10.3,301,0,0,30.17,76,,30.17
2025-08-04T15:24:00-04:00,2025-08-04 15:24:00,71.6,72,63.2,9.2,11.6,307,0,0,30.17,75,,30.17
2025-08-04T15:09:00-04:00,2025-08-04 15:09:00,71.6,72,63.2,8.5,10.1,309,0,0,30.17,75,4.48,30.17
2025-08-04T14:54:00-04:00,2025-08-04 14:54:00,71.2,71.7,64,7.6,10.3,309,0,0,30.17,78,,30.17
2025-08-04T14:39:00-04:00,2025-08-04 14:39:00,70.2,70.7,63.7,9.6,13.2,306,0,0,30.17,80,,30.17
2025-08-04T14:24:00-04:00,2025-08-04 14:24:00,71.2,71.7,64,9.2,12.5,304,0,0,30.17,78,,30.17
2025-08-04T14:09:00-04:00,2025-08-04 14:09:00,71.1,71.6,64.2,7.4,10.5,303,0,0,30.17,79,4.47,30.17
2025-08-04T13:54:00-04:00,2025-08-04 13:54:00,70.9,71.4,64.1,8.3,10.7,306,0,0,30.18,79,,30.18
2025-08-04T13:39:00-04:00,2025-08-04 13:39:00,70.7,71.1,63.5,7.8,12.1,307,0,0,30.18,78,,30.18
2025-08-04T13:24:00-04:00,2025-08-04 13:24:00,70.5,71,64,8.7,11.6,306,0,0,30.18,80,,30.18
2025-08-04T13:09:00-04:00,2025-08-04 13:09:00,70.5,71,63.7,8.3,10.1,306,0,0,30.18,79,4.48,30.18
2025-08-04T12:54:00-04:00,2025-08-04 12:54:00,70.3,70.8,63.8,7.6,10.1,305,0,0,30.18,80,,30.18
2025-08-04T12:39:00-04:00,2025-08-04 12:39:00,70.7,71.2,63.9,7.2,9.8,303,0,0,30.18,79,,30.18
2025-08-04T12:24:00-04:00,2025-08-04 12:24:00,72,72.5,64.4,6.3,8.9,286,0,0,30.18,77,,30.18
2025-08-04T12:09:00-04:00,2025-08-04 12:09:00,71.6,72.2,64.7,3.1,7.2,266,0,0,30.19,79,4.57,30.19
2025-08-04T11:54:00-04:00,2025-08-04 11:54:00,70.3,70.9,64.5,3.4,5.6,321,0,0,30.19,82,,30.19
2025-08-04T11:39:00-04:00,2025-08-04 11:39:00,68.9,69.4,63.9,4.9,7.2,323,0,0,30.19,84,,30.19
2025-08-04T11:24:00-04:00,2025-08-04 11:24:00,70.3,70.8,63.8,4.9,8.5,292,0,0,30.19,80,,30.19
2025-08-04T11:09:00-04:00,2025-08-04 11:09:00,71.6,72.2,65.1,5.1,8.9,244,0,0,30.19,80,4.62,30.19
2025-08-04T10:54:00-04:00,2025-08-04 10:54:00,72.5,73.3,66.3,3.4,10.3,281,0,0,30.19,81,,30.19
2025-08-04T10:39:00-04:00,2025-08-04 10:39:00,72.3,72.9,65.4,2,3.4,245,0,0,30.19,79,,30.19
2025-08-04T10:24:00-04:00,2025-08-04 10:24:00,70.9,71.6,65.8,0.2,2.7,230,0,0,30.19,84,,30.19
2025-08-04T10:09:00-04:00,2025-08-04 10:09:00,70.5,71.2,65.1,0,0.9,230,0,0,30.19,83,4.58,30.19
2025-08-04T09:54:00-04:00,2025-08-04 09:54:00,71.1,71.6,63.9,0.7,1.8,220,0,0,30.19,78,,30.19
2025-08-04T09:39:00-04:00,2025-08-04 09:39:00,71.2,71.7,64,0,1.3,221,0,0,30.18,78,,30.18
2025-08-04T09:24:00-04:00,2025-08-04 09:24:00,70.7,71.2,63.9,0,0,225,0,0,30.18,79,,30.18
2025-08-04T09:09:00-04:00,2025-08-04 09:09:00,68.9,69.3,63.2,0,0,225,0,0,30.18,82,4.47,30.18
2025-08-04T08:54:00-04:00,2025-08-04 08:54:00,67.8,67.8,62.4,0,0,225,0,0,30.18,83,,30.18
2025-08-04T08:39:00-04:00,2025-08-04 08:39:00,66.9,66.9,62.2,0,1.1,225,0,0,30.18,85,,30.18
2025-08-04T08:24:00-04:00,2025-08-04 08:24:00,65.7,65.7,62,0,0.9,225,0,0,30.18,88,,30.18
2025-08-04T08:09:00-04:00,2025-08-04 08:09:00,64.8,64.8,61.8,0,0,225,0,0,30.18,90,4.31,30.18
2025-08-04T07:54:00-04:00,2025-08-04 07:54:00,63.9,63.9,61.8,0,0,225,0,0,30.18,93,,30.18
2025-08-04T07:39:00-04:00,2025-08-04 07:39:00,63.1,63.1,61.9,0,1.6,237,0,0,30.18,96,,30.18
2025-08-04T07:24:00-04:00,2025-08-04 07:24:00,62.4,62.4,61.8,0,1.3,269,0,0,30.18,98,,30.18
2025-08-04T07:09:00-04:00,2025-08-04 07:09:00,62.1,62.1,61.8,0,1.6,267,0,0,30.17,99,,30.17
2025-08-04T06:54:00-04:00,2025-08-04 06:54:00,61.3,61.3,61.3,0,0,267,0,0,30.17,100,,30.17
2025-08-04T06:39:00-04:00,2025-08-04 06:39:00,61.3,61.3,61.3,0,0,267,0,0,30.17,100,,30.17
2025-08-04T06:24:00-04:00,2025-08-04 06:24:00,61,61,61,0,1.6,267,0,0,30.17,100,4.25,30.17
2025-08-04T06:09:00-04:00,2025-08-04 06:09:00,61,61,61,0,1.3,267,0,0,30.17,100,,30.17
2025-08-04T05:54:00-04:00,2025-08-04 05:54:00,61.2,61.2,61.2,0,1.3,267,0,0,30.16,100,,30.16
2025-08-04T05:39:00-04:00,2025-08-04 05:39:00,61.5,61.5,61.2,0,0.9,271,0,0,30.16,99,,30.16
2025-08-04T05:24:00-04:00,2025-08-04 05:24:00,62.1,62.1,61.8,0,2,273,0,0,30.16,99,4.26,30.16
2025-08-04T05:09:00-04:00,2025-08-04 05:09:00,62.1,62.1,62.1,0,1.6,274,0,0,30.16,100,,30.16
2025-08-04T04:54:00-04:00,2025-08-04 04:54:00,61.7,61.7,61.4,0.2,1.6,274,0,0,30.15,99,,30.15
2025-08-04T04:39:00-04:00,2025-08-04 04:39:00,62.1,62.1,61.8,0.7,2.5,274,0,0,30.15,99,,30.15
2025-08-04T04:24:00-04:00,2025-08-04 04:24:00,62.1,62.1,61.8,0,2.2,274,0,0,30.15,99,4.27,30.15
2025-08-04T04:09:00-04:00,2025-08-04 04:09:00,62.1,62.1,61.5,0,0,274,0,0,30.15,98,,30.15
2025-08-04T03:54:00-04:00,2025-08-04 03:54:00,62.4,62.4,61.5,0,0,274,0,0,30.14,97,,30.14
2025-08-04T03:39:00-04:00,2025-08-04 03:39:00,62.8,62.8,61.9,0.2,2.2,274,0,0,30.14,97,,30.14
2025-08-04T03:24:00-04:00,2025-08-04 03:24:00,63.1,63.1,62.2,0.7,2.7,274,0,0,30.15,97,4.27,30.15
2025-08-04T03:09:00-04:00,2025-08-04 03:09:00,63,63,61.8,0.2,2.2,274,0,0,30.15,96,,30.15
2025-08-04T02:54:00-04:00,2025-08-04 02:54:00,63.1,63.1,61.9,0.2,2.5,274,0,0,30.15,96,,30.15
2025-08-04T02:39:00-04:00,2025-08-04 02:39:00,63.3,63.3,61.8,0.2,2,274,0,0,30.15,95,,30.15
2025-08-04T02:24:00-04:00,2025-08-04 02:24:00,63.5,63.5,62,1.3,4,274,0,0,30.15,95,4.27,30.15
2025-08-04T02:09:00-04:00,2025-08-04 02:09:00,63.9,63.9,62.1,1.8,4.7,274,0,0,30.15,94,,30.15
2025-08-04T01:54:00-04:00,2025-08-04 01:54:00,64,64,62.2,4.9,6.7,274,0,0,30.15,94,,30.15
2025-08-04T01:39:00-04:00,2025-08-04 01:39:00,64.2,64.2,61.8,1.6,6.5,274,0,0,30.15,92,,30.15
2025-08-04T01:24:00-04:00,2025-08-04 01:24:00,64.9,64.9,62.2,3.8,5.6,274,0,0,30.15,91,4.28,30.15
2025-08-04T01:09:00-04:00,2025-08-04 01:09:00,65.1,65.1,62.4,5.4,7.6,270,0,0,30.15,91,,30.15
2025-08-04T00:54:00-04:00,2025-08-04 00:54:00,65.5,65.5,62.8,5.8,9.8,285,0,0,30.15,91,,30.15
2025-08-04T00:39:00-04:00,2025-08-04 00:39:00,65.5,65.5,62.8,5.4,8.9,276,0,0,30.16,91,,30.16
2025-08-04T00:24:00-04:00,2025-08-04 00:24:00,65.7,65.7,62.7,5.1,7.6,266,0,0,30.16,90,4.29,30.16
2025-08-04T00:09:00-04:00,2025-08-04 00:09:00,66,66,62.7,4.9,9.2,285,0,0,30.16,89,,30.16
2025-08-03T23:54:00-04:00,2025-08-03 23:54:00,66,66,62.7,5.6,9.4,296,0,0,30.16,89,,30.16
2025-08-03T23:39:00-04:00,2025-08-03 23:39:00,65.8,65.8,62.5,5.1,9.6,296,0,0,30.16,89,,30.16
2025-08-03T23:24:00-04:00,2025-08-03 23:24:00,65.8,65.8,62.8,4.9,8.5,291,0,0,30.16,90,4.29,30.16
2025-08-03T23:09:00-04:00,2025-08-03 23:09:00,66,66,62.7,4.7,10.5,291,0,0,30.17,89,,30.17
2025-08-03T22:54:00-04:00,2025-08-03 22:54:00,66,66,62.7,6.3,10.5,295,0,0,30.16,89,,30.16
2025-08-03T22:39:00-04:00,2025-08-03 22:39:00,65.8,65.8,62.8,4.7,8.3,289,0,0,30.17,90,,30.17
2025-08-03T22:24:00-04:00,2025-08-03 22:24:00,65.7,65.7,62.4,5.8,9.8,273,0,0,30.17,89,4.29,30.17
2025-08-03T22:09:00-04:00,2025-08-03 22:09:00,65.8,65.8,62.5,6.7,10.7,268,0,0,30.17,89,,30.17
2025-08-03T21:54:00-04:00,2025-08-03 21:54:00,65.8,65.8,62.1,6.5,10.5,265,0,0,30.17,88,,30.17
2025-08-03T21:39:00-04:00,2025-08-03 21:39:00,65.8,65.8,62.1,7.4,12.5,269,0,0,30.17,88,,30.17
2025-08-03T21:24:00-04:00,2025-08-03 21:24:00,65.8,65.8,62.1,6,9.4,268,0,0,30.17,88,4.29,30.17
2025-08-03T21:09:00-04:00,2025-08-03 21:09:00,66,66,62.3,6.5,9.6,267,0,0,30.17,88,,30.17
2025-08-03T20:54:00-04:00,2025-08-03 20:54:00,66,66,62.3,5.1,8.3,262,0,0,30.17,88,,30.17
2025-08-03T20:39:00-04:00,2025-08-03 20:39:00,66.2,66.2,62.9,5.8,9.2,275,0,0,30.16,89,,30.16
2025-08-03T20:24:00-04:00,2025-08-03 20:24:00,66.2,66.2,62.5,6.5,9.8,279,0,0,30.16,88,4.29,30.16
2025-08-03T20:09:00-04:00,2025-08-03 20:09:00,66.4,66.4,62.4,7.8,11.4,278,0,0,30.16,87,,30.16
2025-08-03T19:54:00-04:00,2025-08-03 19:54:00,66.6,66.6,62.3,8.3,12.5,284,0,0,30.16,86,,30.16
2025-08-03T19:39:00-04:00,2025-08-03 19:39:00,66.7,66.7,62.4,8.7,12.5,280,0,0,30.16,86,,30.16
2025-08-03T19:24:00-04:00,2025-08-03 19:24:00,66.9,66.9,62.2,9.6,13.4,281,0,0,30.15,85,4.31,30.15
2025-08-03T19:09:00-04:00,2025-08-03 19:09:00,66.9,66.9,62.2,9.4,13.2,282,0,0,30.15,85,,30.15
2025-08-03T18:54:00-04:00,2025-08-03 18:54:00,67.1,67.1,62.1,9.8,14.5,282,0,0,30.14,84,,30.14
2025-08-03T18:39:00-04:00,2025-08-03 18:39:00,67.5,67.5,61.8,11.4,15.9,281,0,0,30.14,82,,30.14
2025-08-03T18:24:00-04:00,2025-08-03 18:24:00,67.6,67.6,61.9,11.2,15.9,281,0,0,30.14,82,4.48,30.14
2025-08-03T18:09:00-04:00,2025-08-03 18:09:00,67.6,67.6,61.6,10.7,15,283,0,0,30.14,81,,30.14
2025-08-03T17:54:00-04:00,2025-08-03 17:54:00,68,68,61.9,11,14.8,283,0,0,30.14,81,,30.14
2025-08-03T17:39:00-04:00,2025-08-03 17:39:00,68.4,68.7,62,11.2,15.9,293,0,0,30.14,80,,30.14
2025-08-03T17:24:00-04:00,2025-08-03 17:24:00,68.9,69.2,62.1,10.5,15.9,295,0,0,30.14,79,4.48,30.14
2025-08-03T17:09:00-04:00,2025-08-03 17:09:00,69.3,69.5,61.8,11.4,14.8,286,0,0,30.14,77,,30.14
2025-08-03T16:54:00-04:00,2025-08-03 16:54:00,69.6,69.8,61.3,10.1,15.2,290,0,0,30.14,75,,30.14
2025-08-03T16:39:00-04:00,2025-08-03 16:39:00,69.8,70,61.5,10.3,15.9,285,0,0,30.14,75,,30.14
2025-08-03T16:24:00-04:00,2025-08-03 16:24:00,70,70.2,61.3,10.7,16.8,286,0,0,30.14,74,4.48,30.14
2025-08-03T16:09:00-04:00,2025-08-03 16:09:00,70.3,70.5,61.2,11.6,15.7,296,0,0,30.14,73,,30.14
2025-08-03T15:54:00-04:00,2025-08-03 15:54:00,70,70.2,61.7,10.7,15.9,306,0,0,30.14,75,,30.14
2025-08-03T15:39:00-04:00,2025-08-03 15:39:00,69.6,69.8,61.7,11,14.8,293,0,0,30.15,76,,30.15
2025-08-03T15:24:00-04:00,2025-08-03 15:24:00,69.3,69.5,61,12.1,18.8,291,0,0,30.15,75,4.48,30.15
2025-08-03T15:09:00-04:00,2025-08-03 15:09:00,68.9,69.2,62.1,11,15.7,287,0,0,30.15,79,,30.15
2025-08-03T14:54:00-04:00,2025-08-03 14:54:00,68.7,68.9,61.6,12.1,15.4,290,0,0,30.15,78,,30.15
2025-08-03T14:39:00-04:00,2025-08-03 14:39:00,68.9,69.1,61.4,12.8,16.8,289,0,0,30.15,77,,30.15
2025-08-03T14:24:00-04:00,2025-08-03 14:24:00,69.4,69.5,60.7,11.4,16.1,297,0,0,30.16,74,4.48,30.16
2025-08-03T14:09:00-04:00,2025-08-03 14:09:00,70,70.1,60.5,10.1,14.8,302,0,0,30.16,72,,30.16
2025-08-03T13:54:00-04:00,2025-08-03 13:54:00,70.2,70.2,59.5,9.8,16.1,296,0,0,30.17,69,,30.17
2025-08-03T13:39:00-04:00,2025-08-03 13:39:00,69.6,69.6,60.2,9.4,14.1,295,0,0,30.17,72,,30.17
