date_id,trip_id,date,site_id,site_name,trip_label,substrate,gear,set,set_time,end_time,weather,tide,time_of_high_tide,time_of_low_tide,temp_degc,do_mg/l,salinity_ppt,hermit_crabs,shrimp,notes
7,7,7/22/2024,28,Stovers Point,G,rock,seine,yes,09:52,,sunny,low,12:39,,19.4,7.94,31.94,absent,absent,
7,7,7/22/2024,25,Garrison Cove,G,sand/shell,seine,yes,10:20,,sunny,mid,12:39,,18.4,8.2,31.73,present ,low,kayak 
7,7,7/22/2024,23,Lowell Cove,G,mud/gravel,seine,yes,10:45,,sunny,mid-high,12:39,,21.7,7.81,31.56,present ,low,paddleboards 
7,7,7/22/2024,26,Long Point Cove,G,sand/gravel ,seine,yes,11:17,,sunny,mid-high,12:39,,21.4,8.14,31.62,absent,low,children in water
7,7,7/22/2024,22,Snow Island,G,mud,seine,yes,11:50,,sunny,high,12:39,,22.8,8.97,31.6,absent,absent,
7,7,7/22/2024,21,Orrs Cove,G,gravel,seine,yes,12:31,,sunny,high,12:39,,22.7,8.36,31.56,absent,absent,
8,8,8/1/2024,28,Stovers Point,H,rock,seine,yes,07:57,,sunny,high,06:45,,17.6,8.309,31.37,present,low,
8,8,8/1/2024,25,Garrison Cove,H,sand/shell,seine,yes,08:17,,sunny,high,06:45,,18.3,8.45,31.26,present,low,
8,8,8/1/2024,23,Lowell Cove,H,sand,seine,yes,09:04,,sunny,high-mid,06:45,,20.3,7.2,31.11,present,absent,
8,8,8/1/2024,26,Long Point Cove,H,mud/gravel,seine,yes,09:25,,sunny,high-mid,06:45,,19.8,7.47,31.24,present,low,
8,8,8/1/2024,22,Snow Island ,H,mud/gravel,seine,yes,10:12,,sunny,high-mid,06:45,,21,8.03,31.46,absent,absent,
8,8,8/1/2024,21,Orrs Cove,H,mud/sand,seine,yes,10:49,,sunny,high-mid,06:45,,22.3,7.55,31.54,absent,absent,
9,9,8/5/2024,28,Stovers Point,I,mud,seine,yes,10:53,,sunny,mid,12:30,,19.5,8.15,31.26,absent,absent,people on beach
9,9,8/5/2024,25,Garrison Cove,I,sand/shell,seine,yes,11:15,,sunny,mid,12:30,,20.2,8.45,30.8,present,absent,people on beach
9,9,8/5/2024,23,Lowell Cove,I,sand,seine,yes,11:40,,sunny,mid-high,12:30,,20.6,8.53,30.84,absent,absent ,
9,9,8/5/2024,26,Long Point Cove,I,mud/gravel,seine,yes,12:20,,sunny,mid-high,12:30,,21.7,7.98,30.94,present,low,
9,9,8/5/2024,22,Snow Island,I,mud/gravel,seine,yes,13:10,,sunny,high,12:30,,24.3,9.06,31.38,absent,low,
9,9,8/5/2024,21,Orrs Cove,I,mud/sand,seine,yes,13:39,,sunny,high,12:30,,23.8,9.4,30.64,present,absent,
10,10,8/13/2024,28,Stovers Point,J,sand/gravel,seine,yes,14:01,,mostly sunny,low,18:04,,19.6,8.75,31.36,present,low,people on beach
10,10,8/13/2024,25,Garrison Cove,J,sand/shell,seine,yes,14:25,,sunny,low,18:04,,21.1,8.61,31.2,absent,absent,
11,10,8/14/2024,21,Orrs Cove,J,mud/shell,seine,yes,07:13,,sunny,high,06:47,,20.6,7.26,30.95,present,absent,clearest we've seen this site
11,10,8/14/2024,22,Snow Island,J,mud/shell,seine,yes,07:42,,sunny,high,06:47,,20.3,7.51,31.16,absent,absent,striper and mackerel chasing fish; shallow; giant silverside 132mm
11,10,8/14/2024,26,Long Point Cove,J,sand/gravel,seine,yes,08:19,,cloudy,high,06:47,,19.9,7.44,31.07,present,low,
11,10,8/14/2024,23,Lowell Cove,J,mud/gravel,seine,yes,08:45,,sunny,high,06:47,,18.3,6.92,31.13,present,absent,
12,11,8/21/2024,28,Stovers Point,K,rock/gravel,seine,yes,09:52,,partly cloudy,low,12:56,,18.1,8.6,30.48,absent,absent,
12,11,8/21/2024,25,Garrison Cove,K,sand/gravel,seine,yes,10:16,,partly cloudy,low,12:56,,17.7,8.13,30.25,absent,absent,
12,11,8/21/2024,23,Lowell Cove,K,sand,seine,yes,10:39,,partly cloudy,low,12:56,,19.7,7.51,29.85,absent,absent,
12,11,8/21/2024,26,Long Point Cove,K,sand/gravel,seine,yes,11:11,,partly cloudy,mid,12:56,,20.2,7.41,29.75,absent,absent,
12,11,8/21/2024,22,Snow Island,K,sand,seine,yes,11:45,,partly cloudy,high,12:56,,20.5,8.07,29.87,present,absent,
12,11,8/21/2024,21,Orrs Cove,K,mud,seine,yes,12:19,,partly cloudy,high,12:56,,21,6.83,29.8,absent,absent,
13,12,9/6/2024,28,Stovers Point,L,sand/gravel,seine,yes,11:48,,cloudy,low,13:54,,16.8,8.54,32.17,absent,absent,
13,12,9/6/2024,26,Garrison Cove,L,sand,seine,yes,12:17,,partly cloudy,mid,13:54,,17.2,8.1,32.04,present,absent,
13,12,9/6/2024,23,Lowell Cove,L,mud/sand,seine,yes,12:40,,cloudy,mid,13:54,,19.5,7.69,31.81,absent,absent,
13,12,9/6/2024,26,Long Point Cove,L,mud/sand,seine,yes,13:19,,sunny,high,13:54,,18.6,7.89,31.95,absent,absent,
13,12,9/6/2024,22,Snow Island,L,mud/sand,seine,yes,14:00,,mostly cloudy,high,13:54,,19.1,8.06,31.91,absent,absent,
13,12,9/6/2024,21,Orrs Cove,L,mud,seine,yes,14:59,,sunny,high,13:54,,19.2,7.9,31.9,absent,absent,
