trip_id,site_number,site_name,species_name,total_catch,notes
10,21,Orrs Cove,atlantic silverside,8,
10,22,Snow Island,mummichog,29,
10,22,Snow Island,atlantic silverside,615,
10,22,Snow Island,crevalle jack,9,
10,22,Snow Island,green crab,1,
10,26,Long Point Cove,atlantic silverside,19,
10,26,Long Point Cove,mummichog,6,
10,26,Long Point Cove,permit,2,uncertain ID; one in native tank
10,26,Long Point Cove,green crab,3,
10,26,Long Point Cove,sandlance,1,
10,23,Lowell Cove,atlantic silverside,237,
10,23,Lowell Cove,permit,2,
10,23,Lowell Cove,mummichog,1,
10,23,Lowell Cove,green crab,1,
11,28,Stovers Point,sandlance,1,
11,25,Garrison Cove,green crab,1,
11,23,Lowell Cove,alewife,1,
11,23,Lowell Cove,mummichog,2,
11,23,Lowell Cove,atlantic silverside,10,
11,23,Lowell Cove,atlantic tomcod,1,
11,23,Lowell Cove,white mullet,1,
11,23,Lowell Cove,threespine stickleback,1,
11,26,Long Point Cove,alewife,6,
11,26,Long Point Cove,white perch,1,
11,26,Long Point Cove,mummichog,10,
11,26,Long Point Cove,permit,1,
11,22,Snow Island,atlantic silverside,64,
11,21,Orrs Cove,atlantic silverside,104,
11,21,Orrs Cove,mummichog,1,
12,28,Stovers Point,atlantic silverside,5,
12,28,Stovers Point,mummichog,28,
12,23,Lowell Cove,crevalle jack,1,
12,23,Lowell Cove,permit,6,
12,23,Lowell Cove,atlantic silverside,129,
12,23,Lowell Cove,atlantic saury,2,
12,26,Long Point Cove,white perch,3,
12,26,Long Point Cove,atlantic silverside,426,
12,26,Long Point Cove,green crab,4,
12,26,Long Point Cove,mummichog,72,
12,22,Snow Island,bluefish,5,
12,22,Snow Island,mummichog,252,
12,22,Snow Island,atlantic silverside,4,
12,22,Snow Island,green crab,6,
12,21,Orrs Cove,atlantic silverside,17,
12,21,Orrs Cove,crevalle jack,1,
