fish_id,trip_id,site_number,site_name,sample_id,species_name,species_code,sex,field_length_mm,lab_length_mm,weight_g,notes
,2,22,Snow Island,,Atlantic Silverside,asv,,100,,,
,2,22,Snow Island,,Atlantic Silverside,asv,,106,,,
,2,22,Snow Island,,Atlantic Silverside,asv,,123,,,
,2,22,Snow Island,,Atlantic Silverside,asv,,96,,,
,2,22,Snow Island,,Atlantic Silverside,asv,,105,,,
,2,22,Snow Island,,Atlantic Silverside,asv,,102,,,
,2,22,Snow Island,,Atlantic Silverside,asv,,110,,,
,2,22,Snow Island,,Atlantic Silverside,asv,,92,,,
,2,22,Snow Island,,Atlantic Silverside,asv,,101,,,
,2,22,Snow Island,,Atlantic Silverside,asv,,100,,,
,2,22,Snow Island,,Atlantic Silverside,asv,,104,,,
,2,22,Snow Island,,Atlantic Silverside,asv,,100,,,
,2,22,Snow Island,,Atlantic Silverside,asv,,109,,,
,2,22,Snow Island,,Atlantic Silverside,asv,,95,,,
,2,22,Snow Island,,Atlantic Silverside,asv,,99,,,
,2,22,Snow Island,,Atlantic Silverside,asv,,99,,,
,2,22,Snow Island,,Atlantic Silverside,asv,,89,,,
,2,21,Orrs Cove,,mummichog,mmg,,49,,,
,2,21,Orrs Cove,,mummichog,mmg,,64,,,
,2,21,Orrs Cove,,mummichog,mmg,,45,,,
,2,21,Orrs Cove,,mummichog,mmg,,46,,,
,2,21,Orrs Cove,,mummichog,mmg,,57,,,
,2,21,Orrs Cove,,mummichog,mmg,,44,,,
,2,21,Orrs Cove,,mummichog,mmg,,53,,,
,2,21,Orrs Cove,,mummichog,mmg,,46,,,
,2,21,Orrs Cove,,mummichog,mmg,,51,,,
,2,21,Orrs Cove,,mummichog,mmg,,57,,,
,2,21,Orrs Cove,,Atlantic SIlverside,asv,,115,,,
,2,21,Orrs Cove,,Atlantic SIlverside,asv,,90,,,
,2,23,Lowell Cove,,green crab,gc,m,17,,,
,2,23,Lowell Cove,,green crab,gc,m,20,,,
,2,23,Lowell Cove,,green crab,gc,m,50,,,
,2,23,Lowell Cove,,green crab,gc,f,50,,,
,2,23,Lowell Cove,,green crab,gc,m,10,,,
,2,23,Lowell Cove,,green crab,gc,m,11,,,
,2,23,Lowell Cove,,atlantic tomcod,tom,,70,,,
,2,23,Lowell Cove,,atlantic tomcod,tom,,48,,,
,2,23,Lowell Cove,,atlantic tomcod,tom,,52,,,
,2,23,Lowell Cove,,atlantic tomcod,tom,,63,,,
,2,23,Lowell Cove,,atlantic tomcod,tom,,53,,,
,2,23,Lowell Cove,,atlantic tomcod,tom,,73,,,
,2,23,Lowell Cove,,atlantic tomcod,tom,,52,,,
,2,23,Lowell Cove,,atlantic tomcod,tom,,52,,,
,2,23,Lowell Cove,,atlantic tomcod,tom,,53,,,
,2,23,Lowell Cove,,atlantic tomcod,tom,,39,,,
,2,23,Lowell Cove,,atlantic tomcod,tom,,46,,,
,2,23,Lowell Cove,,atlantic tomcod,tom,,64,,,
,2,23,Lowell Cove,,atlantic tomcod,tom,,36,,,
,2,23,Lowell Cove,,atlantic tomcod,tom,,60,,,
,2,23,Lowell Cove,,atlantic tomcod,tom,,64,,,
,2,23,Lowell Cove,,atlantic tomcod,tom,,53,,,
,2,23,Lowell Cove,,atlantic tomcod,tom,,74,,,
,2,23,Lowell Cove,,atlantic tomcod,tom,,54,,,
,2,23,Lowell Cove,,atlantic tomcod,tom,,47,,,
,2,23,Lowell Cove,,atlantic tomcod,tom,,46,,,
,2,23,Lowell Cove,,atlantic tomcod,tom,,69,,,
,2,23,Lowell Cove,,atlantic tomcod,tom,,56,,,
,2,23,Lowell Cove,,atlantic tomcod,tom,,55,,,
,2,23,Lowell Cove,,atlantic tomcod,tom,,45,,,
,2,23,Lowell Cove,,winter flounder,wf,,102,,,
,2,23,Lowell Cove,,Atlantic Silverside,asv,,110,,,
,2,23,Lowell Cove,,mummichog,mmg,,64,,,
,2,23,Lowell Cove,,mummichog,mmg,,51,,,
,2,23,Lowell Cove,,mummichog,mmg,,56,,,
,2,23,Lowell Cove,,mummichog,mmg,,53,,,
,2,26,Long Point Cove,,green crab,gc,m,76,,,
,2,26,Long Point Cove,,green crab,gc,m,38,,,
,2,26,Long Point Cove,,green crab,gc,m,24,,,
,2,26,Long Point Cove,,green crab,gc,f,25,,,
,2,26,Long Point Cove,,atlantic herring,ah,,67,,,
,2,26,Long Point Cove,,atlantic herring,ah,,70,,,
,2,26,Long Point Cove,,atlantic herring,ah,,77,,,
,2,26,Long Point Cove,,atlantic herring,ah,,75,,,
,2,26,Long Point Cove,,atlantic herring,ah,,70,,,
,2,26,Long Point Cove,,atlantic herring,ah,,58,,,
,2,26,Long Point Cove,,atlantic herring,ah,,74,,,
,2,26,Long Point Cove,,atlantic herring,ah,,68,,,
,2,26,Long Point Cove,,atlantic herring,ah,,75,,,
,2,26,Long Point Cove,,atlantic herring,ah,,70,,,
,2,26,Long Point Cove,,atlantic herring,ah,,66,,,
,2,26,Long Point Cove,,atlantic herring,ah,,74,,,
,2,26,Long Point Cove,,atlantic herring,ah,,66,,,
,2,26,Long Point Cove,,atlantic herring,ah,,73,,,
,2,26,Long Point Cove,,atlantic herring,ah,,79,,,
,2,26,Long Point Cove,,atlantic herring,ah,,68,,,
,2,26,Long Point Cove,,atlantic herring,ah,,72,,,
,2,26,Long Point Cove,,atlantic herring,ah,,68,,,
,2,26,Long Point Cove,,atlantic herring,ah,,71,,,
,2,26,Long Point Cove,,atlantic herring,ah,,70,,,
,2,26,Long Point Cove,,atlantic herring,ah,,75,,,
,2,26,Long Point Cove,,atlantic herring,ah,,70,,,
,2,26,Long Point Cove,,atlantic herring,ah,,75,,,
,2,26,Long Point Cove,,atlantic herring,ah,,71,,,
,2,26,Long Point Cove,,atlantic herring,ah,,70,,,
,2,26,Long Point Cove,,atlantic herring,ah,,73,,,
,2,26,Long Point Cove,,atlantic tomcod,tom,,50,,,
,2,26,Long Point Cove,,atlantic tomcod,tom,,50,,,
,2,26,Long Point Cove,,atlantic tomcod,tom,,48,,,
,2,26,Long Point Cove,,atlantic tomcod,tom,,55,,,
,2,26,Long Point Cove,,atlantic tomcod,tom,,54,,,
,2,26,Long Point Cove,,atlantic tomcod,tom,,54,,,
,2,26,Long Point Cove,,atlantic tomcod,tom,,62,,,
,2,26,Long Point Cove,,mummichog,mmg,,70,,,
,2,26,Long Point Cove,,mummichog,mmg,,62,,,
,2,26,Long Point Cove,,Atlantic Silverside,asv,,110,,,
,2,28,Stovers Point,,Atlantic Silverside,asv,,111,,,
,2,28,Stovers Point,,green crab,gc,m,18,,,
,2,25,Garrison Cove,,green crab,gc,m,12,,,
,2,25,Garrison Cove,,green crab,gc,m,21,,,
,2,25,Garrison Cove,,green crab,gc,f,10,,,
,2,25,Garrison Cove,,green crab,gc,m,9,,,
,2,25,Garrison Cove,,Atlantic Herring,ah,,50,,,
,2,25,Garrison Cove,,Atlantic Herring,ah,,54,,,
,2,25,Garrison Cove,,Atlantic Herring,ah,,53,,,
,2,25,Garrison Cove,,Atlantic Herring,ah,,50,,,
,2,25,Garrison Cove,,Atlantic Herring,ah,,49,,,
,2,25,Garrison Cove,,Atlantic Herring,ah,,52,,,
,2,25,Garrison Cove,,Atlantic Herring,ah,,50,,,
,2,25,Garrison Cove,,Atlantic Herring,ah,,46,,,
,2,25,Garrison Cove,,Atlantic Herring,ah,,47,,,
,2,25,Garrison Cove,,Atlantic Herring,ah,,60,,,
,2,25,Garrison Cove,,Atlantic Herring,ah,,51,,,
,2,25,Garrison Cove,,Atlantic Herring,ah,,52,,,
,2,25,Garrison Cove,,Atlantic Herring,ah,,50,,,
,2,25,Garrison Cove,,Atlantic Herring,ah,,50,,,
,2,25,Garrison Cove,,Atlantic Herring,ah,,50,,,
,2,25,Garrison Cove,,Atlantic Herring,ah,,50,,,
,2,25,Garrison Cove,,Atlantic Herring,ah,,52,,,
,2,25,Garrison Cove,,Atlantic Herring,ah,,58,,,
,2,25,Garrison Cove,,Atlantic Herring,ah,,56,,,
,2,25,Garrison Cove,,Atlantic Herring,ah,,56,,,
,2,25,Garrison Cove,,Atlantic Herring,ah,,50,,,
,2,25,Garrison Cove,,Atlantic Herring,ah,,50,,,
,2,25,Garrison Cove,,Atlantic Herring,ah,,52,,,
,2,25,Garrison Cove,,Atlantic Herring,ah,,50,,,
,2,25,Garrison Cove,,Atlantic Herring,ah,,51,,,
,3,26,Long Point Cove,,green crab,gc,m,2,,,
,3,26,Long Point Cove,,green crab,gc,m,53,,,
,3,26,Long Point Cove,,green crab,gc,m,42,,,
,3,26,Long Point Cove,,green crab,gc,f,41,,,
,3,26,Long Point Cove,,green crab,gc,m,17,,,
,3,26,Long Point Cove,,green crab,gc,m,77,,,
,3,26,Long Point Cove,,green crab,gc,m,60,,,
,3,26,Long Point Cove,,green crab,gc,f,20,,,
,3,26,Long Point Cove,,green crab,gc,f,30,,,
,3,26,Long Point Cove,,green crab,gc,m,62,,,
,3,26,Long Point Cove,,green crab,gc,f,50,,,
,3,26,Long Point Cove,,green crab,gc,m,41,,,
,3,26,Long Point Cove,,green crab,gc,m,7,,,
,3,26,Long Point Cove,,green crab,gc,m,59,,,
,3,26,Long Point Cove,,green crab,gc,m,22,,,
,3,26,Long Point Cove,,green crab,gc,m,5,,,
,3,26,Long Point Cove,,green crab,gc,m,40,,,
,3,26,Long Point Cove,,green crab,gc,f,41,,,
,3,26,Long Point Cove,,green crab,gc,m,2,,,
,3,26,Long Point Cove,,green crab,gc,m,15,,,
,3,26,Long Point Cove,,green crab,gc,f,8,,,
,3,26,Long Point Cove,,green crab,gc,m,20,,,
,3,26,Long Point Cove,,green crab,gc,m,44,,,
,3,26,Long Point Cove,,green crab,gc,m,15,,,
,3,26,Long Point Cove,,green crab,gc,m,41,,,
,3,26,Long Point Cove,,asian shore crab,asc,m,20,,,
,3,26,Long Point Cove,,Atlantic Herring,ah,,55,,,
,3,26,Long Point Cove,,Atlantic Herring,ah,,60,,,
,3,26,Long Point Cove,,Atlantic Herring,ah,,56,,,
,3,26,Long Point Cove,,Atlantic Herring,ah,,53,,,
,3,26,Long Point Cove,,Atlantic Herring,ah,,55,,,
,3,26,Long Point Cove,,Atlantic Herring,ah,,54,,,
,3,26,Long Point Cove,,Atlantic Herring,ah,,49,,,
,3,26,Long Point Cove,,Atlantic Herring,ah,,55,,,
,3,26,Long Point Cove,,Atlantic Herring,ah,,59,,,
,3,26,Long Point Cove,,Atlantic Herring,ah,,56,,,
,3,26,Long Point Cove,,Atlantic Herring,ah,,53,,,
,3,26,Long Point Cove,,Atlantic Herring,ah,,63,,,
,3,26,Long Point Cove,,Atlantic Herring,ah,,55,,,
,3,26,Long Point Cove,,Atlantic Herring,ah,,50,,,
,3,26,Long Point Cove,,Atlantic Herring,ah,,52,,,
,3,26,Long Point Cove,,Atlantic Herring,ah,,52,,,
,3,26,Long Point Cove,,Atlantic Herring,ah,,57,,,
,3,26,Long Point Cove,,Atlantic Herring,ah,,55,,,
,3,26,Long Point Cove,,Atlantic Herring,ah,,58,,,
,3,26,Long Point Cove,,Atlantic Herring,ah,,55,,,
,3,26,Long Point Cove,,Atlantic Herring,ah,,56,,,
,3,26,Long Point Cove,,Atlantic Herring,ah,,51,,,
,3,26,Long Point Cove,,Atlantic Herring,ah,,51,,,
,3,26,Long Point Cove,,Atlantic Herring,ah,,52,,,
,3,26,Long Point Cove,,Atlantic Herring,ah,,44,,,
,3,26,Long Point Cove,,Atlantic Silverside,asv,,109,,,
,3,26,Long Point Cove,,Atlantic Silverside,asv,,109,,,
,3,26,Long Point Cove,,atlantic tomcod,tom,,50,,,
,3,23,Lowell Cove,,green crab,gc,f,2,,,
,3,23,Lowell Cove,,green crab,gc,m,2,,,
,3,23,Lowell Cove,,green crab,gc,m,20,,,
,3,23,Lowell Cove,,green crab,gc,m,17,,,
,3,23,Lowell Cove,,green crab,gc,m,7,,,
,3,23,Lowell Cove,,green crab,gc,f,3,,,
,3,23,Lowell Cove,,green crab,gc,m,4,,,
,3,23,Lowell Cove,,green crab,gc,f,15,,,
,3,23,Lowell Cove,,green crab,gc,f,3,,,
,3,23,Lowell Cove,,green crab,gc,m,2,,,
,3,23,Lowell Cove,,Atlantic Herring,ah,,139,,,
,3,22,Snow Island,,mummichog,mmg,,53,,,
,3,22,Snow Island,,mummichog,mmg,,70,,,
,3,22,Snow Island,,mummichog,mmg,,76,,,
,3,22,Snow Island,,mummichog,mmg,,59,,,
,3,22,Snow Island,,mummichog,mmg,,66,,,
,3,22,Snow Island,,mummichog,mmg,,58,,,
,3,22,Snow Island,,mummichog,mmg,,59,,,
,3,22,Snow Island,,mummichog,mmg,,55,,,
,3,22,Snow Island,,mummichog,mmg,,76,,,
,3,22,Snow Island,,mummichog,mmg,,60,,,
,3,22,Snow Island,,mummichog,mmg,,56,,,
,3,22,Snow Island,,mummichog,mmg,,55,,,
,3,22,Snow Island,,mummichog,mmg,,55,,,
,3,22,Snow Island,,mummichog,mmg,,60,,,
,3,22,Snow Island,,mummichog,mmg,,62,,,
,3,22,Snow Island,,mummichog,mmg,,62,,,
,3,22,Snow Island,,mummichog,mmg,,36,,,
,3,22,Snow Island,,mummichog,mmg,,70,,,
,3,22,Snow Island,,mummichog,mmg,,59,,,
,3,22,Snow Island,,mummichog,mmg,,68,,,
,3,22,Snow Island,,mummichog,mmg,,52,,,
,3,22,Snow Island,,mummichog,mmg,,64,,,
,3,22,Snow Island,,mummichog,mmg,,61,,,
,3,22,Snow Island,,mummichog,mmg,,49,,,
,3,22,Snow Island,,mummichog,mmg,,60,,,
,3,22,Snow Island,,green crab,gc,m,35,,,
,3,22,Snow Island,,green crab,gc,m,10,,,
,3,22,Snow Island,,green crab,gc,m,45,,,
,3,22,Snow Island,,green crab,gc,m,29,,,
,3,22,Snow Island,,green crab,gc,m,16,,,
,3,22,Snow Island,,Atlantic Silverside,asv,,107,,,
,3,22,Snow Island,,Atlantic Silverside,asv,,98,,,
,3,22,Snow Island,,Atlantic Silverside,asv,,90,,,
,3,22,Snow Island,,Atlantic Silverside,asv,,91,,,
,3,22,Snow Island,,Atlantic Silverside,asv,,95,,,
,3,22,Snow Island,,Atlantic Silverside,asv,,100,,,
,3,22,Snow Island,,Atlantic Silverside,asv,,111,,,
,3,22,Snow Island,,Atlantic Silverside,asv,,89,,,
,3,22,Snow Island,,Atlantic Silverside,asv,,88,,,
,3,22,Snow Island,,Atlantic Silverside,asv,,106,,,
,3,22,Snow Island,,Atlantic Silverside,asv,,84,,,
,3,22,Snow Island,,Atlantic Silverside,asv,,86,,,
,3,22,Snow Island,,Atlantic Silverside,asv,,100,,,
,3,22,Snow Island,,Atlantic Silverside,asv,,105,,,
,3,22,Snow Island,,Atlantic Silverside,asv,,86,,,
,3,22,Snow Island,,Atlantic Silverside,asv,,65,,,
,3,22,Snow Island,,Atlantic Silverside,asv,,105,,,
,3,22,Snow Island,,Atlantic Silverside,asv,,75,,,
,3,22,Snow Island,,Atlantic Silverside,asv,,72,,,
,3,22,Snow Island,,Atlantic Silverside,asv,,110,,,
,3,22,Snow Island,,Atlantic Silverside,asv,,100,,,
,3,22,Snow Island,,Atlantic Silverside,asv,,90,,,
,3,22,Snow Island,,Atlantic Silverside,asv,,84,,,
,3,22,Snow Island,,Atlantic Silverside,asv,,80,,,
,3,22,Snow Island,,Atlantic Silverside,asv,,86,,,
,3,21,Orrs Cove,,Atlantic Silverside,asv,,84,,,
,3,21,Orrs Cove,,Atlantic Silverside,asv,,88,,,
,3,21,Orrs Cove,,Atlantic Silverside,asv,,111,,,
,3,21,Orrs Cove,,Atlantic Silverside,asv,,91,,,
,3,21,Orrs Cove,,Atlantic Silverside,asv,,101,,,
,3,21,Orrs Cove,,Atlantic Silverside,asv,,95,,,
,3,21,Orrs Cove,,Atlantic Silverside,asv,,83,,,
,3,21,Orrs Cove,,Atlantic Silverside,asv,,98,,,
,3,21,Orrs Cove,,Atlantic Silverside,asv,,85,,,
,3,21,Orrs Cove,,Atlantic Silverside,asv,,96,,,
,3,21,Orrs Cove,,Atlantic Silverside,asv,,105,,,
,3,21,Orrs Cove,,Atlantic Silverside,asv,,80,,,
,3,21,Orrs Cove,,Atlantic Silverside,asv,,85,,,
,3,21,Orrs Cove,,Atlantic Silverside,asv,,91,,,
,3,21,Orrs Cove,,Atlantic Silverside,asv,,96,,,
,3,21,Orrs Cove,,Atlantic Silverside,asv,,110,,,
,3,21,Orrs Cove,,Atlantic Silverside,asv,,75,,,
,3,21,Orrs Cove,,Atlantic Silverside,asv,,85,,,
,3,21,Orrs Cove,,Atlantic Silverside,asv,,75,,,
,3,21,Orrs Cove,,Atlantic Silverside,asv,,101,,,
,3,21,Orrs Cove,,Atlantic Silverside,asv,,90,,,
,3,21,Orrs Cove,,Atlantic Silverside,asv,,69,,,
,3,21,Orrs Cove,,Atlantic Silverside,asv,,83,,,
,3,21,Orrs Cove,,Atlantic Silverside,asv,,96,,,
,3,21,Orrs Cove,,Atlantic Silverside,asv,,120,,,
,3,21,Orrs Cove,,threespine stickleback,nss,,25,,,
,3,21,Orrs Cove,,mummichog,mmg,,55,,,
,3,25,Garrison Cove,,green crab,gc,m,20,,,
,3,25,Garrison Cove,,green crab,gc,f,62,,,
,3,25,Garrison Cove,,green crab,gc,m,3,,,
,3,25,Garrison Cove,,green crab,gc,m,15,,,
,3,25,Garrison Cove,,green crab,gc,m,10,,,
,3,25,Garrison Cove,,grubby sculpin,gs,,40,,,
,3,25,Garrison Cove,,grubby sculpin,gs,,35,,,
,3,25,Garrison Cove,,grubby sculpin,gs,,40,,,
,3,25,Garrison Cove,,Atlantic herring,ah,,30,,,
,3,28,Stovers Point,,northern pipefish,pip,,184,,,
,3,28,Stovers Point,,green crab,gc,m,4,,,
,3,28,Stovers Point,,Atlantic Silverside,asv,,122,,,
,4,22,Snow Island,,Atlantic Silverside,asv,,58,,,
,4,22,Snow Island,,Atlantic Silverside,asv,,70,,,
,4,22,Snow Island,,Atlantic Silverside,asv,,90,,,
,4,22,Snow Island,,Atlantic Silverside,asv,,100,,,
,4,22,Snow Island,,Atlantic Silverside,asv,,101,,,
,4,22,Snow Island,,Atlantic Silverside,asv,,85,,,
,4,22,Snow Island,,Atlantic Silverside,asv,,80,,,
,4,22,Snow Island,,green crab,gc,m,51,,,
,4,22,Snow Island,,mummichog,mmg,,57,,,
,4,22,Snow Island,,mummichog,mmg,,52,,,
,4,22,Snow Island,,white mullet,wm,,30,,,
,4,26,Long Point Cove,,mummichog,mmg,,71,,,
,4,23,Lowell Cove,,mummichog,mmg,,58,,,
,4,23,Lowell Cove,,mummichog,mmg,,55,,,
,4,23,Lowell Cove,,atlantic tomcod,tom,,45,,,
,4,21,Orrs Cove,,Atlantic Silverside,asv,,60,,,
,4,21,Orrs Cove,,Atlantic Silverside,asv,,103,,,
,4,21,Orrs Cove,,Atlantic Silverside,asv,,119,,,
,4,21,Orrs Cove,,Atlantic Silverside,asv,,90,,,
,4,21,Orrs Cove,,Atlantic Silverside,asv,,98,,,
,4,21,Orrs Cove,,Atlantic Silverside,asv,,96,,,
,4,21,Orrs Cove,,Atlantic Silverside,asv,,89,,,
,4,21,Orrs Cove,,Atlantic Silverside,asv,,102,,,
,4,21,Orrs Cove,,Atlantic Silverside,asv,,85,,,
,4,21,Orrs Cove,,Atlantic Silverside,asv,,105,,,
,4,21,Orrs Cove,,Atlantic Silverside,asv,,90,,,
,4,21,Orrs Cove,,Atlantic Silverside,asv,,89,,,
,4,21,Orrs Cove,,Atlantic Silverside,asv,,103,,,
,4,21,Orrs Cove,,Atlantic Silverside,asv,,76,,,
,4,21,Orrs Cove,,Atlantic Silverside,asv,,99,,,
,4,21,Orrs Cove,,Atlantic Silverside,asv,,84,,,
,4,21,Orrs Cove,,Atlantic Silverside,asv,,88,,,
,4,21,Orrs Cove,,Atlantic Silverside,asv,,108,,,
,4,21,Orrs Cove,,Atlantic Silverside,asv,,60,,,
,4,21,Orrs Cove,,Atlantic Silverside,asv,,90,,,
,4,21,Orrs Cove,,Atlantic Silverside,asv,,96,,,
,4,21,Orrs Cove,,Atlantic Silverside,asv,,85,,,
,4,21,Orrs Cove,,Atlantic Silverside,asv,,95,,,
,4,21,Orrs Cove,,Atlantic Silverside,asv,,76,,,
,4,21,Orrs Cove,,Atlantic Silverside,asv,,94,,,
