received,well,content,weeklab,plotlab,site_number,date,dilution,sample_name,cq,filtered
1/24/2025,H12,Neg Ctrl,H,J,control,8/10/2023,,-,42.1202419,
1/24/2025,A09,Sample,I,K,21,8/16/2023,a,I21,35.44875511,1000
1/24/2025,B09,Sample,I,K,22,8/16/2023,a,I22,34.68959064,1000
1/24/2025,C09,Sample,I,K,23,8/16/2023,a,I23,35.7168994,1000
1/24/2025,D09,Sample,I,K,24,8/16/2023,a,I24,35.59568385,1000
1/24/2025,E09,Sample,I,K,25,8/16/2023,a,I25,36.58717496,1000
1/24/2025,F09,Sample,I,K,26,8/16/2023,a,I26,36.26318156,1000
1/24/2025,D11,Field Blank,I,K,blank,8/16/2023,,I Blank,33.94711617,1000
1/24/2025,F11,Lab Blank,I,K,blank,8/16/2023,,Ext Bl 12/16,41.77123878,
1/24/2025,G11,Lab Blank,I,K,blank,8/16/2023,,Ext Bl 12/17,41.7483477,
1/24/2025,H11,Lab Blank,I,K,blank,8/16/2023,,Ext Bl 12/18,43.710325,
1/24/2025,G12,Pos Ctrl,I,K,control,8/16/2023,,+,20.4503729,
1/24/2025,H12,Neg Ctrl,I,K,control,8/16/2023,,-,42.1202419,
1/24/2025,A10,Sample,J,L,21,8/28/2023,a,J21,35.49878932,1000
1/24/2025,B10,Sample,J,L,22,8/28/2023,a,J22,39.00650351,1000
1/24/2025,C10,Sample,J,L,23,8/28/2023,a,J23,38.76620177,1000
1/24/2025,D10,Sample,J,L,24,8/28/2023,a,J24,37.27058114,1000
1/24/2025,E10,Sample,J,L,25,8/28/2023,a,J25,37.62360763,1000
1/24/2025,F10,Sample,J,L,26,8/28/2023,a,J26,36.99106021,1000
1/24/2025,E11,Field Blank,J,L,blank,8/28/2023,,J Blank,37.05577788,1000
1/24/2025,F11,Lab Blank,J,L,blank,8/28/2023,,Ext Bl 12/16,41.77123878,
1/24/2025,G11,Lab Blank,J,L,blank,8/28/2023,,Ext Bl 12/17,41.7483477,
1/24/2025,H11,Lab Blank,J,L,blank,8/28/2023,,Ext Bl 12/18,43.710325,
1/24/2025,G12,Pos Ctrl,J,L,control,8/28/2023,,+,20.4503729,
1/24/2025,H12,Neg Ctrl,J,L,control,8/28/2023,,-,42.1202419,
