Collector,Year,Week,Date,Site name,In/ Mid/ Out,Site number,Label,Extracted,Notes
QBC,2023,D,7/5/2023,Snow Island,Outer,22,D-22-O,,
QBC,2023,D,7/5/2023,Lowell Cove,Inner,23,D-23-I,,Failed set
QBC,2023,D,7/5/2023,Lowell Cove,Middle,23,D-23-M,Y,
QBC,2023,D,7/5/2023,Lowell Cove,Outer,23,D-23-O,,
QBC,2023,D,7/5/2023,Garrison Cove,Inner,25,D-25-I,,
QBC,2023,D,7/5/2023,Garrison Cove,Middle,25,D-25-M,Y,
QBC,2023,D,7/5/2023,Garrison Cove,Outer,25,D-25-O,,
QBC,2023,D,7/5/2023,Long Point Cove,Inner,26,D-26-I,,
QBC,2023,D,7/5/2023,Long Point Cove,Middle,26,D-26-M,Y,
QBC,2023,D,7/5/2023,Long Point Cove,Outer,26,D-26-O,,
QBC,2023,D,7/5/2023,Blank,Blank,Blank,D-QBLANK,Y,
QBC,2023,E,7/12/2023,Lowell Cove,Inner,23,E-23-I,,
QBC,2023,E,7/12/2023,Lowell Cove,Middle,23,E-23-M,Y,
QBC,2023,E,7/12/2023,Lowell Cove,Outer,23,E-23-O,,
QBC,2023,E,7/12/2023,Cedar Beach,Inner,24,E-24-I,,
QBC,2023,E,7/12/2023,Cedar Beach,Middle,24,E-24-M,Y,
QBC,2023,E,7/12/2023,Cedar Beach,Outer,24,E-24-O,,
QBC,2023,E,7/12/2023,Garrison Cove,Inner,25,E-25-I,,
QBC,2023,E,7/12/2023,Garrison Cove,Middle,25,E-25-M,Y,
QBC,2023,E,7/12/2023,Garrison Cove,Outer,25,E-25-O,,
QBC,2023,E,7/12/2023,Long Point Cove,Inner,26,E-26-I,,
QBC,2023,E,7/12/2023,Long Point Cove,Middle,26,E-26-M,Y,
QBC,2023,E,7/12/2023,Long Point Cove,Outer,26,E-26-O,,
QBC,2023,E,7/13/2023,Orrs Cove,Inner,21,E-21-I,,
QBC,2023,E,7/13/2023,Orrs Cove,Middle,21,E-21-M,Y,
QBC,2023,E,7/13/2023,Orrs Cove,Outer,21,E-21-O,,
QBC,2023,E,7/13/2023,Snow Island,Inner,22,E-22-I,,
QBC,2023,E,7/13/2023,Snow Island,Middle,22,E-22-M,Y,
QBC,2023,E,7/13/2023,Snow Island,Outer,22,E-22-O,,
QBC,2023,F,7/20/2023,Orrs Cove,Inner,21,F-21-I,,
QBC,2023,F,7/20/2023,Orrs Cove,Middle,21,F-21-M,Y,
QBC,2023,F,7/20/2023,Orrs Cove,Outer,21,F-21-O,,
QBC,2023,F,7/20/2023,Snow Island,Inner,22,F-22-I,,
QBC,2023,F,7/20/2023,Snow Island,Middle,22,F-22-M,Y,
QBC,2023,F,7/20/2023,Snow Island,Outer,22,F-22-O,,
QBC,2023,F,7/20/2023,Lowell Cove,Inner,23,F-23-I,,
QBC,2023,F,7/20/2023,Lowell Cove,Middle,23,F-23-M,Y,
QBC,2023,F,7/20/2023,Lowell Cove,Outer,23,F-23-O,,
QBC,2023,F,7/20/2023,Garrison Cove,Inner,25,F-25-I,,
QBC,2023,F,7/20/2023,Garrison Cove,Middle,25,F-25-M,Y,
QBC,2023,F,7/20/2023,Garrison Cove,Outer,25,F-25-O,,
QBC,2023,F,7/20/2023,Long Point Cove,Inner,26,F-26-I,,
QBC,2023,F,7/20/2023,Long Point Cove,Middle,26,F-26-M,Y,
QBC,2023,F,7/20/2023,Long Point Cove,Outer,26,F-26-O,,
QBC,2023,F,7/20/2023,Blank,Blank,Blank,F-QBLANK,Y,
QBC,2023,G,8/2/2023,Orrs Cove,Inner,21,G-21-I,,
QBC,2023,G,8/2/2023,Orrs Cove,Middle,21,G-21-M,Y,
QBC,2023,G,8/2/2023,Orrs Cove,Outer,21,G-21-O,,
QBC,2023,G,8/2/2023,Snow Island,Inner,22,G-22-I,,
QBC,2023,G,8/2/2023,Snow Island,Middle,22,G-22-M,Y,
QBC,2023,G,8/2/2023,Snow Island,Outer,22,G-22-O,,
QBC,2023,G,8/2/2023,Lowell Cove,Inner,23,G-23-I,,
QBC,2023,G,8/2/2023,Lowell Cove,Middle,23,G-23-M,Y,
QBC,2023,G,8/2/2023,Lowell Cove,Outer,23,G-23-O,,
QBC,2023,G,8/2/2023,Cedar Beach,Inner,24,G-24-I,,
QBC,2023,G,8/2/2023,Cedar Beach,Middle,24,G-24-M,Y,
QBC,2023,G,8/2/2023,Cedar Beach,Outer,24,G-24-O,,
QBC,2023,G,8/2/2023,Garrison Cove,Inner,25,G-25-I,,
QBC,2023,G,8/2/2023,Garrison Cove,Middle,25,G-25-M,Y,
QBC,2023,G,8/2/2023,Garrison Cove,Outer,25,G-25-O,,
QBC,2023,G,8/2/2023,Long Point Cove,Inner,26,G-26-I,,
QBC,2023,G,8/2/2023,Long Point Cove,Middle,26,G-26-M,Y,
QBC,2023,G,8/2/2023,Long Point Cove,Outer,26,G-26-O,,
QBC,2023,G,8/2/2023,Blank,Blank,Blank,G-QBLANK,Y,
QBC,2023,H,8/9/2023,Orrs Cove,Inner,21,H-21-I,,
QBC,2023,H,8/9/2023,Orrs Cove,Middle,21,H-21-M,Y,Discarded 100 mL
QBC,2023,H,8/9/2023,Orrs Cove,Outer,21,H-21-O,,Discarded 100 mL
QBC,2023,H,8/9/2023,Snow Island,Inner,22,H-22-I,,
QBC,2023,H,8/9/2023,Snow Island,Middle,22,H-22-M,Y,
QBC,2023,H,8/9/2023,Snow Island,Outer,22,H-22-O,,
QBC,2023,H,8/10/2023,Lowell Cove,Inner,23,H-23-I,,
QBC,2023,H,8/10/2023,Lowell Cove,Middle,23,H-23-M,Y,
QBC,2023,H,8/10/2023,Lowell Cove,Outer,23,H-23-O,,
QBC,2023,H,8/10/2023,Cedar Beach,Inner,24,H-24-I,,
QBC,2023,H,8/10/2023,Cedar Beach,Middle,24,H-24-M,Y,
QBC,2023,H,8/10/2023,Cedar Beach,Outer,24,H-24-O,,
QBC,2023,H,8/10/2023,Garrison Cove,Inner,25,H-25-I,,
QBC,2023,H,8/10/2023,Garrison Cove,Middle,25,H-25-M,Y,
QBC,2023,H,8/10/2023,Garrison Cove,Outer,25,H-25-O,,
QBC,2023,H,8/10/2023,Long Point Cove,Inner,26,H-26-I,,
QBC,2023,H,8/10/2023,Long Point Cove,Middle,26,H-26-M,Y,
QBC,2023,H,8/10/2023,Long Point Cove,Outer,26,H-26-O,,
QBC,2023,H,8/10/2023,Blank,Blank,Blank,H-QBLANK,Y,
QBC,2023,I,8/16/2023,Orrs Cove,Inner,21,I-21-I,,All 8/16/2023 samples filtered next day
QBC,2023,I,8/16/2023,Orrs Cove,Middle,21,I-21-M,Y,
QBC,2023,I,8/16/2023,Orrs Cove,Outer,21,I-21-O,,
QBC,2023,I,8/16/2023,Snow Island,Inner,22,I-22-I,,
QBC,2023,I,8/16/2023,Snow Island,Middle,22,I-22-M,Y,
QBC,2023,I,8/16/2023,Snow Island,Outer,22,I-22-O,,
QBC,2023,I,8/16/2023,Lowell Cove,Inner,23,I-23-I,,
QBC,2023,I,8/16/2023,Lowell Cove,Middle,23,I-23-M,Y,
QBC,2023,I,8/16/2023,Lowell Cove,Outer,23,I-23-O,,
QBC,2023,I,8/16/2023,Cedar Beach,Inner,24,I-24-I,,
QBC,2023,I,8/16/2023,Cedar Beach,Middle,24,I-24-M,Y,
QBC,2023,I,8/16/2023,Cedar Beach,Outer,24,I-24-O,,
QBC,2023,I,8/16/2023,Garrison Cove,Inner,25,I-25-I,,
QBC,2023,I,8/16/2023,Garrison Cove,Middle,25,I-25-M,Y,
QBC,2023,I,8/16/2023,Garrison Cove,Outer,25,I-25-O,,
QBC,2023,I,8/16/2023,Long Point Cove,Inner,26,I-26-I,,
QBC,2023,I,8/16/2023,Long Point Cove,Middle,26,I-26-M,Y,
QBC,2023,I,8/16/2023,Long Point Cove,Outer,26,I-26-O,,
QBC,2023,I,8/16/2023,Blank,Blank,Blank,I-QBLANK,Y,
QBC,2023,J,8/28/2023,Orrs Cove,Inner,21,J-21-I,,
QBC,2023,J,8/28/2023,Orrs Cove,Middle,21,J-21-M,Y,
QBC,2023,J,8/28/2023,Orrs Cove,Outer,21,J-21-O,,
QBC,2023,J,8/28/2023,Snow Island,Inner,22,J-22-I,,
QBC,2023,J,8/28/2023,Snow Island,Middle,22,J-22-M,Y,
QBC,2023,J,8/28/2023,Snow Island,Outer,22,J-22-O,,
QBC,2023,J,8/28/2023,Lowell Cove,Inner,23,J-23-I,,
QBC,2023,J,8/28/2023,Lowell Cove,Middle,23,J-23-M,Y,
QBC,2023,J,8/28/2023,Lowell Cove,Outer,23,J-23-O,,
QBC,2023,J,8/28/2023,Cedar Beach,Inner,24,J-24-I,,
QBC,2023,J,8/28/2023,Cedar Beach,Middle,24,J-24-M,Y,
QBC,2023,J,8/28/2023,Cedar Beach,Outer,24,J-24-O,,
QBC,2023,J,8/28/2023,Garrison Cove,Inner,25,J-25-I,,
QBC,2023,J,8/28/2023,Garrison Cove,Middle,25,J-25-M,Y,
QBC,2023,J,8/28/2023,Garrison Cove,Outer,25,J-25-O,,
QBC,2023,J,8/28/2023,Long Point Cove,Inner,26,J-26-I,,
QBC,2023,J,8/28/2023,Long Point Cove,Middle,26,J-26-M,Y,
QBC,2023,J,8/28/2023,Long Point Cove,Outer,26,J-26-O,,
QBC,2023,J,8/28/2023,Blank,Blank,Blank,J-QBLANK,Y,
QBC,2024,A,6/6/2024,Orrs Cove,1,21,A-21-1,,
QBC,2024,A,6/6/2024,Orrs Cove,2,21,A-21-2,,
QBC,2024,A,6/6/2024,Orrs Cove,3,21,A-21-3,,
QBC,2024,A,6/6/2024,Snow Island,1,22,A-22-1,,
QBC,2024,A,6/6/2024,Snow Island,2,22,A-22-2,,
QBC,2024,A,6/6/2024,Snow Island,3,22,A-22-3,,
QBC,2024,A,6/6/2024,Lowell Cove,1,23,A-23-1,,
QBC,2024,A,6/6/2024,Lowell Cove,2,23,A-23-2,,
QBC,2024,A,6/6/2024,Lowell Cove,3,23,A-23-3,,
QBC,2024,A,6/6/2024,Garrison Cove,1,25,A-25-1,,
QBC,2024,A,6/6/2024,Garrison Cove,2,25,A-25-2,,
QBC,2024,A,6/6/2024,Garrison Cove,3,25,A-25-3,,
QBC,2024,A,6/6/2024,Long Point Cove,1,26,A-26-1,,
QBC,2024,A,6/6/2024,Long Point Cove,2,26,A-26-2,,
QBC,2024,A,6/6/2024,Long Point Cove,3,26,A-26-3,,
QBC,2024,A,6/6/2024,Stovers Point,1,28,A-28-1,,
QBC,2024,A,6/6/2024,Stovers Point,2,28,A-28-2,,
QBC,2024,A,6/6/2024,Stovers Point,3,28,A-28-3,,
QBC,2024,A,6/6/2024,Blank,Blank,Blank,A-QBLANK,,
QBC,2024,B,6/17/2024,Orrs Cove,1,21,B-21-1,,
QBC,2024,B,6/17/2024,Orrs Cove,2,21,B-21-2,,
QBC,2024,B,6/17/2024,Orrs Cove,3,21,B-21-3,,
QBC,2024,B,6/17/2024,Snow Island,1,22,B-22-1,,
QBC,2024,B,6/17/2024,Snow Island,2,22,B-22-2,,
QBC,2024,B,6/17/2024,Snow Island,3,22,B-22-3,,
QBC,2024,B,6/17/2024,Lowell Cove,1,23,B-23-1,,
QBC,2024,B,6/17/2024,Lowell Cove,2,23,B-23-2,,
QBC,2024,B,6/17/2024,Lowell Cove,3,23,B-23-3,,
QBC,2024,B,6/17/2024,Garrison Cove,1,25,B-25-1,,
QBC,2024,B,6/17/2024,Garrison Cove,2,25,B-25-2,,
QBC,2024,B,6/17/2024,Garrison Cove,3,25,B-25-3,,
QBC,2024,B,6/17/2024,Long Point Cove,1,26,B-26-1,,
QBC,2024,B,6/17/2024,Long Point Cove,2,26,B-26-2,,
QBC,2024,B,6/17/2024,Long Point Cove,3,26,B-26-3,,
QBC,2024,B,6/17/2024,Stovers Point,1,28,B-28-1,,
QBC,2024,B,6/17/2024,Stovers Point,2,28,B-28-2,,
QBC,2024,B,6/17/2024,Stovers Point,3,28,B-28-3,,
QBC,2024,B,6/17/2024,Blank,Blank,Blank,B-QBLANK,,
QBC,2024,C,6/24/2024,Orrs Cove,1,21,C-21-1,,Discarded 245 mL
QBC,2024,C,6/24/2024,Orrs Cove,2,21,C-21-2,,
QBC,2024,C,6/24/2024,Orrs Cove,3,21,C-21-3,,
QBC,2024,C,6/24/2024,Snow Island,1,22,C-22-1,,
QBC,2024,C,6/24/2024,Snow Island,2,22,C-22-2,,Discarded 50 mL
QBC,2024,C,6/24/2024,Snow Island,3,22,C-22-3,,Discarded 90 mL
QBC,2024,C,6/24/2024,Lowell Cove,1,23,C-23-1,,Discarded 200 mL
QBC,2024,C,6/24/2024,Lowell Cove,2,23,C-23-2,,Discarded 200 mL
QBC,2024,C,6/24/2024,Lowell Cove,3,23,C-23-3,,
QBC,2024,C,6/24/2024,Garrison Cove,1,25,C-25-1,,
QBC,2024,C,6/24/2024,Garrison Cove,2,25,C-25-2,,
QBC,2024,C,6/24/2024,Garrison Cove,3,25,C-25-3,,
QBC,2024,C,6/24/2024,Long Point Cove,1,26,C-26-1,,
QBC,2024,C,6/24/2024,Long Point Cove,2,26,C-26-2,,
QBC,2024,C,6/24/2024,Long Point Cove,3,26,C-26-3,,
QBC,2024,C,6/24/2024,Stovers Point,1,28,C-28-1,,
QBC,2024,C,6/24/2024,Stovers Point,2,28,C-28-2,,
QBC,2024,C,6/24/2024,Stovers Point,3,28,C-28-3,,
QBC,2024,C,6/24/2024,Blank,Blank,Blank,C-QBLANK,,
QBC,2024,D,7/3/2024,Orrs Cove,1,21,D-21-1,,
QBC,2024,D,7/3/2024,Orrs Cove,2,21,D-21-2,,
QBC,2024,D,7/3/2024,Orrs Cove,3,21,D-21-3,,
QBC,2024,D,7/3/2024,Snow Island,1,22,D-22-1,,
QBC,2024,D,7/3/2024,Snow Island,2,22,D-22-2,,
QBC,2024,D,7/3/2024,Snow Island,3,22,D-22-3,,
QBC,2024,D,7/3/2024,Lowell Cove,1,23,D-23-1,,
QBC,2024,D,7/3/2024,Lowell Cove,2,23,D-23-2,,
QBC,2024,D,7/3/2024,Lowell Cove,3,23,D-23-3,,
QBC,2024,D,7/3/2024,Garrison Cove,1,25,D-25-1,,
QBC,2024,D,7/3/2024,Garrison Cove,2,25,D-25-2,,
QBC,2024,D,7/3/2024,Garrison Cove,3,25,D-25-3,,
QBC,2024,D,7/3/2024,Long Point Cove,1,26,D-26-1,,
QBC,2024,D,7/3/2024,Long Point Cove,2,26,D-26-2,,
QBC,2024,D,7/3/2024,Long Point Cove,3,26,D-26-3,,
QBC,2024,D,7/3/2024,Stovers Point,1,28,D-28-1,,
QBC,2024,D,7/3/2024,Stovers Point,2,28,D-28-2,,
QBC,2024,D,7/3/2024,Stovers Point,3,28,D-28-3,,
QBC,2024,D,7/3/2024,Blank,Blank,Blank,D-QBLANK,,
QBC,2024,E,7/8/2024,Orrs Cove,1,21,E-21-1,,
QBC,2024,E,7/8/2024,Orrs Cove,2,21,E-21-2,,
QBC,2024,E,7/8/2024,Orrs Cove,3,21,E-21-3,,
QBC,2024,E,7/8/2024,Snow Island,1,22,E-22-1,,
QBC,2024,E,7/8/2024,Snow Island,2,22,E-22-2,,
QBC,2024,E,7/8/2024,Snow Island,3,22,E-22-3,,
QBC,2024,E,7/8/2024,Lowell Cove,1,23,E-23-1,,
QBC,2024,E,7/8/2024,Lowell Cove,2,23,E-23-2,,
QBC,2024,E,7/8/2024,Lowell Cove,3,23,E-23-3,,
QBC,2024,E,7/8/2024,Garrison Cove,1,25,E-25-1,,
QBC,2024,E,7/8/2024,Garrison Cove,2,25,E-25-2,,
QBC,2024,E,7/8/2024,Garrison Cove,3,25,E-25-3,,
QBC,2024,E,7/8/2024,Long Point Cove,1,26,E-26-1,,
QBC,2024,E,7/8/2024,Long Point Cove,2,26,E-26-2,,
QBC,2024,E,7/8/2024,Long Point Cove,3,26,E-26-3,,
QBC,2024,E,7/8/2024,Stovers Point,1,28,E-28-1,,
QBC,2024,E,7/8/2024,Stovers Point,2,28,E-28-2,,
QBC,2024,E,7/8/2024,Stovers Point,3,28,E-28-3,,
QBC,2024,E,7/8/2024,Blank,Blank,Blank,E-QBLANK,,
QBC,2024,F,7/17/2024,Orrs Cove,1C,21,F-21-1C,,Site contaminated with plant material after heavy rain. Discarded 800 ml. There are also A and B samples but they are unusable.
QBC,2024,F,7/17/2024,Orrs Cove,2C,21,F-21-2C,,Discarded 600 ml
QBC,2024,F,7/17/2024,Orrs Cove,3C,21,F-21-3C,,Discarded 400 ml
QBC,2024,F,7/17/2024,Snow Island,1,22,F-22-1,,
QBC,2024,F,7/17/2024,Snow Island,2,22,F-22-2,,
QBC,2024,F,7/17/2024,Snow Island,3,22,F-22-3,,
QBC,2024,F,7/17/2024,Lowell Cove,1,23,F-23-1,,
QBC,2024,F,7/17/2024,Lowell Cove,2,23,F-23-2,,
QBC,2024,F,7/17/2024,Lowell Cove,3,23,F-23-3,,
QBC,2024,F,7/17/2024,Garrison Cove,1,25,F-25-1,,
QBC,2024,F,7/17/2024,Garrison Cove,2,25,F-25-2,,
QBC,2024,F,7/17/2024,Garrison Cove,3,25,F-25-3,,
QBC,2024,F,7/17/2024,Long Point Cove,1,26,F-26-1,,
QBC,2024,F,7/17/2024,Long Point Cove,2,26,F-26-2,,
QBC,2024,F,7/17/2024,Long Point Cove,3,26,F-26-3,,
QBC,2024,F,7/17/2024,Stovers Point,1,28,F-28-1,,
QBC,2024,F,7/17/2024,Stovers Point,2,28,F-28-2,,
QBC,2024,F,7/17/2024,Stovers Point,3,28,F-28-3,,
QBC,2024,F,7/17/2024,Blank,Blank,Blank,F-QBLANK,,
QBC,2024,G,7/22/2024,Orrs Cove,1,21,G-21-1,,
QBC,2024,G,7/22/2024,Orrs Cove,2,21,G-21-2,,
QBC,2024,G,7/22/2024,Orrs Cove,3,21,G-21-3,,
QBC,2024,G,7/22/2024,Snow Island,1,22,G-22-1,,
QBC,2024,G,7/22/2024,Snow Island,2,22,G-22-2,,
QBC,2024,G,7/22/2024,Snow Island,3,22,G-22-3,,
QBC,2024,G,7/22/2024,Lowell Cove,1,23,G-23-1,,
QBC,2024,G,7/22/2024,Lowell Cove,2,23,G-23-2,,
QBC,2024,G,7/22/2024,Lowell Cove,3,23,G-23-3,,
QBC,2024,G,7/22/2024,Garrison Cove,1,25,G-25-1,,
QBC,2024,G,7/22/2024,Garrison Cove,2,25,G-25-2,,
QBC,2024,G,7/22/2024,Garrison Cove,3,25,G-25-3,,
QBC,2024,G,7/22/2024,Long Point Cove,1,26,G-26-1,,
QBC,2024,G,7/22/2024,Long Point Cove,2,26,G-26-2,,
QBC,2024,G,7/22/2024,Long Point Cove,3,26,G-26-3,,
QBC,2024,G,7/22/2024,Stovers Point,1,28,G-28-1,,
QBC,2024,G,7/22/2024,Stovers Point,2,28,G-28-2,,
QBC,2024,G,7/22/2024,Stovers Point,3,28,G-28-3,,
QBC,2024,G,7/22/2024,Blank,Blank,Blank,G-QBLANK,,
QBC,2024,H,8/1/2024,Orrs Cove,1,21,H-21-1,,Discarded 175 ml
QBC,2024,H,8/1/2024,Orrs Cove,2,21,H-21-2,,Discarded 72 ml
QBC,2024,H,8/1/2024,Orrs Cove,3,21,H-21-3,,Discarded 60 ml
QBC,2024,H,8/1/2024,Snow Island,1,22,H-22-1,,
QBC,2024,H,8/1/2024,Snow Island,2,22,H-22-2,,
QBC,2024,H,8/1/2024,Snow Island,3,22,H-22-3,,
QBC,2024,H,8/1/2024,Lowell Cove,1,23,H-23-1,,
QBC,2024,H,8/1/2024,Lowell Cove,2,23,H-23-2,,Discarded 150 ml
QBC,2024,H,8/1/2024,Lowell Cove,3,23,H-23-3,,Discarded 250 ml
QBC,2024,H,8/1/2024,Garrison Cove,1,25,H-25-1,,
QBC,2024,H,8/1/2024,Garrison Cove,2,25,H-25-2,,
QBC,2024,H,8/1/2024,Garrison Cove,3,25,H-25-3,,
QBC,2024,H,8/1/2024,Long Point Cove,1,26,H-26-1,,
QBC,2024,H,8/1/2024,Long Point Cove,2,26,H-26-2,,
QBC,2024,H,8/1/2024,Long Point Cove,3,26,H-26-3,,
QBC,2024,H,8/1/2024,Stovers Point,1,28,H-28-1,,
QBC,2024,H,8/1/2024,Stovers Point,2,28,H-28-2,,
QBC,2024,H,8/1/2024,Stovers Point,3,28,H-28-3,,
QBC,2024,H,8/1/2024,Blank,Blank,Blank,H-QBLANK,,
QBC,2024,I,8/5/2024,Orrs Cove,1,21,I-21-1,,
QBC,2024,I,8/5/2024,Orrs Cove,2,21,I-21-2,,Discarded 68 ml
QBC,2024,I,8/5/2024,Orrs Cove,3,21,I-21-3,,
QBC,2024,I,8/5/2024,Snow Island,1,22,I-22-1,,Discarded 190 ml
QBC,2024,I,8/5/2024,Snow Island,2,22,I-22-2,,"Glass shattered, lost indeterminate amount"
QBC,2024,I,8/5/2024,Snow Island,3,22,I-22-3,,
QBC,2024,I,8/5/2024,Lowell Cove,1,23,I-23-1,,
QBC,2024,I,8/5/2024,Lowell Cove,2,23,I-23-2,,
QBC,2024,I,8/5/2024,Lowell Cove,3,23,I-23-3,,Discarded 35 ml
QBC,2024,I,8/5/2024,Garrison Cove,1,25,I-25-1,,
QBC,2024,I,8/5/2024,Garrison Cove,2,25,I-25-2,,
QBC,2024,I,8/5/2024,Garrison Cove,3,25,I-25-3,,
QBC,2024,I,8/5/2024,Long Point Cove,1,26,I-26-1,,
QBC,2024,I,8/5/2024,Long Point Cove,2,26,I-26-2,,
QBC,2024,I,8/5/2024,Long Point Cove,3,26,I-26-3,,
QBC,2024,I,8/5/2024,Stovers Point,1,28,I-28-1,,
QBC,2024,I,8/5/2024,Stovers Point,2,28,I-28-2,,
QBC,2024,I,8/5/2024,Stovers Point,3,28,I-28-3,,
QBC,2024,I,8/5/2024,Blank,Blank,Blank,I-QBLANK,,
QBC,2024,J,8/13/2024,Stovers Point,1,28,J-28-1,,"Taken 8/13, filtered 8/14"
QBC,2024,J,8/13/2024,Stovers Point,2,28,J-28-2,,"Taken 8/13, filtered 8/14"
QBC,2024,J,8/13/2024,Stovers Point,3,28,J-28-3,,"Taken 8/13, filtered 8/14"
QBC,2024,J,8/13/2024,Garrison Cove,1,25,J-25-1,,"Taken 8/13, filtered 8/14"
QBC,2024,J,8/13/2024,Garrison Cove,2,25,J-25-2,,"Taken 8/13, filtered 8/14"
QBC,2024,J,8/13/2024,Garrison Cove,3,25,J-25-3,,"Taken 8/13, filtered 8/14"
QBC,2024,J,8/14/2024,Orrs Cove,1,21,J-21-1,,All samples taken 8/14 filtered 8/14
QBC,2024,J,8/14/2024,Orrs Cove,2,21,J-21-2,,
QBC,2024,J,8/14/2024,Orrs Cove,3,21,J-21-3,,
QBC,2024,J,8/14/2024,Snow Island,1,22,J-22-1,,
QBC,2024,J,8/14/2024,Snow Island,2,22,J-22-2,,
QBC,2024,J,8/14/2024,Snow Island,3,22,J-22-3,,
QBC,2024,J,8/14/2024,Lowell Cove,1,23,J-23-1,,
QBC,2024,J,8/14/2024,Lowell Cove,2,23,J-23-2,,
QBC,2024,J,8/14/2024,Lowell Cove,3,23,J-23-3,,
QBC,2024,J,8/14/2024,Long Point Cove,1,26,J-26-1,,
QBC,2024,J,8/14/2024,Long Point Cove,2,26,J-26-2,,
QBC,2024,J,8/14/2024,Long Point Cove,3,26,J-26-3,,
QBC,2024,J,8/14/2024,Blank,Blank,Blank,J-QBLANK,,
QBC,2024,K,8/21/2024,Orrs Cove,1,21,K-21-1,,
QBC,2024,K,8/21/2024,Orrs Cove,2,21,K-21-2,,
QBC,2024,K,8/21/2024,Orrs Cove,3,21,K-21-3,,
QBC,2024,K,8/21/2024,Snow Island,1,22,K-22-1,,
QBC,2024,K,8/21/2024,Snow Island,2,22,K-22-2,,
QBC,2024,K,8/21/2024,Snow Island,3,22,K-22-3,,
QBC,2024,K,8/21/2024,Lowell Cove,1,23,K-23-1,,
QBC,2024,K,8/21/2024,Lowell Cove,2,23,K-23-2,,
