"species","week","year","catch"
"shorthorn sculpin",28,2014,1
"atlantic tomcod",28,2014,4
"winter flounder",28,2014,4
"atlantic cod",28,2014,0
"american sand lance",28,2014,0
"mummichog",28,2014,1
"atlantic silverside",28,2014,2
"alewife",28,2014,71
"atlantic herring",28,2014,24914
"striped bass",28,2014,0
"white hake",28,2014,0
"saithe",28,2014,0
"rock gunnel",28,2014,0
"american shad",28,2014,1
"atlantic menhaden",28,2014,0
"bluefish",28,2014,0
"ninespine stickleback",28,2014,0
"red hake",28,2014,0
"spotted hake",28,2014,0
"longhorn sculpin",28,2014,0
"threespine stickleback",28,2014,0
"blueback herring",28,2014,0
"american eel",28,2014,0
"northern puffer",28,2014,0
"lumpfish",28,2014,0
"white mullet",28,2014,0
"grubby",28,2014,0
"shortnose sturgeon",28,2014,0
"permit",28,2014,0
"crevalle jack",28,2014,0
"cunner",28,2014,0
"summer flounder",28,2014,0
"atlantic mackerel",28,2014,0
"fourspine stickleback",28,2014,0
"northern pipefish",29,2014,0
"shorthorn sculpin",29,2014,1
"atlantic tomcod",29,2014,2
"winter flounder",29,2014,5
"atlantic cod",29,2014,0
"american sand lance",29,2014,114
"mummichog",29,2014,0
"atlantic silverside",29,2014,2
"alewife",29,2014,1086
"atlantic herring",29,2014,44
"striped bass",29,2014,0
"white hake",29,2014,0
"saithe",29,2014,0
"rock gunnel",29,2014,0
"american shad",29,2014,0
"atlantic menhaden",29,2014,98
"bluefish",29,2014,0
"ninespine stickleback",29,2014,0
"red hake",29,2014,0
"spotted hake",29,2014,0
"longhorn sculpin",29,2014,0
"threespine stickleback",29,2014,0
"blueback herring",29,2014,0
"american eel",29,2014,0
"northern puffer",29,2014,0
"lumpfish",29,2014,0
"white mullet",29,2014,0
"grubby",29,2014,0
"shortnose sturgeon",29,2014,0
"permit",29,2014,0
"crevalle jack",29,2014,0
"cunner",29,2014,0
"summer flounder",29,2014,0
"atlantic mackerel",29,2014,0
"fourspine stickleback",29,2014,0
"northern pipefish",30,2014,0
"shorthorn sculpin",30,2014,1
"atlantic tomcod",30,2014,0
"winter flounder",30,2014,7
"atlantic cod",30,2014,0
"american sand lance",30,2014,0
"mummichog",30,2014,31
"atlantic silverside",30,2014,43
"alewife",30,2014,143
"atlantic herring",30,2014,135
"striped bass",30,2014,0
"white hake",30,2014,0
"saithe",30,2014,0
"rock gunnel",30,2014,0
"american shad",30,2014,0
"atlantic menhaden",30,2014,0
"bluefish",30,2014,16
"ninespine stickleback",30,2014,0
"red hake",30,2014,0
"spotted hake",30,2014,0
"longhorn sculpin",30,2014,0
"threespine stickleback",30,2014,0
"blueback herring",30,2014,0
"american eel",30,2014,0
"northern puffer",30,2014,0
"lumpfish",30,2014,0
"white mullet",30,2014,0
"grubby",30,2014,0
"shortnose sturgeon",30,2014,0
"permit",30,2014,0
"crevalle jack",30,2014,0
"cunner",30,2014,0
"summer flounder",30,2014,0
"atlantic mackerel",30,2014,0
"fourspine stickleback",30,2014,0
"northern pipefish",31,2014,0
"shorthorn sculpin",31,2014,0
"atlantic tomcod",31,2014,0
"winter flounder",31,2014,20
"atlantic cod",31,2014,0
"american sand lance",31,2014,923
"mummichog",31,2014,210
"atlantic silverside",31,2014,96
"alewife",31,2014,17
"atlantic herring",31,2014,1
"striped bass",31,2014,0
"white hake",31,2014,0
"saithe",31,2014,0
"rock gunnel",31,2014,1
"american shad",31,2014,0
"atlantic menhaden",31,2014,0
"bluefish",31,2014,0
"ninespine stickleback",31,2014,2
"red hake",31,2014,1
"spotted hake",31,2014,0
"longhorn sculpin",31,2014,0
"threespine stickleback",31,2014,0
"blueback herring",31,2014,0
"american eel",31,2014,0
"northern puffer",31,2014,0
"lumpfish",31,2014,0
"white mullet",31,2014,0
"grubby",31,2014,0
"shortnose sturgeon",31,2014,0
"permit",31,2014,0
"crevalle jack",31,2014,0
"cunner",31,2014,0
"summer flounder",31,2014,0
"atlantic mackerel",31,2014,0
"fourspine stickleback",31,2014,0
"northern pipefish",32,2014,0
"shorthorn sculpin",32,2014,0
"atlantic tomcod",32,2014,1
"winter flounder",32,2014,8
"atlantic cod",32,2014,0
"american sand lance",32,2014,5
"mummichog",32,2014,1
"atlantic silverside",32,2014,550
"alewife",32,2014,18
"atlantic herring",32,2014,3189
"striped bass",32,2014,1
"white hake",32,2014,0
"saithe",32,2014,0
"rock gunnel",32,2014,0
"american shad",32,2014,0
"atlantic menhaden",32,2014,0
"bluefish",32,2014,3
"ninespine stickleback",32,2014,0
"red hake",32,2014,0
"spotted hake",32,2014,0
"longhorn sculpin",32,2014,0
"threespine stickleback",32,2014,0
"blueback herring",32,2014,0
"american eel",32,2014,0
"northern puffer",32,2014,0
"lumpfish",32,2014,0
"white mullet",32,2014,0
"grubby",32,2014,0
"shortnose sturgeon",32,2014,0
"permit",32,2014,0
"crevalle jack",32,2014,0
"cunner",32,2014,0
"summer flounder",32,2014,0
"atlantic mackerel",32,2014,0
"fourspine stickleback",32,2014,0
"northern pipefish",33,2014,0
"shorthorn sculpin",33,2014,0
"atlantic tomcod",33,2014,0
"winter flounder",33,2014,8
"atlantic cod",33,2014,0
"american sand lance",33,2014,384
"mummichog",33,2014,2
"atlantic silverside",33,2014,324
"alewife",33,2014,803
"atlantic herring",33,2014,25
"striped bass",33,2014,0
"white hake",33,2014,0
"saithe",33,2014,0
"rock gunnel",33,2014,0
"american shad",33,2014,0
"atlantic menhaden",33,2014,0
"bluefish",33,2014,5
"ninespine stickleback",33,2014,0
"red hake",33,2014,0
"spotted hake",33,2014,1
"longhorn sculpin",33,2014,0
"threespine stickleback",33,2014,0
"blueback herring",33,2014,0
"american eel",33,2014,0
"northern puffer",33,2014,0
"lumpfish",33,2014,0
"white mullet",33,2014,0
"grubby",33,2014,0
"shortnose sturgeon",33,2014,0
"permit",33,2014,0
"crevalle jack",33,2014,0
"cunner",33,2014,0
"summer flounder",33,2014,0
"atlantic mackerel",33,2014,0
"fourspine stickleback",33,2014,0
"northern pipefish",34,2014,0
"shorthorn sculpin",34,2014,0
"atlantic tomcod",34,2014,0
"winter flounder",34,2014,0
"atlantic cod",34,2014,0
"american sand lance",34,2014,239
"mummichog",34,2014,1
"atlantic silverside",34,2014,1190
"alewife",34,2014,119
"atlantic herring",34,2014,0
"striped bass",34,2014,0
"white hake",34,2014,0
"saithe",34,2014,0
"rock gunnel",34,2014,0
"american shad",34,2014,0
"atlantic menhaden",34,2014,0
"bluefish",34,2014,0
"ninespine stickleback",34,2014,0
"red hake",34,2014,0
"spotted hake",34,2014,0
"longhorn sculpin",34,2014,0
"threespine stickleback",34,2014,0
"blueback herring",34,2014,0
"american eel",34,2014,0
"northern puffer",34,2014,0
"lumpfish",34,2014,0
"white mullet",34,2014,0
"grubby",34,2014,0
"shortnose sturgeon",34,2014,0
"permit",34,2014,0
"crevalle jack",34,2014,0
"cunner",34,2014,0
"summer flounder",34,2014,0
"atlantic mackerel",34,2014,0
"fourspine stickleback",34,2014,0
"northern pipefish",35,2014,0
"shorthorn sculpin",35,2014,0
"atlantic tomcod",35,2014,0
"winter flounder",35,2014,7
"atlantic cod",35,2014,0
"american sand lance",35,2014,4
"mummichog",35,2014,0
"atlantic silverside",35,2014,133
"alewife",35,2014,26
"atlantic herring",35,2014,0
"striped bass",35,2014,0
"white hake",35,2014,0
"saithe",35,2014,0
"rock gunnel",35,2014,1
"american shad",35,2014,0
"atlantic menhaden",35,2014,0
"bluefish",35,2014,1
"ninespine stickleback",35,2014,0
"red hake",35,2014,0
"spotted hake",35,2014,0
"longhorn sculpin",35,2014,0
"threespine stickleback",35,2014,0
"blueback herring",35,2014,0
"american eel",35,2014,0
"northern puffer",35,2014,0
"lumpfish",35,2014,0
"white mullet",35,2014,0
"grubby",35,2014,0
"shortnose sturgeon",35,2014,0
"permit",35,2014,0
"crevalle jack",35,2014,0
"cunner",35,2014,0
"summer flounder",35,2014,0
"atlantic mackerel",35,2014,0
"fourspine stickleback",35,2014,0
"northern pipefish",36,2014,NA
"shorthorn sculpin",36,2014,NA
"atlantic tomcod",36,2014,NA
"winter flounder",36,2014,NA
"atlantic cod",36,2014,NA
"american sand lance",36,2014,NA
"mummichog",36,2014,NA
"atlantic silverside",36,2014,NA
"alewife",36,2014,NA
"atlantic herring",36,2014,NA
"striped bass",36,2014,NA
"white hake",36,2014,NA
"saithe",36,2014,NA
"rock gunnel",36,2014,NA
"american shad",36,2014,NA
"atlantic menhaden",36,2014,NA
"bluefish",36,2014,NA
"ninespine stickleback",36,2014,NA
"red hake",36,2014,NA
"spotted hake",36,2014,NA
"longhorn sculpin",36,2014,NA
"threespine stickleback",36,2014,NA
"blueback herring",36,2014,NA
"american eel",36,2014,NA
"northern puffer",36,2014,NA
"lumpfish",36,2014,NA
"white mullet",36,2014,NA
"grubby",36,2014,NA
"shortnose sturgeon",36,2014,NA
"permit",36,2014,NA
"crevalle jack",36,2014,NA
"cunner",36,2014,NA
"summer flounder",36,2014,NA
"atlantic mackerel",36,2014,NA
"fourspine stickleback",36,2014,NA
"northern pipefish",37,2014,NA
"shorthorn sculpin",37,2014,NA
"atlantic tomcod",37,2014,NA
"winter flounder",37,2014,NA
"atlantic cod",37,2014,NA
"american sand lance",37,2014,NA
"mummichog",37,2014,NA
"atlantic silverside",37,2014,NA
"alewife",37,2014,NA
"atlantic herring",37,2014,NA
"striped bass",37,2014,NA
"white hake",37,2014,NA
"saithe",37,2014,NA
"rock gunnel",37,2014,NA
"american shad",37,2014,NA
"atlantic menhaden",37,2014,NA
"bluefish",37,2014,NA
"ninespine stickleback",37,2014,NA
"red hake",37,2014,NA
"spotted hake",37,2014,NA
"longhorn sculpin",37,2014,NA
"threespine stickleback",37,2014,NA
"blueback herring",37,2014,NA
"american eel",37,2014,NA
"northern puffer",37,2014,NA
"lumpfish",37,2014,NA
"white mullet",37,2014,NA
"grubby",37,2014,NA
"shortnose sturgeon",37,2014,NA
"permit",37,2014,NA
"crevalle jack",37,2014,NA
"cunner",37,2014,NA
"summer flounder",37,2014,NA
"atlantic mackerel",37,2014,NA
"fourspine stickleback",37,2014,NA
"northern pipefish",38,2014,NA
"shorthorn sculpin",38,2014,NA
"atlantic tomcod",38,2014,NA
"winter flounder",38,2014,NA
"atlantic cod",38,2014,NA
"american sand lance",38,2014,NA
"mummichog",38,2014,NA
"atlantic silverside",38,2014,NA
"alewife",38,2014,NA
"atlantic herring",38,2014,NA
"striped bass",38,2014,NA
"white hake",38,2014,NA
"saithe",38,2014,NA
"rock gunnel",38,2014,NA
"american shad",38,2014,NA
"atlantic menhaden",38,2014,NA
"bluefish",38,2014,NA
"ninespine stickleback",38,2014,NA
"red hake",38,2014,NA
"spotted hake",38,2014,NA
"longhorn sculpin",38,2014,NA
"threespine stickleback",38,2014,NA
"blueback herring",38,2014,NA
"american eel",38,2014,NA
"northern puffer",38,2014,NA
"lumpfish",38,2014,NA
"white mullet",38,2014,NA
"grubby",38,2014,NA
"shortnose sturgeon",38,2014,NA
"permit",38,2014,NA
"crevalle jack",38,2014,NA
"cunner",38,2014,NA
"summer flounder",38,2014,NA
"atlantic mackerel",38,2014,NA
"fourspine stickleback",38,2014,NA
"northern pipefish",39,2014,NA
"shorthorn sculpin",39,2014,NA
"atlantic tomcod",39,2014,NA
"winter flounder",39,2014,NA
"atlantic cod",39,2014,NA
"american sand lance",39,2014,NA
"mummichog",39,2014,NA
"atlantic silverside",39,2014,NA
"alewife",39,2014,NA
"atlantic herring",39,2014,NA
"striped bass",39,2014,NA
"white hake",39,2014,NA
"saithe",39,2014,NA
"rock gunnel",39,2014,NA
"american shad",39,2014,NA
"atlantic menhaden",39,2014,NA
"bluefish",39,2014,NA
"ninespine stickleback",39,2014,NA
"red hake",39,2014,NA
"spotted hake",39,2014,NA
"longhorn sculpin",39,2014,NA
"threespine stickleback",39,2014,NA
"blueback herring",39,2014,NA
"american eel",39,2014,NA
"northern puffer",39,2014,NA
"lumpfish",39,2014,NA
"white mullet",39,2014,NA
"grubby",39,2014,NA
"shortnose sturgeon",39,2014,NA
"permit",39,2014,NA
"crevalle jack",39,2014,NA
"cunner",39,2014,NA
"summer flounder",39,2014,NA
"atlantic mackerel",39,2014,NA
"fourspine stickleback",39,2014,NA
"northern pipefish",22,2015,NA
"shorthorn sculpin",22,2015,NA
"atlantic tomcod",22,2015,NA
"winter flounder",22,2015,NA
"atlantic cod",22,2015,NA
"american sand lance",22,2015,NA
"mummichog",22,2015,NA
"atlantic silverside",22,2015,NA
"alewife",22,2015,NA
"atlantic herring",22,2015,NA
"striped bass",22,2015,NA
"white hake",22,2015,NA
"saithe",22,2015,NA
"rock gunnel",22,2015,NA
"american shad",22,2015,NA
"atlantic menhaden",22,2015,NA
"bluefish",22,2015,NA
"ninespine stickleback",22,2015,NA
"red hake",22,2015,NA
"spotted hake",22,2015,NA
"longhorn sculpin",22,2015,NA
"threespine stickleback",22,2015,NA
"blueback herring",22,2015,NA
"american eel",22,2015,NA
"northern puffer",22,2015,NA
"lumpfish",22,2015,NA
"white mullet",22,2015,NA
"grubby",22,2015,NA
"shortnose sturgeon",22,2015,NA
"permit",22,2015,NA
"crevalle jack",22,2015,NA
"cunner",22,2015,NA
"summer flounder",22,2015,NA
"atlantic mackerel",22,2015,NA
"fourspine stickleback",22,2015,NA
"northern pipefish",23,2015,NA
"shorthorn sculpin",23,2015,NA
"atlantic tomcod",23,2015,NA
"winter flounder",23,2015,NA
"atlantic cod",23,2015,NA
"american sand lance",23,2015,NA
"mummichog",23,2015,NA
"atlantic silverside",23,2015,NA
"alewife",23,2015,NA
"atlantic herring",23,2015,NA
"striped bass",23,2015,NA
"white hake",23,2015,NA
"saithe",23,2015,NA
"rock gunnel",23,2015,NA
"american shad",23,2015,NA
"atlantic menhaden",23,2015,NA
"bluefish",23,2015,NA
"ninespine stickleback",23,2015,NA
"red hake",23,2015,NA
"spotted hake",23,2015,NA
"longhorn sculpin",23,2015,NA
"threespine stickleback",23,2015,NA
"blueback herring",23,2015,NA
"american eel",23,2015,NA
"northern puffer",23,2015,NA
"lumpfish",23,2015,NA
"white mullet",23,2015,NA
"grubby",23,2015,NA
"shortnose sturgeon",23,2015,NA
"permit",23,2015,NA
"crevalle jack",23,2015,NA
"cunner",23,2015,NA
"summer flounder",23,2015,NA
"atlantic mackerel",23,2015,NA
"fourspine stickleback",23,2015,NA
"northern pipefish",24,2015,0
"shorthorn sculpin",24,2015,0
"atlantic tomcod",24,2015,14
"winter flounder",24,2015,1
"atlantic cod",24,2015,0
"american sand lance",24,2015,0
"mummichog",24,2015,11
"atlantic silverside",24,2015,66
"alewife",24,2015,1
"atlantic herring",24,2015,0
"striped bass",24,2015,0
"white hake",24,2015,1
"saithe",24,2015,0
"rock gunnel",24,2015,0
"american shad",24,2015,0
"atlantic menhaden",24,2015,0
"bluefish",24,2015,0
"ninespine stickleback",24,2015,0
"red hake",24,2015,0
"spotted hake",24,2015,0
"longhorn sculpin",24,2015,4
"threespine stickleback",24,2015,0
"blueback herring",24,2015,0
"american eel",24,2015,0
"northern puffer",24,2015,0
"lumpfish",24,2015,0
"white mullet",24,2015,0
"grubby",24,2015,0
"shortnose sturgeon",24,2015,0
"permit",24,2015,0
"crevalle jack",24,2015,0
"cunner",24,2015,0
"summer flounder",24,2015,0
"atlantic mackerel",24,2015,0
"fourspine stickleback",24,2015,0
"northern pipefish",25,2015,0
"shorthorn sculpin",25,2015,0
"atlantic tomcod",25,2015,3
"winter flounder",25,2015,1
"atlantic cod",25,2015,0
"american sand lance",25,2015,0
"mummichog",25,2015,1
"atlantic silverside",25,2015,172
"alewife",25,2015,0
"atlantic herring",25,2015,0
"striped bass",25,2015,0
"white hake",25,2015,0
"saithe",25,2015,0
"rock gunnel",25,2015,0
"american shad",25,2015,0
"atlantic menhaden",25,2015,0
"bluefish",25,2015,0
"ninespine stickleback",25,2015,0
"red hake",25,2015,0
"spotted hake",25,2015,0
"longhorn sculpin",25,2015,0
"threespine stickleback",25,2015,3
"blueback herring",25,2015,0
"american eel",25,2015,0
"northern puffer",25,2015,0
"lumpfish",25,2015,0
"white mullet",25,2015,0
"grubby",25,2015,0
"shortnose sturgeon",25,2015,0
"permit",25,2015,0
"crevalle jack",25,2015,0
"cunner",25,2015,0
"summer flounder",25,2015,0
"atlantic mackerel",25,2015,0
"fourspine stickleback",25,2015,0
"northern pipefish",26,2015,NA
"shorthorn sculpin",26,2015,NA
"atlantic tomcod",26,2015,NA
"winter flounder",26,2015,NA
"atlantic cod",26,2015,NA
"american sand lance",26,2015,NA
"mummichog",26,2015,NA
"atlantic silverside",26,2015,NA
"alewife",26,2015,NA
"atlantic herring",26,2015,NA
"striped bass",26,2015,NA
"white hake",26,2015,NA
"saithe",26,2015,NA
"rock gunnel",26,2015,NA
"american shad",26,2015,NA
"atlantic menhaden",26,2015,NA
"bluefish",26,2015,NA
"ninespine stickleback",26,2015,NA
"red hake",26,2015,NA
"spotted hake",26,2015,NA
"longhorn sculpin",26,2015,NA
"threespine stickleback",26,2015,NA
"blueback herring",26,2015,NA
"american eel",26,2015,NA
"northern puffer",26,2015,NA
"lumpfish",26,2015,NA
"white mullet",26,2015,NA
"grubby",26,2015,NA
"shortnose sturgeon",26,2015,NA
"permit",26,2015,NA
"crevalle jack",26,2015,NA
"cunner",26,2015,NA
"summer flounder",26,2015,NA
"atlantic mackerel",26,2015,NA
"fourspine stickleback",26,2015,NA
"northern pipefish",27,2015,0
"shorthorn sculpin",27,2015,0
"atlantic tomcod",27,2015,1
"winter flounder",27,2015,1
"atlantic cod",27,2015,0
"american sand lance",27,2015,16
"mummichog",27,2015,6
"atlantic silverside",27,2015,8
"alewife",27,2015,76
"atlantic herring",27,2015,12
"striped bass",27,2015,1
"white hake",27,2015,0
"saithe",27,2015,0
"rock gunnel",27,2015,0
"american shad",27,2015,4
"atlantic menhaden",27,2015,0
"bluefish",27,2015,0
"ninespine stickleback",27,2015,0
"red hake",27,2015,0
"spotted hake",27,2015,0
"longhorn sculpin",27,2015,0
"threespine stickleback",27,2015,0
"blueback herring",27,2015,3
"american eel",27,2015,0
"northern puffer",27,2015,0
"lumpfish",27,2015,0
"white mullet",27,2015,0
"grubby",27,2015,0
"shortnose sturgeon",27,2015,0
"permit",27,2015,0
"crevalle jack",27,2015,0
"cunner",27,2015,0
"summer flounder",27,2015,0
"atlantic mackerel",27,2015,0
"fourspine stickleback",27,2015,0
"northern pipefish",28,2015,0
"shorthorn sculpin",28,2015,0
"atlantic tomcod",28,2015,0
"winter flounder",28,2015,1
"atlantic cod",28,2015,0
"american sand lance",28,2015,0
"mummichog",28,2015,2
"atlantic silverside",28,2015,10
"alewife",28,2015,0
"atlantic herring",28,2015,6
"striped bass",28,2015,0
"white hake",28,2015,0
"saithe",28,2015,0
"rock gunnel",28,2015,0
"american shad",28,2015,0
"atlantic menhaden",28,2015,0
"bluefish",28,2015,0
"ninespine stickleback",28,2015,0
"red hake",28,2015,0
"spotted hake",28,2015,0
"longhorn sculpin",28,2015,0
"threespine stickleback",28,2015,0
"blueback herring",28,2015,0
"american eel",28,2015,0
"northern puffer",28,2015,0
"lumpfish",28,2015,0
"white mullet",28,2015,0
"grubby",28,2015,0
"shortnose sturgeon",28,2015,0
"permit",28,2015,0
"crevalle jack",28,2015,0
"cunner",28,2015,0
"summer flounder",28,2015,0
"atlantic mackerel",28,2015,0
"fourspine stickleback",28,2015,0
"northern pipefish",29,2015,2
"shorthorn sculpin",29,2015,0
"atlantic tomcod",29,2015,0
"winter flounder",29,2015,5
"atlantic cod",29,2015,0
"american sand lance",29,2015,1
"mummichog",29,2015,1
"atlantic silverside",29,2015,27
"alewife",29,2015,1
"atlantic herring",29,2015,0
"striped bass",29,2015,0
"white hake",29,2015,0
"saithe",29,2015,0
"rock gunnel",29,2015,0
"american shad",29,2015,0
"atlantic menhaden",29,2015,0
"bluefish",29,2015,0
"ninespine stickleback",29,2015,1
"red hake",29,2015,0
"spotted hake",29,2015,0
"longhorn sculpin",29,2015,0
"threespine stickleback",29,2015,0
"blueback herring",29,2015,0
"american eel",29,2015,0
"northern puffer",29,2015,0
"lumpfish",29,2015,0
"white mullet",29,2015,0
"grubby",29,2015,0
"shortnose sturgeon",29,2015,0
"permit",29,2015,0
"crevalle jack",29,2015,0
"cunner",29,2015,0
"summer flounder",29,2015,0
"atlantic mackerel",29,2015,0
"fourspine stickleback",29,2015,0
"northern pipefish",30,2015,0
"shorthorn sculpin",30,2015,6
"atlantic tomcod",30,2015,10
"winter flounder",30,2015,11
"atlantic cod",30,2015,0
"american sand lance",30,2015,5
"mummichog",30,2015,227
"atlantic silverside",30,2015,118
"alewife",30,2015,267
"atlantic herring",30,2015,150
"striped bass",30,2015,0
"white hake",30,2015,0
"saithe",30,2015,0
"rock gunnel",30,2015,0
"american shad",30,2015,0
"atlantic menhaden",30,2015,0
"bluefish",30,2015,0
"ninespine stickleback",30,2015,0
"red hake",30,2015,0
"spotted hake",30,2015,0
"longhorn sculpin",30,2015,0
"threespine stickleback",30,2015,3
"blueback herring",30,2015,0
"american eel",30,2015,0
"northern puffer",30,2015,0
"lumpfish",30,2015,0
"white mullet",30,2015,0
"grubby",30,2015,0
"shortnose sturgeon",30,2015,0
"permit",30,2015,0
"crevalle jack",30,2015,0
"cunner",30,2015,0
"summer flounder",30,2015,0
"atlantic mackerel",30,2015,0
"fourspine stickleback",30,2015,0
"northern pipefish",31,2015,0
"shorthorn sculpin",31,2015,0
"atlantic tomcod",31,2015,0
"winter flounder",31,2015,46
