"loc_id","year","date","site_id","site_name","bay_location","substrate","set_time","weather","temp_degc","do_mg/l","salinity_ppt","hermit_crabs","shrimp","notes"
"2014_004_07",2014,2014-07-01,"07","Mackworth Island - Beach","Mid","sand/shell",2014-07-01 14:05:00,"sunny",22.3,8.2,16.9,NA,NA,NA
"2014_004_02",2014,2014-07-01,"02","Skitterygusset","Inner","mud",2014-07-01 14:55:00,"sunny",23.4,8.9,0.86,NA,NA,NA
"2014_004_08",2014,2014-07-01,"08","Back Cove","Mid","mud",2014-07-01 15:40:00,"sunny",20.3,8.1,29.77,NA,NA,NA
"2014_005_09",2014,2014-07-08,"09","Great Diamond Island","Outer","sand/gravel",2014-07-08 12:35:00,"sunny",16,8.2,30.34,"absent","low",NA
"2014_005_06",2014,2014-07-08,"06","Mackworth Island - North","Mid","mud/shell",2014-07-08 13:20:00,"sunny",16.2,9.3,31.93,"absent","high",NA
"2014_005_01",2014,2014-07-08,"01","Presumpscot Moorings","Inner","mud/gravel",2014-07-08 14:20:00,"sunny",25.5,7.8,0.68,"absent","absent",NA
"2014_005_10",2014,2014-07-08,"10","SMCC","Outer","sand/gravel",2014-07-08 12:00:00,"sunny",14.6,8.5,32.19,"present","low",NA
"2014_005_03",2014,2014-07-08,"03","Audubon","Inner","mud",2014-07-08 14:55:00,"sunny",24.1,8.1,6.66,"absent","medium",NA
"2014_006_12",2014,2014-07-17,"12","Alewife Cove","Outer","gravel",2014-07-17 14:44:00,"overcast",13.9,10,30.6,"absent","high",NA
"2014_006_11",2014,2014-07-17,"11","Cushing Island","Outer","mud",2014-07-17 15:55:00,"sunny",17.2,8.7,31.83,"present","high",NA
"2014_006_08",2014,2014-07-17,"08","Back Cove","Mid","mud",2014-07-17 16:55:00,"sunny",15.6,8.8,32,"absent","absent",NA
"2014_006_02",2014,2014-07-17,"02","Skitterygusset","Inner","mud",2014-07-17 17:50:00,"sunny",25.2,9,3.36,"absent","absent",NA
"2014_006_07",2014,2014-07-17,"07","Mackworth Island - Beach","Mid","sand/shell",2014-07-17 18:50:00,"sunny",18.1,9.7,32.32,"absent","absent",NA
"2014_006_04",2014,2014-07-17,"04","Mussel Cove","Mid","mud",2014-07-17 19:42:00,"sunny",19.4,9.4,33.3,"absent","absent",NA
"2014_007_10",2014,2014-07-22,"10","SMCC","Outer","sand/gravel",2014-07-22 12:15:00,"sunny",17.4,8.4,28.64,"present","low",NA
"2014_007_09",2014,2014-07-22,"09","Great Diamond Island","Outer","sand/gravel",2014-07-22 12:50:00,"sunny",16.1,9,31.06,"present","absent",NA
"2014_007_06",2014,2014-07-22,"06","Mackworth Island - North","Mid","gravel",2014-07-22 13:24:00,"sunny",16,9.6,33.48,NA,"low",NA
"2014_007_01",2014,2014-07-22,"01","Presumpscot Moorings","Inner","gravel",2014-07-22 14:10:00,"sunny",24.6,7.8,0.36,"absent","absent",NA
"2014_007_03",2014,2014-07-22,"03","Audubon","Inner","sand",2014-07-22 14:40:00,"sunny",22.9,8.5,7.25,NA,NA,NA
"2014_007_05",2014,2014-07-22,"05","The Brothers - North","Mid","mud/shell",2014-07-22 15:20:00,"sunny",18,9.9,33.42,"present","low",NA
"2014_008_12",2014,2014-08-01,"12","Alewife Cove","Outer","sand/gravel",2014-08-01 13:30:00,"partly cloudy",15.5,9.5,33.65,"absent","medium",NA
"2014_008_11",2014,2014-08-01,"11","Cushing Island","Outer","sand/shell",2014-08-01 14:20:00,"sunny",18.4,10.7,33.33,"present","high",NA
"2014_008_07",2014,2014-08-01,"07","Mackworth Island - Beach","Mid","mud/shell",2014-08-01 15:00:00,"overcast",23.1,8.3,16.5,"present","high",NA
"2014_008_02",2014,2014-08-01,"02","Skitterygusset","Inner","mud",2014-08-01 15:43:00,"sunny",25.3,7.3,2.61,"absent","medium",NA
"2014_008_08",2014,2014-08-01,"08","Back Cove","Mid","mud",2014-08-01 16:30:00,"sunny",18.3,7.5,31.2,"absent","medium",NA
"2014_008_04",2014,2014-08-01,"04","Mussel Cove","Mid","mud",2014-08-01 17:15:00,"sunny",22.1,9.1,33.62,"absent","absent",NA
"2014_009_01",2014,2014-08-07,"01","Presumpscot Moorings","Inner","mud/gravel",2014-08-07 13:35:00,"overcast",23.4,7.4,0.49,"absent","low",NA
"2014_009_03",2014,2014-08-07,"03","Audubon","Inner","mud/sand",2014-08-07 13:55:00,"overcast",21.3,7.6,11.95,"absent","low",NA
"2014_009_06",2014,2014-08-07,"06","Mackworth Island - North","Mid","mud/shell",2014-08-07 14:30:00,"overcast",20.1,9.1,30.96,"absent","medium",NA
"2014_009_05",2014,2014-08-07,"05","The Brothers - North","Mid","sand/gravel",2014-08-07 14:55:00,"overcast",20.8,9.2,31.07,"present","absent",NA
"2014_009_09",2014,2014-08-07,"09","Great Diamond Island","Outer","sand/shell",2014-08-07 15:30:00,"sunny",18.3,9.2,32.07,"absent","low",NA
"2014_009_10",2014,2014-08-07,"10","SMCC","Outer","sand/shell",2014-08-07 16:27:00,"rain",19.2,8.9,29.07,"present","medium",NA
"2014_010_12",2014,2014-08-12,"12","Alewife Cove","Outer",NA,2014-08-12 12:15:00,NA,15.5,7.8,32.7,"absent","low","Extremely foggy, Rock crab also present in seine (haven't seen many before)."
"2014_010_11",2014,2014-08-12,"11","Cushing Island","Outer","mud/gravel",2014-08-12 13:05:00,"foggy",16.6,8.2,31.77,"present","high",NA
"2014_010_07",2014,2014-08-12,"07","Mackworth Island - Beach","Mid","sand/gravel",2014-08-12 13:30:00,"foggy",18.4,7.7,25.61,"absent","low",NA
"2014_010_02",2014,2014-08-12,"02","Skitterygusset","Inner","mud",2014-08-12 14:20:00,"foggy",20.9,6.8,14.7,"absent","absent",NA
"2014_010_08",2014,2014-08-12,"08","Back Cove","Mid","mud/gravel",2014-08-12 15:05:00,"foggy",16.8,7.6,31.43,"absent","absent",NA
"2014_010_04",2014,2014-08-12,"04","Mussel Cove","Mid","mud",2014-08-12 15:45:00,"foggy",18.8,8.2,33.24,"absent","absent","Seine on the marsh edge"
"2014_011_10",2014,2014-08-21,"10","SMCC","Outer","sand/gravel",2014-08-21 07:55:00,"overcast",17.4,8.3,27.56,"present","low",NA
"2014_011_03",2014,2014-08-21,"03","Audubon","Inner","sand/mud/gravel",2014-08-21 09:10:00,"overcast",20.6,7.9,5.8,"absent","low",NA
"2014_011_01",2014,2014-08-21,"01","Presumpscot Moorings","Inner","mud/gravel",2014-08-21 09:50:00,"sunny",21.8,8.5,0.15,"absent","absent",NA
"2014_011_05",2014,2014-08-21,"05","The Brothers - North","Mid","sand/gravel",2014-08-21 10:30:00,"overcast",18.6,9.7,32.55,"absent","low",NA
"2014_011_09",2014,2014-08-21,"09","Great Diamond Island","Outer","sand/gravel",2014-08-21 11:20:00,"overcast",17.4,8.9,31.54,"present","medium",NA
"2014_011_06",2014,2014-08-21,"06","Mackworth Island - North","Mid","sand/gravel",2014-08-21 10:00:00,"sunny",17.6,8.7,32.63,"absent","low",NA
"2014_012_12",2014,2014-08-28,"12","Alewife Cove","Outer","sand/gravel",2014-08-28 09:00:00,"sunny",16.1,8.7,33.44,"absent","low","too much algae for effective seining"
"2014_012_11",2014,2014-08-28,"11","Cushing Island","Outer","mud/gravel",2014-08-28 09:48:00,"sunny",17.6,8.6,30.53,"present","low",NA
"2014_012_07",2014,2014-08-28,"07","Mackworth Island - Beach","Mid","sand/gravel",2014-08-28 10:30:00,"sunny",21.4,9.1,19.22,"absent","high",NA
"2014_012_02",2014,2014-08-28,"02","Skitterygusset","Inner","mud",2014-08-28 11:15:00,"partly cloudy",23.3,8.2,8.2,"absent","low",NA
"2014_012_04",2014,2014-08-28,"04","Mussel Cove","Mid","mud",2014-08-28 12:45:00,"partly cloudy",21.6,8.2,33.01,"absent","low",NA
"2014_012_08",2014,2014-08-28,"08","Back Cove","Mid","mud/gravel",2014-08-28 13:30:00,"partly cloudy",19.5,8.2,33.01,"absent","absent",NA
"2015_013_01",2015,2015-06-12,"01","Presumpscot Moorings","Inner",NA,2015-06-12 11:21:00,"overcast",19.1,14,3.66,"absent","absent",NA
"2015_013_03",2015,2015-06-12,"03","Audubon","Inner",NA,2015-06-12 12:05:00,"overcast",13.3,11.4,39.5,"absent","absent",NA
"2015_013_07",2015,2015-06-12,"07","Mackworth Island - Beach","Mid",NA,2015-06-12 12:40:00,"overcast",13.4,9.2,33.22,"absent","medium",NA
"2015_013_05",2015,2015-06-12,"05","The Brothers - North","Mid",NA,2015-06-12 13:20:00,"overcast",12.9,10.4,33.76,"present","absent",NA
"2015_013_09",2015,2015-06-12,"09","Great Diamond Island","Outer",NA,2015-06-12 14:00:00,"partly cloudy",12.5,10.5,33.44,"present","medium",NA
"2015_013_10",2015,2015-06-12,"10","SMCC","Outer",NA,2015-06-12 14:40:00,"sunny",12.2,10.8,33.76,"present","medium",NA
"2015_013_11",2015,2015-06-12,"11","Cushing Island","Outer",NA,2015-06-12 15:30:00,"overcast",13.7,10.7,33.77,"present","medium",NA
"2015_014_12",2015,2015-06-17,"12","Alewife Cove","Outer",NA,2015-06-17 14:30:00,"sunny",12.8,13.2,33.08,"absent","absent","no catch"
"2015_014_08",2015,2015-06-17,"08","Back Cove","Mid",NA,2015-06-17 15:40:00,"sunny",14.8,11.4,33.2,"absent","absent",NA
"2015_014_02",2015,2015-06-17,"02","Skitterygusset","Inner",NA,2015-06-17 16:20:00,"sunny",15.2,9.9,28.29,"absent","absent",NA
"2015_014_06",2015,2015-06-17,"06","Mackworth Island - North","Mid",NA,2015-06-17 17:00:00,"sunny",15.2,11.8,33.65,"present","high",NA
"2015_014_04",2015,2015-06-17,"04","Mussel Cove","Mid",NA,2015-06-17 17:35:00,"sunny",19,12,34.46,"absent","medium",NA
"2015_015_05",2015,2015-06-30,"05","The Brothers - North","Mid",NA,2015-06-30 12:15:00,"sunny",16.5,9.5,30.5,"absent","absent",NA
"2015_015_07",2015,2015-06-30,"07","Mackworth Island - Beach","Mid",NA,2015-06-30 12:45:00,"sunny",16.2,9,28.24,"absent","low",NA
"2015_015_01",2015,2015-06-30,"01","Presumpscot Moorings","Inner",NA,2015-06-30 13:20:00,"sunny",18.5,10.6,0.47,"absent","absent",NA
"2015_015_03",2015,2015-06-30,"03","Audubon","Inner",NA,2015-06-30 13:55:00,"sunny",18.2,9.1,8.24,"absent","absent",NA
"2015_015_09",2015,2015-06-30,"09","Great Diamond Island","Outer",NA,2015-06-30 14:50:00,"sunny",17.5,9.3,30.7,"present","medium",NA
"2015_015_10",2015,2015-06-30,"10","SMCC","Outer",NA,2015-06-30 15:25:00,"sunny",16.3,10.8,30.26,"absent","low",NA
"2015_016_02",2015,2015-07-09,"02","Skitterygusset","Inner",NA,2015-07-09 11:25:00,"sunny",16.4,7,30.48,"absent","low",NA
"2015_016_08",2015,2015-07-09,"08","Back Cove","Mid",NA,2015-07-09 12:00:00,"overcast",15.7,7.2,32.45,"absent","absent","no catch"
"2015_016_06",2015,2015-07-09,"06","Mackworth Island - North","Mid",NA,2015-07-09 12:50:00,"overcast",16.8,9.6,33,"absent","high",NA
"2015_016_11",2015,2015-07-09,"11","Cushing Island","Outer",NA,2015-07-09 15:00:00,"overcast",13.3,11.2,33.76,"absent","absent",NA
"2015_017_04",2015,2015-07-14,"04","Mussel Cove","Mid",NA,2015-07-14 12:50:00,"foggy",18.4,8.5,33.3,"absent","medium",NA
"2015_017_05",2015,2015-07-14,"05","The Brothers - North","Mid",NA,2015-07-14 13:20:00,"sunny",18.2,10.1,33.68,"present","absent","no catch"
"2015_017_07",2015,2015-07-14,"07","Mackworth Island - Beach","Mid",NA,2015-07-14 13:52:00,"sunny",17,9.3,31.79,"absent","absent",NA
"2015_017_01",2015,2015-07-14,"01","Presumpscot Moorings","Inner",NA,2015-07-14 14:30:00,"overcast",24.6,8.2,1.46,"absent","absent",NA
"2015_017_03",2015,2015-07-14,"03","Audubon","Inner",NA,2015-07-14 15:05:00,"overcast",18.6,8.7,18.99,"absent","medium",NA
"2015_017_09",2015,2015-07-14,"09","Great Diamond Island","Outer",NA,2015-07-14 15:50:00,"sunny",16,9.7,33.41,"absent","low",NA
"2015_018_11",2015,2015-07-21,"11","Cushing Island","Outer",NA,2015-07-21 14:05:00,"foggy",14.8,10.1,32.62,"present","high",NA
"2015_018_12",2015,2015-07-21,"12","Alewife Cove","Outer",NA,2015-07-21 15:03:00,"foggy",15.5,11.5,33.65,"present","high",NA
"2015_018_10",2015,2015-07-21,"10","SMCC","Outer",NA,2015-07-21 16:00:00,"foggy",17,11.2,31.67,"present","high",NA
"2015_018_04",2015,2015-07-21,"04","Mussel Cove","Mid",NA,2015-07-21 16:35:00,"foggy",19.5,9.9,33.26,"absent","medium",NA
"2015_018_06",2015,2015-07-21,"06","Mackworth Island - North","Mid",NA,2015-07-21 17:30:00,"foggy",17.9,11.7,33.06,"present","low",NA
"2015_018_02",2015,2015-07-21,"02","Skitterygusset","Inner",NA,2015-07-21 18:05:00,"foggy",22.1,9.3,18.28,"absent","absent",NA
"2015_018_08",2015,2015-07-21,"08","Back Cove","Mid",NA,2015-07-21 18:45:00,"foggy",17.1,10.1,32.04,"absent","absent",NA
"2015_019_05",2015,2015-07-29,"05","The Brothers - North","Mid",NA,2015-07-29 14:36:00,"sunny",19.1,9.3,32.17,"absent","absent",NA
"2015_019_07",2015,2015-07-29,"07","Mackworth Island - Beach","Mid",NA,2015-07-29 15:00:00,"sunny",19.3,9.2,31.17,"absent","absent",NA
"2015_019_01",2015,2015-07-29,"01","Presumpscot Moorings","Inner",NA,2015-07-29 15:42:00,"partly cloudy",23.9,8.4,2.75,"absent","absent",NA
"2015_019_03",2015,2015-07-29,"03","Audubon","Inner",NA,2015-07-29 16:17:00,"sunny",23,9.7,17.8,"absent","absent",NA
"2015_019_09",2015,2015-07-29,"09","Great Diamond Island","Outer",NA,2015-07-29 17:00:00,"sunny",17.2,9.8,33.31,"absent","absent",NA
"2015_019_10",2015,2015-07-29,"10","SMCC","Outer",NA,2015-07-29 17:30:00,"sunny",17,10.4,33.32,"present","medium",NA
"2015_020_12",2015,2015-08-05,"12","Alewife Cove","Outer",NA,2015-08-05 15:07:00,"mostly sunny",15.3,9.5,34.23,"present","medium",NA
"2015_020_11",2015,2015-08-05,"11","Cushing Island","Outer",NA,2015-08-05 15:42:00,"mostly sunny",16.6,10,32.79,"present","medium",NA
"2015_020_04",2015,2015-08-05,"04","Mussel Cove","Mid",NA,2015-08-05 16:41:00,"mostly sunny",19.3,9.4,33.72,"absent","absent",NA
"2015_020_06",2015,2015-08-05,"06","Mackworth Island - North","Mid",NA,2015-08-05 17:40:00,"partly cloudy",17.4,9.9,33.8,"present","medium",NA
"2015_020_02",2015,2015-08-05,"02","Skitterygusset","Inner",NA,2015-08-05 18:07:00,"partly cloudy",19.7,8.2,24.23,"absent","absent",NA
"2015_021_10",2015,2015-08-13,"10","SMCC","Outer",NA,2015-08-13 13:59:00,"sunny",16.7,8.5,32.52,"present","low",NA
"2015_021_09",2015,2015-08-13,"09","Great Diamond Island","Outer",NA,2015-08-13 14:45:00,"sunny",16.4,10,33.27,"present","absent",NA
"2015_021_05",2015,2015-08-13,"05","The Brothers - North","Mid",NA,2015-08-13 15:35:00,"sunny",18.4,8.9,33.34,"present","absent","no catch"
"2015_021_07",2015,2015-08-13,"07","Mackworth Island - Beach","Mid",NA,2015-08-13 16:08:00,"sunny",17.6,8.6,33.44,"absent","high",NA
"2015_021_01",2015,2015-08-13,"01","Presumpscot Moorings","Inner",NA,2015-08-13 17:13:00,"sunny",23.4,9,1.8,"absent","low",NA
"2015_021_03",2015,2015-08-13,"03","Audubon","Inner",NA,2015-08-13 18:00:00,"sunny",22.3,8.5,7.8,"absent","low",NA
"2015_022_12",2015,2015-08-19,"12","Alewife Cove","Outer",NA,2015-08-19 12:21:00,"foggy",17,8,34.42,"absent","low",NA
"2015_022_11",2015,2015-08-19,"11","Cushing Island","Outer",NA,2015-08-19 13:05:00,"foggy",18.2,10.1,32.72,"present","medium",NA
"2015_022_04",2015,2015-08-19,"04","Mussel Cove","Mid",NA,2015-08-19 14:07:00,"sunny",23.2,8.9,14.7,"absent","absent","very low tide, seine taken in about 1 ft of water"
"2015_022_06",2015,2015-08-19,"06","Mackworth Island - North","Mid",NA,2015-08-19 15:02:00,"sunny",20.8,9.3,32.21,"present","high",NA
"2015_022_02",2015,2015-08-19,"02","Skitterygusset","Inner",NA,2015-08-19 15:43:00,"sunny",24.4,8.5,8.72,"absent","absent",NA
"2015_022_08",2015,2015-08-19,"08","Back Cove","Mid",NA,2015-08-19 16:32:00,"sunny",19.5,8.1,32.32,"absent","absent",NA
"2015_023_10",2015,2015-08-25,"10","SMCC","Outer",NA,2015-08-25 12:45:00,NA,18.8,8.1,32.7,"present","absent",NA
"2015_023_01",2015,2015-08-25,"01","Presumpscot Moorings","Inner",NA,2015-08-25 13:20:00,"rain",24,7.7,2.23,"absent","medium",NA
"2015_023_03",2015,2015-08-25,"03","Audubon","Inner",NA,2015-08-25 13:45:00,NA,20.5,7.2,28.22,"absent","low",NA
"2015_023_07",2015,2015-08-25,"07","Mackworth Island - Beach","Mid",NA,2015-08-25 14:30:00,NA,21.2,7.8,22.7,"present","medium",NA
"2015_023_05",2015,2015-08-25,"05","The Brothers - North","Mid",NA,2015-08-25 15:05:00,NA,20.2,8.8,33.8,NA,NA,NA
"2015_023_09",2015,2015-08-25,"09","Great Diamond Island","Outer",NA,2015-08-25 15:55:00,"rain",19.1,0,33.37,NA,NA,NA
"2015_024_06",2015,2015-09-01,"06","Mackworth Island - North","Mid",NA,NA,"sunny",18.1,9.1,34.33,"absent","absent",NA
"2015_024_04",2015,2015-09-01,"04","Mussel Cove","Mid",NA,NA,NA,19.9,9.8,34.48,NA,NA,NA
"2015_024_12",2015,2015-09-01,"12","Alewife Cove","Outer",NA,NA,NA,16.5,8.5,34.46,NA,NA,"A lot of sandlances schooling, but none captured"
"2015_024_11",2015,2015-09-01,"11","Cushing Island","Outer",NA,NA,"sunny",17.7,9.7,34.09,"present","low",NA
"2015_024_02",2015,2015-09-01,"02","Skitterygusset","Inner",NA,NA,NA,19.9,8.8,27.89,NA,NA,NA
"2015_024_08",2015,2015-09-01,"08","Back Cove","Mid",NA,NA,NA,18.3,8.7,33.54,NA,NA,"no catch"
"2015_025_10",2015,2015-09-10,"10","SMCC","Outer",NA,2015-09-10 13:40:00,"overcast",17.6,8.4,33.35,"absent","absent",NA
"2015_025_09",2015,2015-09-10,"09","Great Diamond Island","Outer",NA,2015-09-10 14:40:00,"overcast",16.5,8.3,34.39,"present","low",NA
"2015_025_03",2015,2015-09-10,"03","Audubon","Inner",NA,2015-09-10 15:20:00,"overcast",18.5,8,32.42,"present","medium",NA
"2015_025_01",2015,2015-09-10,"01","Presumpscot Moorings","Inner",NA,2015-09-10 16:00:00,"overcast",21.1,6.6,22.49,"absent","high",NA
"2015_025_07",2015,2015-09-10,"07","Mackworth Island - Beach","Mid",NA,2015-09-10 16:50:00,"overcast",19,1.4,29.94,NA,NA,NA
"2015_025_05",2015,2015-09-10,"05","The Brothers - North","Mid",NA,2015-09-10 17:40:00,"overcast",19.5,9.4,34.5,NA,NA,NA
"2015_026_12",2015,2015-09-16,"12","Alewife Cove","Outer",NA,2015-09-16 13:30:00,"sunny",16.3,NA,NA,NA,NA,NA
"2015_026_11",2015,2015-09-16,"11","Cushing Island","Outer",NA,2015-09-16 14:35:00,"sunny",NA,NA,NA,"absent","low",NA
"2015_026_02",2015,2015-09-16,"02","Skitterygusset","Inner",NA,2015-09-16 15:10:00,"sunny",NA,NA,NA,NA,NA,NA
"2015_026_08",2015,2015-09-16,"08","Back Cove","Mid",NA,2015-09-16 15:55:00,"sunny",NA,NA,NA,"present","low",NA
"2015_026_06",2015,2015-09-16,"06","Mackworth Island - North","Mid",NA,2015-09-16 16:40:00,"sunny",NA,NA,NA,NA,NA,NA
"2015_026_04",2015,2015-09-16,"04","Mussel Cove","Mid",NA,2015-09-16 17:21:00,"sunny",NA,NA,NA,NA,NA,NA
"2015_027_09",2015,2015-09-24,"09","Great Diamond Island","Outer",NA,NA,"sunny",17.4,12,34.74,"present","absent",NA
"2015_027_07",2015,2015-09-24,"07","Mackworth Island - Beach","Mid",NA,NA,"sunny",16.9,10.4,31.1,"absent","high",NA
"2015_027_03",2015,2015-09-24,"03","Audubon","Inner",NA,NA,"sunny",17.5,10.2,29.57,"absent","low",NA
"2015_027_01",2015,2015-09-24,"01","Presumpscot Moorings","Inner",NA,2015-09-24 10:30:00,"partly cloudy",18.6,9.4,11.4,"absent","low",NA
"2015_027_10",2015,2015-09-24,"10","SMCC","Outer",NA,NA,"overcast",16.3,9.7,33.71,NA,NA,NA
"2015_027_05",2015,2015-09-24,"05","The Brothers - North","Mid",NA,NA,"sunny",17.7,12,34.86,NA,NA,NA
"2016_028_01",2016,2016-06-16,"01","Presumpscot Moorings","Inner","gravel",2016-06-16 14:00:00,"sunny",20,11.4,2.7,NA,NA,NA
"2016_028_03",2016,2016-06-16,"03","Audubon","Inner","sand",2016-06-16 14:40:00,"sunny",17.7,10.7,14.8,NA,NA,NA
"2016_028_06",2016,2016-06-16,"06","Mackworth Island - North","Mid","sand",2016-06-16 15:15:00,"sunny",15.5,11,30.96,NA,NA,NA
"2016_028_04",2016,2016-06-16,"04","Mussel Cove","Mid","mud",2016-06-16 15:55:00,"sunny",17.3,11.6,30.87,NA,"medium",NA
"2016_028_09",2016,2016-06-16,"09","Great Diamond Island","Outer","sand",2016-06-16 16:39:00,"sunny",15,12,30.64,NA,NA,NA
"2016_028_11",2016,2016-06-16,"11","Cushing Island","Outer","sand",2016-06-16 17:00:00,"sunny",15.4,11.5,30.7,NA,NA,NA
"2016_029_07",2016,2016-06-24,"07","Mackworth Island - Beach","Mid","sand/shell",NA,"sunny",18.4,12.9,26.52,NA,"high",NA
"2016_029_12",2016,2016-06-24,"12","Alewife Cove","Outer","sand",2016-06-24 13:55:00,"sunny",12.8,10.3,30.21,NA,"low","lots of sandlance too small for mesh"
"2016_029_10",2016,2016-06-24,"10","SMCC","Outer","sand",2016-06-24 14:35:00,"sunny",15,10.1,29.97,NA,NA,"no catch"
"2016_029_05",2016,2016-06-24,"05","The Brothers - North","Mid","gravel/shell",2016-06-24 15:25:00,"sunny",16.5,12.6,31.13,NA,NA,NA
"2016_029_02",2016,2016-06-24,"02","Skitterygusset","Inner",NA,2016-06-24 16:50:00,"sunny",19.4,11.7,23.03,NA,"medium","grass"
"2016_029_08",2016,2016-06-24,"08","Back Cove","Mid",NA,2016-06-24 17:50:00,"sunny",16.3,11,29.85,NA,NA,NA
"2016_030_01",2016,2016-06-30,"01","Presumpscot Moorings","Inner","sand/gravel",2016-06-30 13:40:00,"sunny",NA,NA,NA,NA,NA,"Ysi dead"
"2016_030_03",2016,2016-06-30,"03","Audubon","Inner","sand",2016-06-30 14:20:00,"windy",NA,NA,NA,"absent","medium","YSI batteries dead; collected sed texture sample"
"2016_030_06",2016,2016-06-30,"06","Mackworth Island - North","Mid","sand/shell",2016-06-30 15:00:00,"sunny",18.6,10.7,29.9,NA,NA,"site has lots of rockweed"
"2016_030_04",2016,2016-06-30,"04","Mussel Cove","Mid","mud",2016-06-30 15:40:00,"sunny",25,11.7,30.8,"absent","absent","no catch"
"2016_030_09",2016,2016-06-30,"09","Great Diamond Island","Outer","mud/sand",2016-06-30 16:30:00,"sunny",19,12.5,30.35,NA,"high",NA
"2016_030_11",2016,2016-06-30,"11","Cushing Island","Outer","mud/sand",2016-06-30 17:00:00,"sunny",17,14.3,31.28,"present","low","eelgrass"
"2016_031_02",2016,2016-07-13,"02","Skitterygusset","Inner",NA,2016-07-13 13:30:00,"sunny",19,8.2,26.58,"absent","low","many sturgeon jumping, mussels"
"2016_031_08",2016,2016-07-13,"08","Back Cove","Mid",NA,2016-07-13 14:15:00,"sunny",20,8.7,29.86,"absent","absent","lots of mud snails, some mussels found"
"2016_031_07",2016,2016-07-13,"07","Mackworth Island - Beach","Mid",NA,2016-07-13 15:00:00,"sunny",21.7,9.4,21.09,NA,NA,NA
"2016_031_05",2016,2016-07-13,"05","The Brothers - North","Mid",NA,2016-07-13 15:50:00,"sunny",18.8,11,31.46,"present","medium",NA
"2016_031_12",2016,2016-07-13,"12","Alewife Cove","Outer",NA,2016-07-13 17:00:00,"sunny",16,11.8,31.5,"present","low",NA
"2016_031_10",2016,2016-07-13,"10","SMCC","Outer",NA,2016-07-13 18:00:00,"sunny",19,13.2,30.49,"present","medium",NA
"2016_032_09",2016,2016-07-19,"09","Great Diamond Island","Outer","sand/gravel",2016-07-19 12:10:00,"sunny",18.6,9.3,27.01,"present","high",NA
