"loc_id","date","site_name","site_id","bay_location","species_name","catch","week","month","year"
"2014_004_11",2014-07-01,"Cushing Island","11","Outer","pollock",25,27,7,2014
"2014_004_11",2014-07-01,"Cushing Island","11","Outer","rock gunnel",1,27,7,2014
"2014_004_11",2014-07-01,"Cushing Island","11","Outer","unID sculpin",3,27,7,2014
"2014_004_11",2014-07-01,"Cushing Island","11","Outer","tomcod",22,27,7,2014
"2014_004_05",2014-07-01,"The Brothers - North","05","Mid","green crab",1,27,7,2014
"2014_004_05",2014-07-01,"The Brothers - North","05","Mid","mummichog",8,27,7,2014
"2014_004_05",2014-07-01,"The Brothers - North","05","Mid","tomcod",7,27,7,2014
"2014_004_07",2014-07-01,"Mackworth Island - Beach","07","Mid","green crab",139,27,7,2014
"2014_004_07",2014-07-01,"Mackworth Island - Beach","07","Mid","atlantic silverside",1,27,7,2014
"2014_004_07",2014-07-01,"Mackworth Island - Beach","07","Mid","winter flounder",2,27,7,2014
"2014_004_02",2014-07-01,"Skitterygusset","02","Inner","mummichog",29,27,7,2014
"2014_004_02",2014-07-01,"Skitterygusset","02","Inner","atlantic silverside",1,27,7,2014
"2014_004_08",2014-07-01,"Back Cove","08","Mid","green crab",10,27,7,2014
"2014_004_08",2014-07-01,"Back Cove","08","Mid","mummichog",2,27,7,2014
"2014_004_08",2014-07-01,"Back Cove","08","Mid","atlantic silverside",3,27,7,2014
"2014_004_08",2014-07-01,"Back Cove","08","Mid","tomcod",1,27,7,2014
"2014_005_09",2014-07-08,"Great Diamond Island","09","Outer","atlantic herring",24914,28,7,2014
"2014_005_06",2014-07-08,"Mackworth Island - North","06","Mid","green crab",1,28,7,2014
"2014_005_06",2014-07-08,"Mackworth Island - North","06","Mid","shorthorn sculpin",1,28,7,2014
"2014_005_06",2014-07-08,"Mackworth Island - North","06","Mid","atlantic silverside",1,28,7,2014
"2014_005_06",2014-07-08,"Mackworth Island - North","06","Mid","tomcod",4,28,7,2014
"2014_005_01",2014-07-08,"Presumpscot Moorings","01","Inner","alewife",11,28,7,2014
"2014_005_01",2014-07-08,"Presumpscot Moorings","01","Inner","mummichog",1,28,7,2014
"2014_005_01",2014-07-08,"Presumpscot Moorings","01","Inner","american shad",1,28,7,2014
"2014_005_10",2014-07-08,"SMCC","10","Outer","green crab",6,28,7,2014
"2014_005_10",2014-07-08,"SMCC","10","Outer","winter flounder",4,28,7,2014
"2014_005_03",2014-07-08,"Audubon","03","Inner","alewife",60,28,7,2014
"2014_005_03",2014-07-08,"Audubon","03","Inner","green crab",6,28,7,2014
"2014_005_03",2014-07-08,"Audubon","03","Inner","atlantic silverside",1,28,7,2014
"2014_006_12",2014-07-17,"Alewife Cove","12","Outer","alewife",44,29,7,2014
"2014_006_12",2014-07-17,"Alewife Cove","12","Outer","green crab",1,29,7,2014
"2014_006_12",2014-07-17,"Alewife Cove","12","Outer","sandlance",114,29,7,2014
"2014_006_12",2014-07-17,"Alewife Cove","12","Outer","shorthorn sculpin",1,29,7,2014
"2014_006_12",2014-07-17,"Alewife Cove","12","Outer","winter flounder",2,29,7,2014
"2014_006_11",2014-07-17,"Cushing Island","11","Outer","green crab",33,29,7,2014
"2014_006_11",2014-07-17,"Cushing Island","11","Outer","tomcod",2,29,7,2014
"2014_006_11",2014-07-17,"Cushing Island","11","Outer","winter flounder",1,29,7,2014
"2014_006_08",2014-07-17,"Back Cove","08","Mid","alewife",55,29,7,2014
"2014_006_08",2014-07-17,"Back Cove","08","Mid","atlantic herring",5,29,7,2014
"2014_006_08",2014-07-17,"Back Cove","08","Mid","green crab",1,29,7,2014
"2014_006_08",2014-07-17,"Back Cove","08","Mid","winter flounder",1,29,7,2014
"2014_006_02",2014-07-17,"Skitterygusset","02","Inner","alewife",929,29,7,2014
"2014_006_02",2014-07-17,"Skitterygusset","02","Inner","green crab",3,29,7,2014
"2014_006_02",2014-07-17,"Skitterygusset","02","Inner","atlantic menhaden",98,29,7,2014
"2014_006_02",2014-07-17,"Skitterygusset","02","Inner","unID shiner",1,29,7,2014
"2014_006_07",2014-07-17,"Mackworth Island - Beach","07","Mid","alewife",56,29,7,2014
"2014_006_07",2014-07-17,"Mackworth Island - Beach","07","Mid","atlantic herring",10,29,7,2014
"2014_006_07",2014-07-17,"Mackworth Island - Beach","07","Mid","green crab",58,29,7,2014
"2014_006_07",2014-07-17,"Mackworth Island - Beach","07","Mid","winter flounder",1,29,7,2014
"2014_006_04",2014-07-17,"Mussel Cove","04","Mid","alewife",2,29,7,2014
"2014_006_04",2014-07-17,"Mussel Cove","04","Mid","atlantic herring",29,29,7,2014
"2014_006_04",2014-07-17,"Mussel Cove","04","Mid","atlantic silverside",2,29,7,2014
"2014_007_10",2014-07-22,"SMCC","10","Outer","alewife",3,30,7,2014
"2014_007_10",2014-07-22,"SMCC","10","Outer","green crab",1,30,7,2014
"2014_007_10",2014-07-22,"SMCC","10","Outer","atlantic silverside",6,30,7,2014
"2014_007_10",2014-07-22,"SMCC","10","Outer","winter flounder",6,30,7,2014
"2014_007_09",2014-07-22,"Great Diamond Island","09","Outer","green crab",3,30,7,2014
"2014_007_06",2014-07-22,"Mackworth Island - North","06","Mid","alewife",16,30,7,2014
"2014_007_06",2014-07-22,"Mackworth Island - North","06","Mid","atlantic herring",135,30,7,2014
"2014_007_06",2014-07-22,"Mackworth Island - North","06","Mid","green crab",4,30,7,2014
"2014_007_06",2014-07-22,"Mackworth Island - North","06","Mid","shorthorn sculpin",1,30,7,2014
"2014_007_06",2014-07-22,"Mackworth Island - North","06","Mid","winter flounder",1,30,7,2014
"2014_007_01",2014-07-22,"Presumpscot Moorings","01","Inner","alewife",37,30,7,2014
"2014_007_01",2014-07-22,"Presumpscot Moorings","01","Inner","green crab",1,30,7,2014
"2014_007_01",2014-07-22,"Presumpscot Moorings","01","Inner","atlantic silverside",2,30,7,2014
"2014_007_01",2014-07-22,"Presumpscot Moorings","01","Inner","smallmouth bass",5,30,7,2014
"2014_007_03",2014-07-22,"Audubon","03","Inner","alewife",85,30,7,2014
"2014_007_03",2014-07-22,"Audubon","03","Inner","bluefish",16,30,7,2014
"2014_007_03",2014-07-22,"Audubon","03","Inner","mummichog",31,30,7,2014
"2014_007_03",2014-07-22,"Audubon","03","Inner","atlantic silverside",26,30,7,2014
"2014_007_05",2014-07-22,"The Brothers - North","05","Mid","alewife",2,30,7,2014
"2014_007_05",2014-07-22,"The Brothers - North","05","Mid","atlantic silverside",9,30,7,2014
"2014_008_12",2014-08-01,"Alewife Cove","12","Outer","green crab",2,31,8,2014
"2014_008_12",2014-08-01,"Alewife Cove","12","Outer","rock gunnel",1,31,8,2014
"2014_008_12",2014-08-01,"Alewife Cove","12","Outer","sandlance",923,31,8,2014
"2014_008_12",2014-08-01,"Alewife Cove","12","Outer","winter flounder",6,31,8,2014
"2014_008_11",2014-08-01,"Cushing Island","11","Outer","green crab",21,31,8,2014
"2014_008_11",2014-08-01,"Cushing Island","11","Outer","ninespine stickleback",1,31,8,2014
"2014_008_11",2014-08-01,"Cushing Island","11","Outer","red hake",1,31,8,2014
"2014_008_11",2014-08-01,"Cushing Island","11","Outer","unID sculpin",6,31,8,2014
"2014_008_07",2014-08-01,"Mackworth Island - Beach","07","Mid","green crab",53,31,8,2014
"2014_008_07",2014-08-01,"Mackworth Island - Beach","07","Mid","ninespine stickleback",1,31,8,2014
"2014_008_07",2014-08-01,"Mackworth Island - Beach","07","Mid","atlantic silverside",3,31,8,2014
"2014_008_07",2014-08-01,"Mackworth Island - Beach","07","Mid","winter flounder",7,31,8,2014
"2014_008_02",2014-08-01,"Skitterygusset","02","Inner","alewife",7,31,8,2014
"2014_008_02",2014-08-01,"Skitterygusset","02","Inner","green crab",5,31,8,2014
"2014_008_02",2014-08-01,"Skitterygusset","02","Inner","mummichog",198,31,8,2014
"2014_008_02",2014-08-01,"Skitterygusset","02","Inner","atlantic silverside",93,31,8,2014
"2014_008_02",2014-08-01,"Skitterygusset","02","Inner","winter flounder",4,31,8,2014
"2014_008_08",2014-08-01,"Back Cove","08","Mid","alewife",10,31,8,2014
"2014_008_08",2014-08-01,"Back Cove","08","Mid","atlantic herring",1,31,8,2014
"2014_008_08",2014-08-01,"Back Cove","08","Mid","green crab",29,31,8,2014
"2014_008_08",2014-08-01,"Back Cove","08","Mid","mummichog",12,31,8,2014
"2014_008_08",2014-08-01,"Back Cove","08","Mid","winter flounder",3,31,8,2014
"2014_008_04",2014-08-01,"Mussel Cove","04","Mid","green crab",8,31,8,2014
"2014_009_01",2014-08-07,"Presumpscot Moorings","01","Inner","unID shiner",1,32,8,2014
"2014_009_03",2014-08-07,"Audubon","03","Inner","alewife",1,32,8,2014
"2014_009_03",2014-08-07,"Audubon","03","Inner","bluefish",3,32,8,2014
"2014_009_03",2014-08-07,"Audubon","03","Inner","green crab",3,32,8,2014
"2014_009_03",2014-08-07,"Audubon","03","Inner","atlantic silverside",429,32,8,2014
"2014_009_06",2014-08-07,"Mackworth Island - North","06","Mid","alewife",14,32,8,2014
"2014_009_06",2014-08-07,"Mackworth Island - North","06","Mid","atlantic herring",3,32,8,2014
"2014_009_06",2014-08-07,"Mackworth Island - North","06","Mid","green crab",15,32,8,2014
"2014_009_06",2014-08-07,"Mackworth Island - North","06","Mid","mummichog",1,32,8,2014
"2014_009_06",2014-08-07,"Mackworth Island - North","06","Mid","atlantic silverside",3,32,8,2014
"2014_009_06",2014-08-07,"Mackworth Island - North","06","Mid","winter flounder",2,32,8,2014
"2014_009_05",2014-08-07,"The Brothers - North","05","Mid","alewife",3,32,8,2014
"2014_009_05",2014-08-07,"The Brothers - North","05","Mid","green crab",4,32,8,2014
"2014_009_05",2014-08-07,"The Brothers - North","05","Mid","atlantic silverside",118,32,8,2014
"2014_009_05",2014-08-07,"The Brothers - North","05","Mid","striped bass",1,32,8,2014
"2014_009_09",2014-08-07,"Great Diamond Island","09","Outer","atlantic herring",3186,32,8,2014
"2014_009_10",2014-08-07,"SMCC","10","Outer","green crab",4,32,8,2014
"2014_009_10",2014-08-07,"SMCC","10","Outer","sandlance",5,32,8,2014
"2014_009_10",2014-08-07,"SMCC","10","Outer","tomcod",1,32,8,2014
"2014_009_10",2014-08-07,"SMCC","10","Outer","winter flounder",6,32,8,2014
"2014_010_12",2014-08-12,"Alewife Cove","12","Outer","sandlance",382,33,8,2014
"2014_010_12",2014-08-12,"Alewife Cove","12","Outer","spotted hake",1,33,8,2014
"2014_010_12",2014-08-12,"Alewife Cove","12","Outer","winter flounder",1,33,8,2014
"2014_010_11",2014-08-12,"Cushing Island","11","Outer","alewife",3,33,8,2014
"2014_010_11",2014-08-12,"Cushing Island","11","Outer","green crab",11,33,8,2014
"2014_010_11",2014-08-12,"Cushing Island","11","Outer","atlantic silverside",2,33,8,2014
"2014_010_11",2014-08-12,"Cushing Island","11","Outer","winter flounder",3,33,8,2014
"2014_010_07",2014-08-12,"Mackworth Island - Beach","07","Mid","alewife",800,33,8,2014
"2014_010_07",2014-08-12,"Mackworth Island - Beach","07","Mid","atlantic herring",23,33,8,2014
"2014_010_07",2014-08-12,"Mackworth Island - Beach","07","Mid","bluefish",4,33,8,2014
"2014_010_07",2014-08-12,"Mackworth Island - Beach","07","Mid","green crab",58,33,8,2014
"2014_010_07",2014-08-12,"Mackworth Island - Beach","07","Mid","sandlance",2,33,8,2014
"2014_010_07",2014-08-12,"Mackworth Island - Beach","07","Mid","atlantic silverside",20,33,8,2014
"2014_010_07",2014-08-12,"Mackworth Island - Beach","07","Mid","winter flounder",4,33,8,2014
"2014_010_02",2014-08-12,"Skitterygusset","02","Inner","atlantic herring",1,33,8,2014
"2014_010_02",2014-08-12,"Skitterygusset","02","Inner","bluefish",1,33,8,2014
"2014_010_02",2014-08-12,"Skitterygusset","02","Inner","green crab",11,33,8,2014
"2014_010_02",2014-08-12,"Skitterygusset","02","Inner","mummichog",1,33,8,2014
"2014_010_02",2014-08-12,"Skitterygusset","02","Inner","atlantic silverside",68,33,8,2014
"2014_010_08",2014-08-12,"Back Cove","08","Mid","atlantic herring",1,33,8,2014
"2014_010_08",2014-08-12,"Back Cove","08","Mid","green crab",1,33,8,2014
"2014_010_08",2014-08-12,"Back Cove","08","Mid","mummichog",1,33,8,2014
"2014_010_08",2014-08-12,"Back Cove","08","Mid","atlantic silverside",213,33,8,2014
"2014_010_04",2014-08-12,"Mussel Cove","04","Mid","atlantic silverside",21,33,8,2014
"2014_011_10",2014-08-21,"SMCC","10","Outer","green crab",6,34,8,2014
"2014_011_10",2014-08-21,"SMCC","10","Outer","sandlance",239,34,8,2014
"2014_011_10",2014-08-21,"SMCC","10","Outer","atlantic silverside",15,34,8,2014
"2014_011_03",2014-08-21,"Audubon","03","Inner","green crab",4,34,8,2014
"2014_011_03",2014-08-21,"Audubon","03","Inner","atlantic silverside",52,34,8,2014
"2014_011_01",2014-08-21,"Presumpscot Moorings","01","Inner","unID shiner",2,34,8,2014
"2014_011_01",2014-08-21,"Presumpscot Moorings","01","Inner","smallmouth bass",1,34,8,2014
"2014_011_05",2014-08-21,"The Brothers - North","05","Mid","alewife",2,34,8,2014
"2014_011_05",2014-08-21,"The Brothers - North","05","Mid","atlantic silverside",1105,34,8,2014
"2014_011_09",2014-08-21,"Great Diamond Island","09","Outer","green crab",2,34,8,2014
"2014_011_09",2014-08-21,"Great Diamond Island","09","Outer","unID sculpin",1,34,8,2014
"2014_011_06",2014-08-21,"Mackworth Island - North","06","Mid","alewife",117,34,8,2014
"2014_011_06",2014-08-21,"Mackworth Island - North","06","Mid","green crab",5,34,8,2014
"2014_011_06",2014-08-21,"Mackworth Island - North","06","Mid","mummichog",1,34,8,2014
"2014_011_06",2014-08-21,"Mackworth Island - North","06","Mid","atlantic silverside",18,34,8,2014
"2014_012_12",2014-08-28,"Alewife Cove","12","Outer","sandlance",3,35,8,2014
"2014_012_12",2014-08-28,"Alewife Cove","12","Outer","atlantic silverside",2,35,8,2014
"2014_012_11",2014-08-28,"Cushing Island","11","Outer","alewife",26,35,8,2014
"2014_012_11",2014-08-28,"Cushing Island","11","Outer","green crab",26,35,8,2014
"2014_012_11",2014-08-28,"Cushing Island","11","Outer","rock gunnel",1,35,8,2014
"2014_012_11",2014-08-28,"Cushing Island","11","Outer","sandlance",1,35,8,2014
"2014_012_11",2014-08-28,"Cushing Island","11","Outer","unID sculpin",6,35,8,2014
"2014_012_11",2014-08-28,"Cushing Island","11","Outer","atlantic silverside",1,35,8,2014
"2014_012_11",2014-08-28,"Cushing Island","11","Outer","winter flounder",1,35,8,2014
"2014_012_07",2014-08-28,"Mackworth Island - Beach","07","Mid","bluefish",1,35,8,2014
"2014_012_07",2014-08-28,"Mackworth Island - Beach","07","Mid","green crab",13,35,8,2014
"2014_012_07",2014-08-28,"Mackworth Island - Beach","07","Mid","atlantic silverside",26,35,8,2014
"2014_012_07",2014-08-28,"Mackworth Island - Beach","07","Mid","winter flounder",5,35,8,2014
"2014_012_02",2014-08-28,"Skitterygusset","02","Inner","green crab",26,35,8,2014
"2014_012_02",2014-08-28,"Skitterygusset","02","Inner","atlantic silverside",26,35,8,2014
"2014_012_02",2014-08-28,"Skitterygusset","02","Inner","winter flounder",1,35,8,2014
"2014_012_04",2014-08-28,"Mussel Cove","04","Mid","green crab",2,35,8,2014
"2014_012_04",2014-08-28,"Mussel Cove","04","Mid","atlantic silverside",26,35,8,2014
"2014_012_08",2014-08-28,"Back Cove","08","Mid","atlantic silverside",52,35,8,2014
"2015_013_01",2015-06-12,"Presumpscot Moorings","01","Inner","alewife",1,24,6,2015
"2015_013_01",2015-06-12,"Presumpscot Moorings","01","Inner","mummichog",10,24,6,2015
"2015_013_01",2015-06-12,"Presumpscot Moorings","01","Inner","atlantic silverside",57,24,6,2015
"2015_013_01",2015-06-12,"Presumpscot Moorings","01","Inner","tomcod",2,24,6,2015
"2015_013_03",2015-06-12,"Audubon","03","Inner","tomcod",2,24,6,2015
"2015_013_07",2015-06-12,"Mackworth Island - Beach","07","Mid","green crab",20,24,6,2015
"2015_013_07",2015-06-12,"Mackworth Island - Beach","07","Mid","atlantic silverside",9,24,6,2015
"2015_013_05",2015-06-12,"The Brothers - North","05","Mid","longhorn sculpin",1,24,6,2015
"2015_013_09",2015-06-12,"Great Diamond Island","09","Outer","tomcod",4,24,6,2015
"2015_013_10",2015-06-12,"SMCC","10","Outer","green crab",7,24,6,2015
"2015_013_10",2015-06-12,"SMCC","10","Outer","mummichog",1,24,6,2015
"2015_013_10",2015-06-12,"SMCC","10","Outer","tomcod",1,24,6,2015
"2015_013_10",2015-06-12,"SMCC","10","Outer","winter flounder",1,24,6,2015
"2015_013_11",2015-06-12,"Cushing Island","11","Outer","green crab",10,24,6,2015
"2015_013_11",2015-06-12,"Cushing Island","11","Outer","longhorn sculpin",3,24,6,2015
"2015_013_11",2015-06-12,"Cushing Island","11","Outer","tomcod",5,24,6,2015
"2015_013_11",2015-06-12,"Cushing Island","11","Outer","white hake",1,24,6,2015
"2015_014_08",2015-06-17,"Back Cove","08","Mid","tomcod",1,25,6,2015
"2015_014_02",2015-06-17,"Skitterygusset","02","Inner","green crab",2,25,6,2015
"2015_014_02",2015-06-17,"Skitterygusset","02","Inner","mummichog",1,25,6,2015
"2015_014_06",2015-06-17,"Mackworth Island - North","06","Mid","green crab",4,25,6,2015
"2015_014_06",2015-06-17,"Mackworth Island - North","06","Mid","threespine stickleback",1,25,6,2015
"2015_014_06",2015-06-17,"Mackworth Island - North","06","Mid","tomcod",2,25,6,2015
"2015_014_06",2015-06-17,"Mackworth Island - North","06","Mid","winter flounder",1,25,6,2015
"2015_014_04",2015-06-17,"Mussel Cove","04","Mid","atlantic silverside",172,25,6,2015
"2015_014_04",2015-06-17,"Mussel Cove","04","Mid","threespine stickleback",2,25,6,2015
"2015_015_05",2015-06-30,"The Brothers - North","05","Mid","atlantic herring",1,27,6,2015
"2015_015_05",2015-06-30,"The Brothers - North","05","Mid","atlantic silverside",2,27,6,2015
"2015_015_05",2015-06-30,"The Brothers - North","05","Mid","striped bass",1,27,6,2015
"2015_015_07",2015-06-30,"Mackworth Island - Beach","07","Mid","green crab",32,27,6,2015
"2015_015_07",2015-06-30,"Mackworth Island - Beach","07","Mid","river herring",1,27,6,2015
"2015_015_07",2015-06-30,"Mackworth Island - Beach","07","Mid","atlantic silverside",2,27,6,2015
"2015_015_07",2015-06-30,"Mackworth Island - Beach","07","Mid","tomcod",1,27,6,2015
"2015_015_01",2015-06-30,"Presumpscot Moorings","01","Inner","alewife",42,27,6,2015
"2015_015_01",2015-06-30,"Presumpscot Moorings","01","Inner","white sucker",6,27,6,2015
"2015_015_03",2015-06-30,"Audubon","03","Inner","alewife",31,27,6,2015
"2015_015_03",2015-06-30,"Audubon","03","Inner","blueback herring",3,27,6,2015
"2015_015_03",2015-06-30,"Audubon","03","Inner","green crab",1,27,6,2015
"2015_015_03",2015-06-30,"Audubon","03","Inner","mummichog",6,27,6,2015
"2015_015_03",2015-06-30,"Audubon","03","Inner","american shad",4,27,6,2015
"2015_015_03",2015-06-30,"Audubon","03","Inner","atlantic silverside",4,27,6,2015
"2015_015_09",2015-06-30,"Great Diamond Island","09","Outer","alewife",3,27,6,2015
"2015_015_09",2015-06-30,"Great Diamond Island","09","Outer","atlantic herring",11,27,6,2015
"2015_015_09",2015-06-30,"Great Diamond Island","09","Outer","sandlance",3,27,6,2015
"2015_015_10",2015-06-30,"SMCC","10","Outer","green crab",5,27,6,2015
"2015_015_10",2015-06-30,"SMCC","10","Outer","sandlance",13,27,6,2015
"2015_015_10",2015-06-30,"SMCC","10","Outer","smelt",2,27,6,2015
"2015_015_10",2015-06-30,"SMCC","10","Outer","winter flounder",1,27,6,2015
"2015_016_02",2015-07-09,"Skitterygusset","02","Inner","green crab",4,28,7,2015
"2015_016_02",2015-07-09,"Skitterygusset","02","Inner","atlantic silverside",6,28,7,2015
"2015_016_06",2015-07-09,"Mackworth Island - North","06","Mid","atlantic herring",6,28,7,2015
"2015_016_06",2015-07-09,"Mackworth Island - North","06","Mid","green crab",4,28,7,2015
"2015_016_06",2015-07-09,"Mackworth Island - North","06","Mid","mummichog",2,28,7,2015
"2015_016_06",2015-07-09,"Mackworth Island - North","06","Mid","atlantic silverside",4,28,7,2015
"2015_016_11",2015-07-09,"Cushing Island","11","Outer","green crab",14,28,7,2015
"2015_016_11",2015-07-09,"Cushing Island","11","Outer","winter flounder",1,28,7,2015
"2015_017_04",2015-07-14,"Mussel Cove","04","Mid","green crab",2,29,7,2015
"2015_017_04",2015-07-14,"Mussel Cove","04","Mid","horseshoe crab",1,29,7,2015
"2015_017_04",2015-07-14,"Mussel Cove","04","Mid","ninespine stickleback",1,29,7,2015
"2015_017_04",2015-07-14,"Mussel Cove","04","Mid","atlantic silverside",20,29,7,2015
"2015_017_04",2015-07-14,"Mussel Cove","04","Mid","winter flounder",4,29,7,2015
"2015_017_07",2015-07-14,"Mackworth Island - Beach","07","Mid","green crab",15,29,7,2015
"2015_017_07",2015-07-14,"Mackworth Island - Beach","07","Mid","atlantic silverside",1,29,7,2015
"2015_017_07",2015-07-14,"Mackworth Island - Beach","07","Mid","winter flounder",1,29,7,2015
"2015_017_01",2015-07-14,"Presumpscot Moorings","01","Inner","alewife",1,29,7,2015
"2015_017_01",2015-07-14,"Presumpscot Moorings","01","Inner","green crab",1,29,7,2015
"2015_017_01",2015-07-14,"Presumpscot Moorings","01","Inner","atlantic silverside",4,29,7,2015
"2015_017_03",2015-07-14,"Audubon","03","Inner","green crab",4,29,7,2015
"2015_017_03",2015-07-14,"Audubon","03","Inner","mummichog",1,29,7,2015
"2015_017_03",2015-07-14,"Audubon","03","Inner","northern pipefish",2,29,7,2015
"2015_017_03",2015-07-14,"Audubon","03","Inner","atlantic silverside",2,29,7,2015
"2015_017_09",2015-07-14,"Great Diamond Island","09","Outer","sandlance",1,29,7,2015
"2015_018_11",2015-07-21,"Cushing Island","11","Outer","green crab",3,30,7,2015
"2015_018_11",2015-07-21,"Cushing Island","11","Outer","sandlance",4,30,7,2015
"2015_018_11",2015-07-21,"Cushing Island","11","Outer","shorthorn sculpin",2,30,7,2015
"2015_018_11",2015-07-21,"Cushing Island","11","Outer","threespine stickleback",3,30,7,2015
"2015_018_11",2015-07-21,"Cushing Island","11","Outer","tomcod",10,30,7,2015
"2015_018_12",2015-07-21,"Alewife Cove","12","Outer","alewife",254,30,7,2015
"2015_018_12",2015-07-21,"Alewife Cove","12","Outer","atlantic herring",1,30,7,2015
"2015_018_12",2015-07-21,"Alewife Cove","12","Outer","sandlance",1,30,7,2015
"2015_018_12",2015-07-21,"Alewife Cove","12","Outer","winter flounder",3,30,7,2015
"2015_018_10",2015-07-21,"SMCC","10","Outer","atlantic herring",25,30,7,2015
"2015_018_10",2015-07-21,"SMCC","10","Outer","green crab",4,30,7,2015
"2015_018_10",2015-07-21,"SMCC","10","Outer","shorthorn sculpin",2,30,7,2015
"2015_018_04",2015-07-21,"Mussel Cove","04","Mid","alewife",12,30,7,2015
"2015_018_04",2015-07-21,"Mussel Cove","04","Mid","green crab",8,30,7,2015
"2015_018_04",2015-07-21,"Mussel Cove","04","Mid","mummichog",226,30,7,2015
"2015_018_04",2015-07-21,"Mussel Cove","04","Mid","atlantic silverside",10,30,7,2015
"2015_018_04",2015-07-21,"Mussel Cove","04","Mid","winter flounder",8,30,7,2015
"2015_018_06",2015-07-21,"Mackworth Island - North","06","Mid","atlantic herring",124,30,7,2015
