"Date","Time (GMT)","Water Temp (°F)","Conductivity (mS/cm)"
"2023/06/01","07:06","54.3","-"
"2023/06/01","07:12","54.3","-"
"2023/06/01","07:18","54.3","-"
"2023/06/01","07:24","54.3","-"
"2023/06/01","07:30","54.3","-"
"2023/06/01","07:36","54.3","-"
"2023/06/01","07:42","54.5","-"
"2023/06/01","07:48","54.5","-"
"2023/06/01","07:54","54.7","-"
"2023/06/01","08:00","54.9","-"
"2023/06/01","08:06","54.9","-"
"2023/06/01","08:12","55","-"
"2023/06/01","08:18","55","-"
"2023/06/01","08:24","55","-"
"2023/06/01","08:30","55","-"
"2023/06/01","08:36","55","-"
"2023/06/01","08:42","55","-"
"2023/06/01","08:48","54.9","-"
"2023/06/01","08:54","54.9","-"
"2023/06/01","09:00","54.9","-"
"2023/06/01","09:06","54.7","-"
"2023/06/01","09:12","54.7","-"
"2023/06/01","09:18","54.7","-"
"2023/06/01","09:24","54.5","-"
"2023/06/01","09:30","54.5","-"
"2023/06/01","09:36","54.7","-"
"2023/06/01","09:42","54.5","-"
"2023/06/01","09:48","54.5","-"
"2023/06/01","09:54","54.5","-"
"2023/06/01","10:00","54.7","-"
"2023/06/01","10:06","54.7","-"
"2023/06/01","10:12","54.9","-"
"2023/06/01","10:18","54.7","-"
"2023/06/01","10:24","54.7","-"
"2023/06/01","10:30","54.7","-"
"2023/06/01","10:36","54.5","-"
"2023/06/01","10:42","54.5","-"
"2023/06/01","10:48","54.3","-"
"2023/06/01","10:54","54.3","-"
"2023/06/01","11:00","54.3","-"
"2023/06/01","11:06","53.8","-"
"2023/06/01","11:12","53.6","-"
"2023/06/01","11:18","53.8","-"
"2023/06/01","11:24","53.8","-"
"2023/06/01","11:30","53.6","-"
"2023/06/01","11:36","53.2","-"
"2023/06/01","11:42","53.1","-"
"2023/06/01","11:48","52.9","-"
"2023/06/01","11:54","52.9","-"
"2023/06/01","12:00","52.9","-"
"2023/06/01","12:06","52.9","-"
"2023/06/01","12:12","52.9","-"
"2023/06/01","12:18","53.1","-"
"2023/06/01","12:24","53.1","-"
"2023/06/01","12:30","53.2","-"
"2023/06/01","12:36","53.2","-"
"2023/06/01","12:42","53.2","-"
"2023/06/01","12:48","53.2","-"
"2023/06/01","12:54","53.1","-"
"2023/06/01","13:00","53.1","-"
"2023/06/01","13:06","53.1","-"
"2023/06/01","13:12","53.1","-"
"2023/06/01","13:18","53.1","-"
"2023/06/01","13:24","52.9","-"
"2023/06/01","13:30","52.9","-"
"2023/06/01","13:36","52.9","-"
"2023/06/01","13:42","53.1","-"
"2023/06/01","13:48","53.1","-"
"2023/06/01","13:54","53.1","-"
"2023/06/01","14:00","53.1","-"
"2023/06/01","14:06","52.9","-"
"2023/06/01","14:12","52.9","-"
"2023/06/01","14:18","52.9","-"
"2023/06/01","14:24","53.1","-"
"2023/06/01","14:30","53.1","-"
"2023/06/01","14:36","53.1","-"
"2023/06/01","14:42","53.1","-"
"2023/06/01","14:48","53.2","-"
"2023/06/01","14:54","53.2","-"
"2023/06/01","15:00","53.2","-"
"2023/06/01","15:06","53.2","-"
"2023/06/01","15:12","53.2","-"
"2023/06/01","15:18","53.2","-"
"2023/06/01","15:24","53.2","-"
"2023/06/01","15:30","53.2","-"
"2023/06/01","15:36","53.2","-"
"2023/06/01","15:42","53.2","-"
"2023/06/01","15:48","53.2","-"
"2023/06/01","15:54","53.2","-"
"2023/06/01","16:00","53.4","-"
"2023/06/01","16:06","53.6","-"
"2023/06/01","16:12","53.6","-"
"2023/06/01","16:18","53.6","-"
"2023/06/01","16:24","53.4","-"
"2023/06/01","16:30","53.6","-"
"2023/06/01","16:36","53.6","-"
"2023/06/01","16:42","53.6","-"
"2023/06/01","16:48","53.6","-"
"2023/06/01","16:54","53.6","-"
"2023/06/01","17:00","53.4","-"
"2023/06/01","17:06","53.6","-"
"2023/06/01","17:12","53.6","-"
"2023/06/01","17:18","53.8","-"
"2023/06/01","17:24","54.3","-"
"2023/06/01","17:30","54.3","-"
"2023/06/01","17:36","54.7","-"
"2023/06/01","17:42","54.7","-"
"2023/06/01","17:48","54.7","-"
"2023/06/01","17:54","56.3","-"
"2023/06/01","18:00","56.7","-"
"2023/06/01","18:06","57","-"
"2023/06/01","18:12","57.7","-"
"2023/06/01","18:18","57.7","-"
"2023/06/01","18:24","57.6","-"
"2023/06/01","18:30","57.4","-"
"2023/06/01","18:36","57.9","-"
"2023/06/01","18:42","58.1","-"
"2023/06/01","18:48","57.7","-"
"2023/06/01","18:54","57.7","-"
"2023/06/01","19:00","57.9","-"
"2023/06/01","19:06","57.6","-"
"2023/06/01","19:12","57.7","-"
"2023/06/01","19:18","58.1","-"
"2023/06/01","19:24","58.1","-"
"2023/06/01","19:30","59.2","-"
"2023/06/01","19:36","59","-"
"2023/06/01","19:42","59.5","-"
"2023/06/01","19:48","59.9","-"
"2023/06/01","19:54","59.5","-"
"2023/06/01","20:00","57.7","-"
"2023/06/01","20:06","57.6","-"
"2023/06/01","20:12","57.7","-"
"2023/06/01","20:18","57.9","-"
"2023/06/01","20:24","58.1","-"
"2023/06/01","20:30","58.1","-"
"2023/06/01","20:36","58.1","-"
"2023/06/01","20:42","58.5","-"
"2023/06/01","20:48","58.8","-"
"2023/06/01","20:54","59.4","-"
"2023/06/01","21:00","59.2","-"
"2023/06/01","21:06","58.8","-"
"2023/06/01","21:12","58.5","-"
"2023/06/01","21:18","58.3","-"
"2023/06/01","21:24","58.1","-"
"2023/06/01","21:30","58.1","-"
"2023/06/01","21:36","57.7","-"
"2023/06/01","21:42","57.7","-"
"2023/06/01","21:48","57.9","-"
"2023/06/01","21:54","57.9","-"
"2023/06/01","22:00","57.7","-"
"2023/06/01","22:06","57.2","-"
"2023/06/01","22:12","57","-"
"2023/06/01","22:18","56.8","-"
"2023/06/01","22:24","56.1","-"
"2023/06/01","22:30","55.6","-"
"2023/06/01","22:36","55.4","-"
"2023/06/01","22:42","54.9","-"
"2023/06/01","22:48","54.1","-"
"2023/06/01","22:54","53.8","-"
"2023/06/01","23:00","53.6","-"
"2023/06/01","23:06","53.4","-"
"2023/06/01","23:12","53.2","-"
"2023/06/01","23:18","53.2","-"
"2023/06/01","23:24","53.2","-"
"2023/06/01","23:30","53.2","-"
"2023/06/01","23:36","53.2","-"
"2023/06/01","23:42","53.2","-"
"2023/06/01","23:48","53.2","-"
"2023/06/01","23:54","53.4","-"
"2023/06/02","00:00","53.4","-"
"2023/06/02","00:06","53.6","-"
"2023/06/02","00:12","53.6","-"
"2023/06/02","00:18","53.6","-"
"2023/06/02","00:24","53.6","-"
"2023/06/02","00:30","53.6","-"
"2023/06/02","00:36","53.6","-"
"2023/06/02","00:42","53.4","-"
"2023/06/02","00:48","53.4","-"
"2023/06/02","00:54","53.6","-"
"2023/06/02","01:00","53.6","-"
"2023/06/02","01:06","53.4","-"
"2023/06/02","01:12","53.2","-"
"2023/06/02","01:18","53.2","-"
"2023/06/02","01:24","53.2","-"
"2023/06/02","01:30","53.4","-"
"2023/06/02","01:36","53.4","-"
"2023/06/02","01:42","53.6","-"
"2023/06/02","01:48","53.6","-"
"2023/06/02","01:54","53.8","-"
"2023/06/02","02:00","53.6","-"
"2023/06/02","02:06","53.4","-"
"2023/06/02","02:12","53.4","-"
"2023/06/02","02:18","53.4","-"
"2023/06/02","02:24","53.6","-"
"2023/06/02","02:30","53.6","-"
"2023/06/02","02:36","53.6","-"
"2023/06/02","02:42","53.8","-"
"2023/06/02","02:48","53.8","-"
"2023/06/02","02:54","53.4","-"
"2023/06/02","03:00","53.4","-"
"2023/06/02","03:06","53.4","-"
"2023/06/02","03:12","53.4","-"
"2023/06/02","03:18","53.4","-"
"2023/06/02","03:24","53.6","-"
"2023/06/02","03:30","53.6","-"
"2023/06/02","03:36","53.6","-"
"2023/06/02","03:42","53.6","-"
"2023/06/02","03:48","53.8","-"
"2023/06/02","03:54","53.8","-"
"2023/06/02","04:00","53.8","-"
"2023/06/02","04:06","54","-"
"2023/06/02","04:12","54","-"
"2023/06/02","04:18","54","-"
"2023/06/02","04:24","54","-"
"2023/06/02","04:30","54","-"
"2023/06/02","04:36","54","-"
"2023/06/02","04:42","54","-"
"2023/06/02","04:48","54","-"
"2023/06/02","04:54","54.1","-"
"2023/06/02","05:00","54.1","-"
"2023/06/02","05:06","54.3","-"
"2023/06/02","05:12","54.5","-"
"2023/06/02","05:18","54.5","-"
"2023/06/02","05:24","54.5","-"
"2023/06/02","05:30","54.5","-"
"2023/06/02","05:36","54.5","-"
"2023/06/02","05:42","54.5","-"
"2023/06/02","05:48","54.7","-"
"2023/06/02","05:54","54.7","-"
"2023/06/02","06:00","54.7","-"
"2023/06/02","06:06","54.9","-"
"2023/06/02","06:12","55","-"
"2023/06/02","06:18","55.2","-"
"2023/06/02","06:24","55.6","-"
"2023/06/02","06:30","55.6","-"
"2023/06/02","06:36","55.8","-"
"2023/06/02","06:42","55.9","-"
"2023/06/02","06:48","56.3","-"
"2023/06/02","06:54","56.7","-"
"2023/06/02","07:00","56.8","-"
"2023/06/02","07:06","57","-"
"2023/06/02","07:12","57.2","-"
"2023/06/02","07:18","57.2","-"
"2023/06/02","07:24","57.2","-"
"2023/06/02","07:30","57.2","-"
"2023/06/02","07:36","57.2","-"
"2023/06/02","07:42","57.2","-"
"2023/06/02","07:48","57.2","-"
"2023/06/02","07:54","57.2","-"
"2023/06/02","08:00","57","-"
"2023/06/02","08:06","57","-"
"2023/06/02","08:12","57","-"
"2023/06/02","08:18","57","-"
"2023/06/02","08:24","57","-"
"2023/06/02","08:30","57.2","-"
"2023/06/02","08:36","57.2","-"
"2023/06/02","08:42","57.2","-"
"2023/06/02","08:48","57.2","-"
"2023/06/02","08:54","57.2","-"
"2023/06/02","09:00","57.2","-"
"2023/06/02","09:06","57.2","-"
"2023/06/02","09:12","57.4","-"
"2023/06/02","09:18","57.4","-"
"2023/06/02","09:24","57.4","-"
"2023/06/02","09:30","57.4","-"
"2023/06/02","09:36","57.4","-"
"2023/06/02","09:42","57.4","-"
"2023/06/02","09:48","57.4","-"
"2023/06/02","09:54","57.2","-"
"2023/06/02","10:00","57.2","-"
"2023/06/02","10:06","57.2","-"
"2023/06/02","10:12","57.2","-"
"2023/06/02","10:18","57.2","-"
"2023/06/02","10:24","57","-"
"2023/06/02","10:30","57","-"
"2023/06/02","10:36","56.7","-"
"2023/06/02","10:42","56.7","-"
"2023/06/02","10:48","56.8","-"
"2023/06/02","10:54","56.8","-"
"2023/06/02","11:00","56.8","-"
"2023/06/02","11:06","56.8","-"
"2023/06/02","11:12","56.7","-"
"2023/06/02","11:18","56.3","-"
"2023/06/02","11:24","56.3","-"
"2023/06/02","11:30","56.1","-"
"2023/06/02","11:36","55.9","-"
"2023/06/02","11:42","56.1","-"
"2023/06/02","11:48","55.6","-"
"2023/06/02","11:54","54.7","-"
"2023/06/02","12:00","54.3","-"
"2023/06/02","12:06","54","-"
"2023/06/02","12:12","54.1","-"
"2023/06/02","12:18","54.3","-"
"2023/06/02","12:24","54.3","-"
"2023/06/02","12:30","54.5","-"
"2023/06/02","12:36","54.5","-"
"2023/06/02","12:42","54.7","-"
"2023/06/02","12:48","54.7","-"
"2023/06/02","12:54","54.9","-"
"2023/06/02","13:00","54.7","-"
"2023/06/02","13:06","54.7","-"
"2023/06/02","13:12","54.5","-"
"2023/06/02","13:18","54.5","-"
"2023/06/02","13:24","54.5","-"
"2023/06/02","13:30","54.5","-"
"2023/06/02","13:36","54.5","-"
"2023/06/02","13:42","54.5","-"
"2023/06/02","13:48","54.5","-"
"2023/06/02","13:54","54.3","-"
"2023/06/02","14:00","54.3","-"
"2023/06/02","14:06","54.3","-"
"2023/06/02","14:12","54.3","-"
"2023/06/02","14:18","54.3","-"
"2023/06/02","14:24","54.3","-"
"2023/06/02","14:30","54.3","-"
"2023/06/02","14:36","54.3","-"
"2023/06/02","14:42","54.3","-"
"2023/06/02","14:48","54.3","-"
"2023/06/02","14:54","54.3","-"
"2023/06/02","15:00","54.3","-"
"2023/06/02","15:06","54.5","-"
"2023/06/02","15:12","54.3","-"
"2023/06/02","15:18","54.3","-"
"2023/06/02","15:24","54.3","-"
"2023/06/02","15:30","54.3","-"
"2023/06/02","15:36","54.3","-"
"2023/06/02","15:42","54.3","-"
"2023/06/02","15:48","54.5","-"
"2023/06/02","15:54","54.5","-"
"2023/06/02","16:00","54.5","-"
"2023/06/02","16:06","54.7","-"
"2023/06/02","16:12","54.9","-"
"2023/06/02","16:18","54.9","-"
"2023/06/02","16:24","54.9","-"
"2023/06/02","16:30","54.9","-"
"2023/06/02","16:36","54.3","-"
"2023/06/02","16:42","54.5","-"
"2023/06/02","16:48","54.7","-"
"2023/06/02","16:54","54.9","-"
"2023/06/02","17:00","54.9","-"
"2023/06/02","17:06","54.7","-"
"2023/06/02","17:12","54.3","-"
"2023/06/02","17:18","54.3","-"
"2023/06/02","17:24","54.1","-"
"2023/06/02","17:30","54.1","-"
"2023/06/02","17:36","54.7","-"
"2023/06/02","17:42","55.2","-"
"2023/06/02","17:48","55.4","-"
"2023/06/02","17:54","55.8","-"
"2023/06/02","18:00","55.8","-"
"2023/06/02","18:06","55.9","-"
"2023/06/02","18:12","56.1","-"
"2023/06/02","18:18","56.1","-"
"2023/06/02","18:24","55.8","-"
"2023/06/02","18:30","56.3","-"
"2023/06/02","18:36","56.7","-"
"2023/06/02","18:42","57.2","-"
"2023/06/02","18:48","56.8","-"
"2023/06/02","18:54","57.2","-"
"2023/06/02","19:00","57.6","-"
"2023/06/02","19:06","57.6","-"
"2023/06/02","19:12","58.3","-"
"2023/06/02","19:18","58.3","-"
"2023/06/02","19:24","58.5","-"
"2023/06/02","19:30","58.6","-"
"2023/06/02","19:36","59.5","-"
"2023/06/02","19:42","60.8","-"
"2023/06/02","19:48","59.9","-"
"2023/06/02","19:54","60.4","-"
"2023/06/02","20:00","60.6","-"
"2023/06/02","20:06","60.4","-"
"2023/06/02","20:12","60.3","-"
"2023/06/02","20:18","60.3","-"
"2023/06/02","20:24","60.1","-"
"2023/06/02","20:30","60.1","-"
"2023/06/02","20:36","60.1","-"
"2023/06/02","20:42","59.9","-"
"2023/06/02","20:48","60.3","-"
"2023/06/02","20:54","60.3","-"
"2023/06/02","21:00","60.3","-"
"2023/06/02","21:06","60.1","-"
"2023/06/02","21:12","59.9","-"
"2023/06/02","21:18","59.7","-"
"2023/06/02","21:24","59.9","-"
"2023/06/02","21:30","59.9","-"
"2023/06/02","21:36","59.9","-"
"2023/06/02","21:42","60.3","-"
"2023/06/02","21:48","60.1","-"
"2023/06/02","21:54","59.9","-"
"2023/06/02","22:00","59.9","-"
"2023/06/02","22:06","59.9","-"
"2023/06/02","22:12","59.9","-"
"2023/06/02","22:18","59.9","-"
"2023/06/02","22:24","59.9","-"
"2023/06/02","22:30","59.9","-"
"2023/06/02","22:36","60.1","-"
"2023/06/02","22:42","60.1","-"
"2023/06/02","22:48","60.1","-"
"2023/06/02","22:54","59.7","-"
"2023/06/02","23:00","59.4","-"
"2023/06/02","23:06","59.2","-"
"2023/06/02","23:12","58.8","-"
"2023/06/02","23:18","57.9","-"
"2023/06/02","23:24","57.4","-"
"2023/06/02","23:30","57.4","-"
"2023/06/02","23:36","57.4","-"
"2023/06/02","23:42","57","-"
"2023/06/02","23:48","56.7","-"
"2023/06/02","23:54","56.3","-"
"2023/06/03","00:00","56.1","-"
"2023/06/03","00:06","56.1","-"
"2023/06/03","00:12","56.5","-"
"2023/06/03","00:18","56.7","-"
"2023/06/03","00:24","56.5","-"
"2023/06/03","00:30","56.3","-"
"2023/06/03","00:36","56.5","-"
"2023/06/03","00:42","56.3","-"
"2023/06/03","00:48","56.1","-"
"2023/06/03","00:54","55.8","-"
"2023/06/03","01:00","55.8","-"
"2023/06/03","01:06","55.9","-"
"2023/06/03","01:12","55.9","-"
"2023/06/03","01:18","55.9","-"
"2023/06/03","01:24","55.9","-"
"2023/06/03","01:30","55.8","-"
"2023/06/03","01:36","55.8","-"
"2023/06/03","01:42","55.4","-"
"2023/06/03","01:48","54.9","-"
"2023/06/03","01:54","54.9","-"
"2023/06/03","02:00","55","-"
"2023/06/03","02:06","55.2","-"
"2023/06/03","02:12","55.2","-"
"2023/06/03","02:18","55.2","-"
"2023/06/03","02:24","55","-"
"2023/06/03","02:30","54.7","-"
"2023/06/03","02:36","54.3","-"
"2023/06/03","02:42","54.1","-"
"2023/06/03","02:48","54","-"
"2023/06/03","02:54","54","-"
"2023/06/03","03:00","54","-"
"2023/06/03","03:06","54.1","-"
"2023/06/03","03:12","54.1","-"
"2023/06/03","03:18","54","-"
"2023/06/03","03:24","54","-"
"2023/06/03","03:30","54.1","-"
"2023/06/03","03:36","54.1","-"
"2023/06/03","03:42","54","-"
"2023/06/03","03:48","54","-"
"2023/06/03","03:54","53.6","-"
"2023/06/03","04:00","53.6","-"
"2023/06/03","04:06","53.6","-"
"2023/06/03","04:12","53.6","-"
"2023/06/03","04:18","53.6","-"
"2023/06/03","04:24","53.6","-"
"2023/06/03","04:30","53.6","-"
"2023/06/03","04:36","53.8","-"
"2023/06/03","04:42","53.8","-"
"2023/06/03","04:48","54.1","-"
"2023/06/03","04:54","54.1","-"
"2023/06/03","05:00","54.3","-"
"2023/06/03","05:06","54.7","-"
"2023/06/03","05:12","54.9","-"
"2023/06/03","05:18","55","-"
"2023/06/03","05:24","55","-"
"2023/06/03","05:30","54.9","-"
"2023/06/03","05:36","55","-"
"2023/06/03","05:42","55","-"
"2023/06/03","05:48","55","-"
"2023/06/03","05:54","55.4","-"
"2023/06/03","06:00","55.6","-"
"2023/06/03","06:06","55.9","-"
"2023/06/03","06:12","56.1","-"
"2023/06/03","06:18","56.7","-"
"2023/06/03","06:24","56.8","-"
"2023/06/03","06:30","57","-"
"2023/06/03","06:36","57","-"
"2023/06/03","06:42","56.8","-"
"2023/06/03","06:48","56.8","-"
"2023/06/03","06:54","56.8","-"
"2023/06/03","07:00","57.2","-"
"2023/06/03","07:06","57.6","-"
"2023/06/03","07:12","57.6","-"
"2023/06/03","07:18","57.7","-"
"2023/06/03","07:24","57.7","-"
"2023/06/03","07:30","57.7","-"
"2023/06/03","07:36","57.7","-"
"2023/06/03","07:42","57.7","-"
"2023/06/03","07:48","57.6","-"
"2023/06/03","07:54","57.6","-"
"2023/06/03","08:00","57.6","-"
"2023/06/03","08:06","57.6","-"
"2023/06/03","08:12","57.4","-"
"2023/06/03","08:18","57.4","-"
"2023/06/03","08:24","57.4","-"
"2023/06/03","08:30","57.4","-"
"2023/06/03","08:36","57.2","-"
"2023/06/03","08:42","57.4","-"
"2023/06/03","08:48","57.6","-"
"2023/06/03","08:54","57.9","-"
"2023/06/03","09:00","57.9","-"
"2023/06/03","09:06","57.9","-"
"2023/06/03","09:12","57.7","-"
"2023/06/03","09:18","57.9","-"
"2023/06/03","09:24","57.9","-"
"2023/06/03","09:30","58.1","-"
"2023/06/03","09:36","58.1","-"
"2023/06/03","09:42","58.1","-"
"2023/06/03","09:48","58.1","-"
"2023/06/03","09:54","58.1","-"
"2023/06/03","10:00","58.1","-"
"2023/06/03","10:06","58.1","-"
"2023/06/03","10:12","57.9","-"
"2023/06/03","10:18","57.9","-"
"2023/06/03","10:24","57.9","-"
"2023/06/03","10:30","57.9","-"
"2023/06/03","10:36","57.9","-"
"2023/06/03","10:42","57.7","-"
"2023/06/03","10:48","57.7","-"
"2023/06/03","10:54","57.9","-"
"2023/06/03","11:00","57.9","-"
"2023/06/03","11:06","57.9","-"
"2023/06/03","11:12","57.9","-"
"2023/06/03","11:18","57.7","-"
"2023/06/03","11:24","57.7","-"
"2023/06/03","11:30","57.7","-"
"2023/06/03","11:36","57.7","-"
"2023/06/03","11:42","57.7","-"
"2023/06/03","11:48","57.7","-"
"2023/06/03","11:54","57.7","-"
"2023/06/03","12:00","57.7","-"
"2023/06/03","12:06","57.7","-"
"2023/06/03","12:12","57.7","-"
"2023/06/03","12:18","57.7","-"
"2023/06/03","12:24","57.7","-"
"2023/06/03","12:30","57.6","-"
"2023/06/03","12:36","57.6","-"
"2023/06/03","12:42","57.6","-"
"2023/06/03","12:48","57.7","-"
"2023/06/03","12:54","57.9","-"
"2023/06/03","13:00","57.9","-"
"2023/06/03","13:06","57.9","-"
"2023/06/03","13:12","57.9","-"
"2023/06/03","13:18","57.7","-"
"2023/06/03","13:24","57.4","-"
"2023/06/03","13:30","57.2","-"
"2023/06/03","13:36","57","-"
"2023/06/03","13:42","57","-"
"2023/06/03","13:48","57","-"
"2023/06/03","13:54","57","-"
"2023/06/03","14:00","57","-"
"2023/06/03","14:06","57.2","-"
"2023/06/03","14:12","57.2","-"
"2023/06/03","14:18","57","-"
"2023/06/03","14:24","56.8","-"
"2023/06/03","14:30","56.8","-"
"2023/06/03","14:36","56.8","-"
"2023/06/03","14:42","56.8","-"
"2023/06/03","14:48","56.8","-"
"2023/06/03","14:54","56.8","-"
"2023/06/03","15:00","56.7","-"
"2023/06/03","15:06","56.7","-"
"2023/06/03","15:12","56.7","-"
"2023/06/03","15:18","56.7","-"
"2023/06/03","15:24","56.8","-"
"2023/06/03","15:30","56.8","-"
"2023/06/03","15:36","56.8","-"
"2023/06/03","15:42","56.8","-"
"2023/06/03","15:48","56.8","-"
"2023/06/03","15:54","56.7","-"
"2023/06/03","16:00","56.7","-"
"2023/06/03","16:06","56.7","-"
"2023/06/03","16:12","56.8","-"
"2023/06/03","16:18","56.7","-"
"2023/06/03","16:24","56.7","-"
"2023/06/03","16:30","56.7","-"
"2023/06/03","16:36","56.7","-"
"2023/06/03","16:42","56.7","-"
"2023/06/03","16:48","56.7","-"
"2023/06/03","16:54","56.8","-"
"2023/06/03","17:00","56.8","-"
"2023/06/03","17:06","56.8","-"
"2023/06/03","17:12","56.7","-"
"2023/06/03","17:18","56.7","-"
"2023/06/03","17:24","56.8","-"
"2023/06/03","17:30","56.8","-"
"2023/06/03","17:36","56.7","-"
"2023/06/03","17:42","56.8","-"
"2023/06/03","17:48","56.8","-"
"2023/06/03","17:54","57","-"
"2023/06/03","18:00","57","-"
"2023/06/03","18:06","57","-"
"2023/06/03","18:12","57","-"
"2023/06/03","18:18","57","-"
"2023/06/03","18:24","57","-"
"2023/06/03","18:30","57","-"
"2023/06/03","18:36","57","-"
"2023/06/03","18:42","57","-"
"2023/06/03","18:48","57","-"
"2023/06/03","18:54","57","-"
"2023/06/03","19:00","57","-"
"2023/06/03","19:06","56.8","-"
"2023/06/03","19:12","56.8","-"
"2023/06/03","19:18","56.8","-"
"2023/06/03","19:24","56.8","-"
"2023/06/03","19:30","56.8","-"
"2023/06/03","19:36","56.8","-"
"2023/06/03","19:42","56.8","-"
"2023/06/03","19:48","56.8","-"
"2023/06/03","19:54","56.8","-"
"2023/06/03","20:00","56.8","-"
"2023/06/03","20:06","56.8","-"
"2023/06/03","20:12","56.8","-"
"2023/06/03","20:18","56.8","-"
"2023/06/03","20:24","56.8","-"
"2023/06/03","20:30","56.8","-"
"2023/06/03","20:36","56.8","-"
"2023/06/03","20:42","56.8","-"
"2023/06/03","20:48","56.8","-"
"2023/06/03","20:54","56.8","-"
"2023/06/03","21:00","56.8","-"
"2023/06/03","21:06","56.7","-"
"2023/06/03","21:12","56.7","-"
"2023/06/03","21:18","56.7","-"
"2023/06/03","21:24","56.7","-"
"2023/06/03","21:30","56.7","-"
"2023/06/03","21:36","56.7","-"
"2023/06/03","21:42","56.7","-"
"2023/06/03","21:48","56.7","-"
"2023/06/03","21:54","56.7","-"
"2023/06/03","22:00","56.7","-"
"2023/06/03","22:06","56.7","-"
"2023/06/03","22:12","56.7","-"
"2023/06/03","22:18","56.7","-"
"2023/06/03","22:24","56.7","-"
"2023/06/03","22:30","56.7","-"
"2023/06/03","22:36","56.7","-"
"2023/06/03","22:42","56.7","-"
"2023/06/03","22:48","56.7","-"
"2023/06/03","22:54","56.7","-"
"2023/06/03","23:00","56.7","-"
"2023/06/03","23:06","56.7","-"
"2023/06/03","23:12","56.7","-"
"2023/06/03","23:18","56.7","-"
"2023/06/03","23:24","56.7","-"
"2023/06/03","23:30","56.7","-"
"2023/06/03","23:36","56.7","-"
"2023/06/03","23:42","56.7","-"
"2023/06/03","23:48","56.7","-"
"2023/06/03","23:54","56.7","-"
"2023/06/04","00:00","56.5","-"
"2023/06/04","00:06","56.5","-"
"2023/06/04","00:12","56.5","-"
"2023/06/04","00:18","56.5","-"
"2023/06/04","00:24","56.5","-"
"2023/06/04","00:30","56.3","-"
"2023/06/04","00:36","56.5","-"
"2023/06/04","00:42","56.3","-"
"2023/06/04","00:48","56.5","-"
"2023/06/04","00:54","56.3","-"
"2023/06/04","01:00","56.1","-"
"2023/06/04","01:06","56.1","-"
"2023/06/04","01:12","55.9","-"
"2023/06/04","01:18","55.9","-"
"2023/06/04","01:24","55.8","-"
"2023/06/04","01:30","55.8","-"
"2023/06/04","01:36","55.8","-"
"2023/06/04","01:42","55.8","-"
"2023/06/04","01:48","55.8","-"
"2023/06/04","01:54","55.6","-"
