Date,Condition,ID,Length (mm),Width (mm),Whole weight (g),Wet shell weight (g),Wet meat weight (g),Dry shell weight (g),Dry meat weight (g),Index 1,Index 3,Cavity volume ,Differnece in weight ,Difference in caity volume 
7/22/2025,Clean,1,63.7,37.95,19.21,14,4.09,13.4,0.7,13.43570058,5.223880597,5.21,0.6,1.12
7/22/2025,Clean,2,53.55,40.25,13.41,9.49,2.87,8.84,0.44,11.2244898,4.977375566,3.92,0.65,1.05
7/22/2025,Clean,3,54.16,37.69,14.03,10.23,2.84,9.23,0.55,14.47368421,5.958829902,3.8,1,0.96
7/22/2025,Biofouled,1,61.46,41.48,16.74,11.45,4.46,10.58,0.79,14.93383743,7.466918715,5.29,0.87,0.83
7/22/2025,Biofouled,2,56.2,34.88,16.33,10.95,4.2,9.85,0.68,12.6394052,6.903553299,5.38,1.1,1.18
7/22/2025,Biofouled,3,49.54,32.11,12.91,8.67,3.15,8.22,0.48,11.32075472,5.839416058,4.24,0.45,1.09
7/30/2025,Clean,1,58.18,35.96,17.21,11.74,6.5,8.5,0.7,12.79707495,8.235294118,5.47,3.24,-1.03
7/30/2025,Clean,2,53.61,40.27,16.54,11.94,6.01,8.42,0.72,15.65217391,8.551068884,4.6,3.52,-1.41
7/30/2025,Clean,3,53.46,34.43,16.1,12.05,5.1,8.72,0.46,11.35802469,5.275229358,4.05,3.33,-1.05
7/30/2025,Biofouled,1,55.56,34.65,17.12,11.92,6.57,9.03,0.65,12.5,7.198228128,5.2,2.89,-1.37
7/30/2025,Biofouled,2,55.07,39.65,22.79,16.44,6.87,12.89,0.78,12.28346457,6.051202483,6.35,3.55,-0.52
7/30/2025,Biofouled,3,57.94,43.93,20.18,14.12,6.6,10.92,0.78,12.87128713,7.142857143,6.06,3.2,-0.54
8/7/2025,Clean,1,53.25,41.64,15.92,11.27,3.81,10.33,0.75,16.12903226,7.260406583,4.65,0.94,0.84
8/7/2025,Clean,2,62.49,41.47,20.06,13.76,4.95,12.66,0.75,11.9047619,5.924170616,6.3,1.1,1.35
8/7/2025,Clean,3,56.7,34.87,15.93,10.19,5.11,9.29,0.92,16.02787456,9.903121636,5.74,0.9,0.63
8/7/2025,Biofouled,1,58.91,41.77,20.1,13.25,5.17,11.83,0.79,11.53284672,6.677937447,6.85,1.42,1.68
8/7/2025,Biofouled,2,66.82,42.96,24.75,18.24,4.56,15.98,0.67,10.29185868,4.192740926,6.51,2.26,1.95
8/7/2025,Biofouled,3,59.12,39.71,14.71,9.89,3.15,8.97,0.41,8.506224066,4.570791527,4.82,0.92,1.67
