Date ,Condition,Bag ,Number,Color Tag,Length,Width,Barnacles present ,,
7/16/2025,Clean,1,4,blue,52.51,38.74,no,,
7/16/2025,Clean,1,5,yellow,55.49,35.04,no,,
7/16/2025,Clean,2,6,pink,52.2,32.87,no,,
7/16/2025,Clean,2,7,green ,53.45,31,no,,
7/16/2025,Clean,2,8,orange,dead,dead,no,,
7/16/2025,Clean,2,9,blue,56.14,33.76,no,,
7/16/2025,Clean,2,10,yellow,53.34,33.84,no,,
7/16/2025,Biofouled,1,1,pink ,50.57,29.87,no,mussel growth,
7/16/2025,Biofouled,1,2,green,52.2,30.75,no,attached to another oyster by mussels,
7/16/2025,Biofouled,1,3,orange,54.47,38.21,no,attached to another oyster by mussels,
7/16/2025,Biofouled,1,4,blue ,46.55,33.97,no,,
7/16/2025,Biofouled,1,5,yellow,52.73,35.47,no,mussel growth,
7/16/2025,Biofouled,2,6,pink ,50.49,28.55,no,mussel growth,
7/16/2025,Biofouled,2,7,green ,54.89,30.29,yes,,
7/16/2025,Biofouled,2,8,orange,53.62,36.25,no,,
7/16/2025,Biofouled,2,9,blue,55.09,35.05,no,,
7/16/2025,Biofouled,2,10,yellow,47.9,35.92,no,,
7/22/2025,Clean,1,1,pink,52.12,31.06,no,,
7/22/2025,Clean,1,2,green,53.53,39.47,no,,
7/22/2025,Clean,1,3,orange,53.08,35.23,no,,
7/22/2025,Clean,1,4,blue,53.45,40.61,no,,
7/22/2025,Clean,1,5,yellow,56.32,36.41,no,,
7/22/2025,Clean,2,6,pink,54.74,38.71,no,,
7/22/2025,Clean,2,7,green ,55.62,35.24,no,,
7/22/2025,Clean,2,8,orange,dead ,dead,no,,
7/22/2025,Clean,2,9,blue,56.14,36.52,no,,
7/22/2025,Clean,2,10,yellow,55.93,37.3,no,,
7/22/2025,Biofouled,1,1,pink ,52.68,32.51,no,mussle growth,
7/22/2025,Biofouled,1,2,green,54.52,33.07,no,,
7/22/2025,Biofouled,1,3,orange,58.41,41.8,no,3 mussles attached,
7/22/2025,Biofouled,1,4,blue ,46.2,32.63,no,mussle growth ,
7/22/2025,Biofouled,1,5,yellow,53.47,38.43,no,,
7/22/2025,Biofouled,2,6,pink ,50.65,29.21,no,,
7/22/2025,Biofouled,2,7,green ,55.72,36.92,no,,
7/22/2025,Biofouled,2,8,orange,56.24,31.62,no,,
7/22/2025,Biofouled,2,9,blue,56.58,36.66,no,,
7/22/2025,Biofouled,2,10,yellow,49.38,35.92,no,,
7/30/2025,Clean,1,1,pink,52.55,31.01,no,,
7/30/2025,Clean,1,2,green,56.36,43.82,no,,
7/30/2025,Clean,1,3,orange,56.71,40.01,no,,
7/30/2025,Clean,1,4,blue,58.08,44.65,no,,
7/30/2025,Clean,1,5,yellow,58.32,40.98,no,,
7/30/2025,Clean,2,6,pink,56.05,39.86,no,,
7/30/2025,Clean,2,7,green ,57.62,36.71,no,,
7/30/2025,Clean,2,8,orange,dead,dead,no,,
7/30/2025,Clean,2,9,blue,59.48,40.96,no,,
7/30/2025,Clean,2,10,yellow,58.33,40.64,no,,
7/30/2025,Biofouled,1,1,pink ,55.05,35.48,no,,
7/30/2025,Biofouled,1,2,green,56.06,34.62,no,,
7/30/2025,Biofouled,1,3,orange,60.77,44.98,no,mussles attached ,
7/30/2025,Biofouled,1,4,blue ,46.55,32.77,no,,
7/30/2025,Biofouled,1,5,yellow,56.24,42.2,no,,
7/30/2025,Biofouled,2,6,pink ,50.95,28.88,no,,
7/30/2025,Biofouled,2,7,green ,58.99,40,no,,
7/30/2025,Biofouled,2,8,orange,59,31.88,no,,
7/30/2025,Biofouled,2,9,blue,57.93,38.56,no,mussles attached,
7/30/2025,Biofouled,2,10,yellow,52.22,39.79,no,,
8/7/2025,Clean,1,1,pink,52.38,30.71,no,,
8/7/2025,Clean,1,2,green,61.18,45.68,no,,
8/7/2025,Clean,1,3,orange,59.37,43.41,no,,
8/7/2025,Clean,1,4,blue,61.51,48.01,no,,
8/7/2025,Clean,1,5,yellow,60.09,45.66,no,,
8/7/2025,Clean,2,6,pink,57.61,42.41,no,,
8/7/2025,Clean,2,7,green ,59.11,40.13,no,,
8/7/2025,Clean,2,8,orange,dead,dead,no,,
8/7/2025,Clean,2,9,blue,60.55,43.32,no,,
8/7/2025,Clean,2,10,yellow,59.7,44.72,no,,
8/7/2025,Biofouled,1,1,pink ,56.25,37.25,no,,
8/7/2025,Biofouled,1,2,green,58.8,35.34,no,,
8/7/2025,Biofouled,1,3,orange,60.88,48.16,no,,
8/7/2025,Biofouled,1,4,blue ,45.72,35.05,no,,
8/7/2025,Biofouled,1,5,yellow,58.32,45.57,no,,
8/7/2025,Biofouled,2,6,pink ,52.17,28.91,no,,
8/7/2025,Biofouled,2,7,green ,62.68,41.98,no,,
8/7/2025,Biofouled,2,8,orange,61.27,37.37,no,,
8/7/2025,Biofouled,2,9,blue,60.9,39.53,no,,
8/7/2025,Biofouled,2,10,yellow,54.75,42.54,no,,
