"species_name","week","year","catch","logcatch"
"winter flounder",34,2021,8,2.19722457733622
"winter flounder",35,2021,NA,NA
"winter flounder",36,2021,NA,NA
"winter flounder",37,2021,NA,NA
"winter flounder",38,2021,NA,NA
"winter flounder",39,2021,NA,NA
"winter flounder",40,2021,NA,NA
"winter flounder",41,2021,NA,NA
"winter flounder",22,2022,7,2.07944154167984
"winter flounder",23,2022,NA,NA
"winter flounder",24,2022,0,0
"winter flounder",25,2022,20,3.04452243772342
"winter flounder",26,2022,1,0.693147180559945
"winter flounder",27,2022,1,0.693147180559945
"winter flounder",28,2022,14,2.70805020110221
"winter flounder",29,2022,11,2.484906649788
"winter flounder",30,2022,7,2.07944154167984
"winter flounder",31,2022,9,2.30258509299405
"winter flounder",32,2022,8,2.19722457733622
"winter flounder",33,2022,28,3.36729582998647
"winter flounder",34,2022,18,2.94443897916644
"winter flounder",35,2022,4,1.6094379124341
"winter flounder",36,2022,21,3.09104245335832
"winter flounder",37,2022,24,3.2188758248682
"winter flounder",38,2022,NA,NA
"winter flounder",39,2022,0,0
"winter flounder",40,2022,NA,NA
"winter flounder",41,2022,NA,NA
"winter flounder",22,2023,2,1.09861228866811
"winter flounder",23,2023,NA,NA
"winter flounder",24,2023,0,0
"winter flounder",25,2023,4,1.6094379124341
"winter flounder",26,2023,3,1.38629436111989
"winter flounder",27,2023,0,0
"winter flounder",28,2023,6,1.94591014905531
"winter flounder",29,2023,4,1.6094379124341
"winter flounder",30,2023,1,0.693147180559945
"winter flounder",31,2023,2,1.09861228866811
"winter flounder",32,2023,15,2.77258872223978
"winter flounder",33,2023,4,1.6094379124341
"winter flounder",34,2023,12,2.56494935746154
"winter flounder",35,2023,4,1.6094379124341
"winter flounder",36,2023,NA,NA
"winter flounder",37,2023,NA,NA
"winter flounder",38,2023,NA,NA
"winter flounder",39,2023,NA,NA
"winter flounder",40,2023,NA,NA
"winter flounder",41,2023,NA,NA
"winter flounder",22,2024,NA,NA
"winter flounder",23,2024,0,0
"winter flounder",24,2024,6,1.94591014905531
"winter flounder",25,2024,1,0.693147180559945
"winter flounder",26,2024,21,3.09104245335832
"winter flounder",27,2024,22,3.13549421592915
"winter flounder",28,2024,16,2.83321334405622
"winter flounder",29,2024,13,2.63905732961526
"winter flounder",30,2024,0,0
"winter flounder",31,2024,5,1.79175946922805
"winter flounder",32,2024,0,0
"winter flounder",33,2024,0,0
"winter flounder",34,2024,0,0
"winter flounder",35,2024,NA,NA
"winter flounder",36,2024,0,0
"winter flounder",37,2024,NA,NA
"winter flounder",38,2024,NA,NA
"winter flounder",39,2024,8,2.19722457733622
"winter flounder",40,2024,0,0
"winter flounder",41,2024,2,1.09861228866811
"winter flounder",20,2025,0,0
"winter flounder",22,2025,NA,NA
"winter flounder",23,2025,2,1.09861228866811
"winter flounder",24,2025,1,0.693147180559945
"winter flounder",25,2025,3,1.38629436111989
"winter flounder",26,2025,1,0.693147180559945
"winter flounder",27,2025,0,0
"winter flounder",28,2025,21,3.09104245335832
"winter flounder",29,2025,NA,NA
"winter flounder",30,2025,58,4.07753744390572
"winter flounder",31,2025,1,0.693147180559945
"winter flounder",32,2025,37,3.63758615972639
"winter flounder",33,2025,38,3.66356164612965
"winter flounder",34,2025,2,1.09861228866811
"winter flounder",35,2025,32,3.49650756146648
"winter flounder",36,2025,14,2.70805020110221
"winter flounder",37,2025,NA,NA
"winter flounder",38,2025,NA,NA
"winter flounder",39,2025,NA,NA
"winter flounder",40,2025,NA,NA
"winter flounder",41,2025,NA,NA
