loc_id,year,date,site_id,site_name,bay_location,substrate,set_time_local,weather,temp_degc,do_mg/l,salinity_ppt,hermit_crabs,shrimp,notes
2014_009_10,2014,8/7/2014,10,SMCC,Outer,sand/shell,12:27,rain,19.2,8.9,29.07,present,medium,NA
2014_010_12,2014,8/12/2014,12,Alewife Cove,Outer,NA,08:15,NA,15.5,7.8,32.7,absent,low,"Extremely foggy, Rock crab also present in seine (haven't seen many before)."
2014_010_11,2014,8/12/2014,11,Cushing Island,Outer,mud/gravel,09:05,foggy,16.6,8.2,31.77,present,high,NA
2014_010_07,2014,8/12/2014,7,Mackworth Island - Beach,Mid,sand/gravel,09:30,foggy,18.4,7.7,25.61,absent,low,NA
2014_010_02,2014,8/12/2014,2,Skitterygusset,Inner,mud,10:20,foggy,20.9,6.8,14.7,absent,absent,NA
2014_010_08,2014,8/12/2014,8,Back Cove,Mid,mud/gravel,11:05,foggy,16.8,7.6,31.43,absent,absent,NA
2014_010_04,2014,8/12/2014,4,Mussel Cove,Mid,mud,11:45,foggy,18.8,8.2,33.24,absent,absent,Seine on the marsh edge
2014_011_10,2014,8/21/2014,10,SMCC,Outer,sand/gravel,08:10,overcast,17.4,8.3,27.56,present,low,NA
2014_011_03,2014,8/21/2014,3,Audubon,Inner,sand/mud/gravel,09:18,overcast,20.6,7.9,5.8,absent,low,NA
2014_011_01,2014,8/21/2014,1,Presumpscot Moorings,Inner,mud/gravel,09:49,sunny,21.8,8.5,0.15,absent,absent,NA
2014_011_06,2014,8/21/2014,6,Mackworth Island - North,Mid,sand/gravel,10:13,sunny,17.6,8.7,32.63,absent,low,NA
2014_011_05,2014,8/21/2014,5,The Brothers - North,Mid,sand/gravel,10:52,overcast,18.6,9.7,32.55,absent,low,NA
2014_011_09,2014,8/21/2014,9,Great Diamond Island,Outer,sand/gravel,11:29,overcast,17.4,8.9,31.54,present,medium,NA
2014_012_12,2014,8/28/2014,12,Alewife Cove,Outer,sand/gravel,09:00,sunny,16.1,8.7,33.44,absent,low,too much algae for effective seining
2014_012_11,2014,8/28/2014,11,Cushing Island,Outer,mud/gravel,09:48,sunny,17.6,8.6,30.53,present,low,NA
2014_012_07,2014,8/28/2014,7,Mackworth Island - Beach,Mid,sand/gravel,10:30,sunny,21.4,9.1,19.22,absent,high,NA
2014_012_04,2014,8/28/2014,4,Mussel Cove,Mid,mud,12:45,partly cloudy,21.6,8.2,33.01,absent,low,NA
2014_012_08,2014,8/28/2014,8,Back Cove,Mid,mud/gravel,13:30,partly cloudy,19.5,8.2,33.01,absent,absent,NA
2014_012_02,2014,8/28/2014,2,Skitterygusset,Inner,mud,14:15,partly cloudy,23.3,8.2,8.2,absent,low,NA
2015_013_01,2015,6/12/2015,1,Presumpscot Moorings,Inner,NA,07:21,overcast,19.1,14,3.66,absent,absent,NA
2015_013_03,2015,6/12/2015,3,Audubon,Inner,NA,08:05,overcast,13.3,11.4,39.5,absent,absent,NA
2015_013_07,2015,6/12/2015,7,Mackworth Island - Beach,Mid,NA,08:40,overcast,13.4,9.2,33.22,absent,medium,NA
2015_013_05,2015,6/12/2015,5,The Brothers - North,Mid,NA,09:20,overcast,12.9,10.4,33.76,present,absent,NA
2015_013_09,2015,6/12/2015,9,Great Diamond Island,Outer,NA,10:00,partly cloudy,12.5,10.5,33.44,present,medium,NA
2015_013_10,2015,6/12/2015,10,SMCC,Outer,NA,10:40,sunny,12.2,10.8,33.76,present,medium,NA
2015_013_11,2015,6/12/2015,11,Cushing Island,Outer,NA,11:30,overcast,13.7,10.7,33.77,present,medium,NA
2015_014_12,2015,6/17/2015,12,Alewife Cove,Outer,NA,10:30,sunny,12.8,13.2,33.08,absent,absent,no catch
2015_014_08,2015,6/17/2015,8,Back Cove,Mid,NA,11:40,sunny,14.8,11.4,33.2,absent,absent,NA
2015_014_02,2015,6/17/2015,2,Skitterygusset,Inner,NA,12:20,sunny,15.2,9.9,28.29,absent,absent,NA
2015_014_06,2015,6/17/2015,6,Mackworth Island - North,Mid,NA,13:00,sunny,15.2,11.8,33.65,present,high,NA
2015_014_04,2015,6/17/2015,4,Mussel Cove,Mid,NA,13:35,sunny,19,12,34.46,absent,medium,NA
2015_015_05,2015,6/30/2015,5,The Brothers - North,Mid,NA,08:15,sunny,16.5,9.5,30.5,absent,absent,NA
2015_015_07,2015,6/30/2015,7,Mackworth Island - Beach,Mid,NA,08:45,sunny,16.2,9,28.24,absent,low,NA
2015_015_01,2015,6/30/2015,1,Presumpscot Moorings,Inner,NA,09:20,sunny,18.5,10.6,0.47,absent,absent,NA
2015_015_03,2015,6/30/2015,3,Audubon,Inner,NA,09:55,sunny,18.2,9.1,8.24,absent,absent,NA
2015_015_09,2015,6/30/2015,9,Great Diamond Island,Outer,NA,10:50,sunny,17.5,9.3,30.7,present,medium,NA
2015_015_10,2015,6/30/2015,10,SMCC,Outer,NA,11:25,sunny,16.3,10.8,30.26,absent,low,NA
2015_016_02,2015,7/9/2015,2,Skitterygusset,Inner,NA,07:25,sunny,16.4,7,30.48,absent,low,NA
2015_016_08,2015,7/9/2015,8,Back Cove,Mid,NA,08:00,overcast,15.7,7.2,32.45,absent,absent,no catch
2015_016_06,2015,7/9/2015,6,Mackworth Island - North,Mid,NA,08:50,overcast,16.8,9.6,33,absent,high,NA
2015_016_11,2015,7/9/2015,11,Cushing Island,Outer,NA,11:00,overcast,13.3,11.2,33.76,absent,absent,NA
2015_017_04,2015,7/14/2015,4,Mussel Cove,Mid,NA,08:50,foggy,18.4,8.5,33.3,absent,medium,NA
2015_017_05,2015,7/14/2015,5,The Brothers - North,Mid,NA,09:20,sunny,18.2,10.1,33.68,present,absent,no catch
2015_017_07,2015,7/14/2015,7,Mackworth Island - Beach,Mid,NA,09:52,sunny,17,9.3,31.79,absent,absent,NA
2015_017_01,2015,7/14/2015,1,Presumpscot Moorings,Inner,NA,10:30,overcast,24.6,8.2,1.46,absent,absent,NA
2015_017_03,2015,7/14/2015,3,Audubon,Inner,NA,11:05,overcast,18.6,8.7,18.99,absent,medium,NA
2015_017_09,2015,7/14/2015,9,Great Diamond Island,Outer,NA,11:50,sunny,16,9.7,33.41,absent,low,NA
2015_018_11,2015,7/21/2015,11,Cushing Island,Outer,NA,10:05,foggy,14.8,10.1,32.62,present,high,NA
2015_018_12,2015,7/21/2015,12,Alewife Cove,Outer,NA,11:03,foggy,15.5,11.5,33.65,present,high,NA
2015_018_10,2015,7/21/2015,10,SMCC,Outer,NA,12:00,foggy,17,11.2,31.67,present,high,NA
2015_018_04,2015,7/21/2015,4,Mussel Cove,Mid,NA,12:35,foggy,19.5,9.9,33.26,absent,medium,NA
2015_018_06,2015,7/21/2015,6,Mackworth Island - North,Mid,NA,13:30,foggy,17.9,11.7,33.06,present,low,NA
2015_018_02,2015,7/21/2015,2,Skitterygusset,Inner,NA,14:05,foggy,22.1,9.3,18.28,absent,absent,NA
2015_018_08,2015,7/21/2015,8,Back Cove,Mid,NA,14:45,foggy,17.1,10.1,32.04,absent,absent,NA
2015_019_05,2015,7/29/2015,5,The Brothers - North,Mid,NA,10:36,sunny,19.1,9.3,32.17,absent,absent,NA
2015_019_07,2015,7/29/2015,7,Mackworth Island - Beach,Mid,NA,11:00,sunny,19.3,9.2,31.17,absent,absent,NA
2015_019_01,2015,7/29/2015,1,Presumpscot Moorings,Inner,NA,11:42,partly cloudy,23.9,8.4,2.75,absent,absent,NA
2015_019_03,2015,7/29/2015,3,Audubon,Inner,NA,12:17,sunny,23,9.7,17.8,absent,absent,NA
2015_019_09,2015,7/29/2015,9,Great Diamond Island,Outer,NA,13:00,sunny,17.2,9.8,33.31,absent,absent,NA
2015_019_10,2015,7/29/2015,10,SMCC,Outer,NA,13:30,sunny,17,10.4,33.32,present,medium,NA
2015_020_12,2015,8/5/2015,12,Alewife Cove,Outer,NA,11:07,mostly sunny,15.3,9.5,34.23,present,medium,NA
2015_020_11,2015,8/5/2015,11,Cushing Island,Outer,NA,11:42,mostly sunny,16.6,10,32.79,present,medium,NA
2015_020_04,2015,8/5/2015,4,Mussel Cove,Mid,NA,12:41,mostly sunny,19.3,9.4,33.72,absent,absent,NA
2015_020_06,2015,8/5/2015,6,Mackworth Island - North,Mid,NA,13:40,partly cloudy,17.4,9.9,33.8,present,medium,NA
2015_020_02,2015,8/5/2015,2,Skitterygusset,Inner,NA,14:07,partly cloudy,19.7,8.2,24.23,absent,absent,NA
2015_021_10,2015,8/13/2015,10,SMCC,Outer,NA,09:59,sunny,16.7,8.5,32.52,present,low,NA
2015_021_09,2015,8/13/2015,9,Great Diamond Island,Outer,NA,10:45,sunny,16.4,10,33.27,present,absent,NA
2015_021_05,2015,8/13/2015,5,The Brothers - North,Mid,NA,11:35,sunny,18.4,8.9,33.34,present,absent,no catch
2015_021_07,2015,8/13/2015,7,Mackworth Island - Beach,Mid,NA,12:08,sunny,17.6,8.6,33.44,absent,high,NA
2015_021_01,2015,8/13/2015,1,Presumpscot Moorings,Inner,NA,13:13,sunny,23.4,9,1.8,absent,low,NA
2015_021_03,2015,8/13/2015,3,Audubon,Inner,NA,14:00,sunny,22.3,8.5,7.8,absent,low,NA
2015_022_12,2015,8/19/2015,12,Alewife Cove,Outer,NA,08:21,foggy,17,8,34.42,absent,low,NA
2015_022_11,2015,8/19/2015,11,Cushing Island,Outer,NA,09:05,foggy,18.2,10.1,32.72,present,medium,NA
2015_022_04,2015,8/19/2015,4,Mussel Cove,Mid,NA,10:07,sunny,23.2,8.9,14.7,absent,absent,"very low tide, seine taken in about 1 ft of water"
2015_022_06,2015,8/19/2015,6,Mackworth Island - North,Mid,NA,11:02,sunny,20.8,9.3,32.21,present,high,NA
2015_022_02,2015,8/19/2015,2,Skitterygusset,Inner,NA,11:43,sunny,24.4,8.5,8.72,absent,absent,NA
2015_022_08,2015,8/19/2015,8,Back Cove,Mid,NA,12:32,sunny,19.5,8.1,32.32,absent,absent,NA
2015_023_10,2015,8/25/2015,10,SMCC,Outer,NA,08:45,NA,18.8,8.1,32.7,present,absent,NA
2015_023_01,2015,8/25/2015,1,Presumpscot Moorings,Inner,NA,09:20,rain,24,7.7,2.23,absent,medium,NA
2015_023_03,2015,8/25/2015,3,Audubon,Inner,NA,09:45,NA,20.5,7.2,28.22,absent,low,NA
2015_023_07,2015,8/25/2015,7,Mackworth Island - Beach,Mid,NA,10:30,NA,21.2,7.8,22.7,present,medium,NA
2015_023_05,2015,8/25/2015,5,The Brothers - North,Mid,NA,11:05,NA,20.2,8.8,33.8,NA,NA,NA
2015_023_09,2015,8/25/2015,9,Great Diamond Island,Outer,NA,11:55,rain,19.1,0,33.37,NA,NA,NA
2015_024_06,2015,9/1/2015,6,Mackworth Island - North,Mid,NA,#VALUE!,sunny,18.1,9.1,34.33,absent,absent,NA
2015_024_04,2015,9/1/2015,4,Mussel Cove,Mid,NA,#VALUE!,NA,19.9,9.8,34.48,NA,NA,NA
2015_024_12,2015,9/1/2015,12,Alewife Cove,Outer,NA,#VALUE!,NA,16.5,8.5,34.46,NA,NA,"A lot of sandlances schooling, but none captured"
2015_024_11,2015,9/1/2015,11,Cushing Island,Outer,NA,#VALUE!,sunny,17.7,9.7,34.09,present,low,NA
2015_024_02,2015,9/1/2015,2,Skitterygusset,Inner,NA,#VALUE!,NA,19.9,8.8,27.89,NA,NA,NA
2015_024_08,2015,9/1/2015,8,Back Cove,Mid,NA,#VALUE!,NA,18.3,8.7,33.54,NA,NA,no catch
2015_025_10,2015,9/10/2015,10,SMCC,Outer,NA,09:40,overcast,17.6,8.4,33.35,absent,absent,NA
2015_025_09,2015,9/10/2015,9,Great Diamond Island,Outer,NA,10:40,overcast,16.5,8.3,34.39,present,low,NA
2015_025_03,2015,9/10/2015,3,Audubon,Inner,NA,11:20,overcast,18.5,8,32.42,present,medium,NA
2015_025_01,2015,9/10/2015,1,Presumpscot Moorings,Inner,NA,12:00,overcast,21.1,6.6,22.49,absent,high,NA
2015_025_07,2015,9/10/2015,7,Mackworth Island - Beach,Mid,NA,12:50,overcast,19,1.4,29.94,NA,NA,NA
2015_025_05,2015,9/10/2015,5,The Brothers - North,Mid,NA,13:40,overcast,19.5,9.4,34.5,NA,NA,NA
2015_026_12,2015,9/16/2015,12,Alewife Cove,Outer,NA,09:30,sunny,16.3,NA,NA,NA,NA,NA
2015_026_11,2015,9/16/2015,11,Cushing Island,Outer,NA,10:35,sunny,NA,NA,NA,absent,low,NA
2015_026_02,2015,9/16/2015,2,Skitterygusset,Inner,NA,11:10,sunny,NA,NA,NA,NA,NA,NA
2015_026_08,2015,9/16/2015,8,Back Cove,Mid,NA,11:55,sunny,NA,NA,NA,present,low,NA
2015_026_06,2015,9/16/2015,6,Mackworth Island - North,Mid,NA,12:40,sunny,NA,NA,NA,NA,NA,NA
2015_026_04,2015,9/16/2015,4,Mussel Cove,Mid,NA,13:21,sunny,NA,NA,NA,NA,NA,NA
2015_027_01,2015,9/24/2015,1,Presumpscot Moorings,Inner,NA,10:30,partly cloudy,18.6,9.4,11.4,absent,low,NA
2015_027_09,2015,9/24/2015,9,Great Diamond Island,Outer,NA,#VALUE!,sunny,17.4,12,34.74,present,absent,NA
2015_027_07,2015,9/24/2015,7,Mackworth Island - Beach,Mid,NA,#VALUE!,sunny,16.9,10.4,31.1,absent,high,NA
2015_027_03,2015,9/24/2015,3,Audubon,Inner,NA,#VALUE!,sunny,17.5,10.2,29.57,absent,low,NA
2015_027_10,2015,9/24/2015,10,SMCC,Outer,NA,#VALUE!,overcast,16.3,9.7,33.71,NA,NA,NA
2015_027_05,2015,9/24/2015,5,The Brothers - North,Mid,NA,#VALUE!,sunny,17.7,12,34.86,NA,NA,NA
2016_028_01,2016,6/16/2016,1,Presumpscot Moorings,Inner,gravel,10:00,sunny,20,11.4,2.7,NA,NA,NA
2016_028_03,2016,6/16/2016,3,Audubon,Inner,sand,10:40,sunny,17.7,10.7,14.8,NA,NA,NA
2016_028_06,2016,6/16/2016,6,Mackworth Island - North,Mid,sand,11:15,sunny,15.5,11,30.96,NA,NA,NA
2016_028_04,2016,6/16/2016,4,Mussel Cove,Mid,mud,11:55,sunny,17.3,11.6,30.87,NA,medium,NA
2016_028_09,2016,6/16/2016,9,Great Diamond Island,Outer,sand,12:39,sunny,15,12,30.64,NA,NA,NA
2016_028_11,2016,6/16/2016,11,Cushing Island,Outer,sand,13:00,sunny,15.4,11.5,30.7,NA,NA,NA
2016_029_12,2016,6/24/2016,12,Alewife Cove,Outer,sand,09:55,sunny,12.8,10.3,30.21,NA,low,lots of sandlance too small for mesh
2016_029_10,2016,6/24/2016,10,SMCC,Outer,sand,10:35,sunny,15,10.1,29.97,NA,NA,no catch
2016_029_05,2016,6/24/2016,5,The Brothers - North,Mid,gravel/shell,11:25,sunny,16.5,12.6,31.13,NA,NA,NA
2016_029_07,2016,6/24/2016,7,Mackworth Island - Beach,Mid,sand/shell,11:55,sunny,18.4,12.9,26.52,NA,high,NA
2016_029_02,2016,6/24/2016,2,Skitterygusset,Inner,NA,12:50,sunny,19.4,11.7,23.03,NA,medium,grass
2016_029_08,2016,6/24/2016,8,Back Cove,Mid,NA,13:50,sunny,16.3,11,29.85,NA,NA,NA
2016_030_01,2016,6/30/2016,1,Presumpscot Moorings,Inner,sand/gravel,09:40,sunny,NA,NA,NA,NA,NA,Ysi dead
2016_030_03,2016,6/30/2016,3,Audubon,Inner,sand,10:20,windy,NA,NA,NA,absent,medium,YSI batteries dead; collected sed texture sample
2016_030_06,2016,6/30/2016,6,Mackworth Island - North,Mid,sand/shell,11:00,sunny,18.6,10.7,29.9,NA,NA,site has lots of rockweed
2016_030_04,2016,6/30/2016,4,Mussel Cove,Mid,mud,11:40,sunny,25,11.7,30.8,absent,absent,no catch
2016_030_09,2016,6/30/2016,9,Great Diamond Island,Outer,mud/sand,12:30,sunny,19,12.5,30.35,NA,high,NA
2016_030_11,2016,6/30/2016,11,Cushing Island,Outer,mud/sand,13:00,sunny,17,14.3,31.28,present,low,eelgrass
2016_031_02,2016,7/13/2016,2,Skitterygusset,Inner,NA,09:30,sunny,19,8.2,26.58,absent,low,"many sturgeon jumping, mussels"
2016_031_08,2016,7/13/2016,8,Back Cove,Mid,NA,10:15,sunny,20,8.7,29.86,absent,absent,"lots of mud snails, some mussels found"
2016_031_07,2016,7/13/2016,7,Mackworth Island - Beach,Mid,NA,11:00,sunny,21.7,9.4,21.09,NA,NA,NA
2016_031_05,2016,7/13/2016,5,The Brothers - North,Mid,NA,11:50,sunny,18.8,11,31.46,present,medium,NA
2016_031_12,2016,7/13/2016,12,Alewife Cove,Outer,NA,13:00,sunny,16,11.8,31.5,present,low,NA
2016_031_10,2016,7/13/2016,10,SMCC,Outer,NA,14:00,sunny,19,13.2,30.49,present,medium,NA
2016_032_09,2016,7/19/2016,9,Great Diamond Island,Outer,sand/gravel,08:10,sunny,18.6,9.3,27.01,present,high,NA
2016_032_06,2016,7/19/2016,6,Mackworth Island - North,Mid,mud/gravel,08:35,sunny,18.8,10.2,30.36,present,high,NA
2016_032_03,2016,7/19/2016,3,Audubon,Inner,sand,09:00,sunny,20.2,9.1,22.96,absent,high,NA
2016_032_01,2016,7/19/2016,1,Presumpscot Moorings,Inner,gravel,09:37,sunny,25.6,9.7,3.8,NA,medium,NA
2016_032_04,2016,7/19/2016,4,Mussel Cove,Mid,mud,10:25,sunny,21.5,9.8,31.33,present,medium,NA
2016_032_11,2016,7/19/2016,11,Cushing Island,Outer,sand,10:55,sunny,17.9,10.6,31.29,present,medium,NA
2016_033_07,2016,7/20/2016,7,Mackworth Island - Beach,Mid,NA,11:25,NA,19,9,28.55,NA,NA,NA
2016_033_05,2016,7/20/2016,5,The Brothers - North,Mid,NA,11:50,NA,24.7,9.4,27.55,NA,NA,NA
2016_033_08,2016,7/20/2016,8,Back Cove,Mid,NA,13:00,NA,18.5,26.5,30.84,NA,NA,no catch
2016_033_12,2016,7/20/2016,12,Alewife Cove,Outer,NA,#VALUE!,NA,16,9.8,31.5,NA,NA,no catch
2016_033_10,2016,7/20/2016,10,SMCC,Outer,NA,#VALUE!,NA,17.6,10.3,30.7,present,NA,no catch
2016_033_02,2016,7/20/2016,2,Skitterygusset,Inner,NA,#VALUE!,NA,19.4,8.6,23.88,NA,NA,no catch
2016_034_09,2016,7/26/2016,9,Great Diamond Island,Outer,mud/gravel,09:13,sunny,18.6,12.7,31.03,NA,high,no catch; scattered grass in set area
2016_034_11,2016,7/26/2016,11,Cushing Island,Outer,NA,10:00,sunny,16.8,12.6,31.83,NA,high,NA
2016_034_06,2016,7/26/2016,6,Mackworth Island - North,Mid,mud/shell,11:30,sunny,22.1,13.7,30.89,NA,high,set area included large patch of eelgrass
2016_034_04,2016,7/26/2016,4,Mussel Cove,Mid,mud,12:20,sunny,24.8,10.9,31.71,NA,high,rising tide
2016_034_03,2016,7/26/2016,3,Audubon,Inner,mud/sand,13:10,sunny,22,9.4,23.15,NA,high,NA
2016_034_01,2016,7/26/2016,1,Presumpscot Moorings,Inner,mud/gravel,13:35,sunny,25.3,9.5,6.45,NA,medium,NA
2016_035_12,2016,8/2/2016,12,Alewife Cove,Outer,NA,08:40,overcast,16.2,8.9,31.55,NA,NA,no catch
2016_035_10,2016,8/2/2016,10,SMCC,Outer,sand/gravel,09:20,overcast,17.1,9.5,30.38,NA,NA,NA
2016_035_09,2016,8/2/2016,9,Great Diamond Island,Outer,sand/gravel,09:50,sunny,17.9,9.2,29.81,NA,NA,NA
2016_035_07,2016,8/2/2016,7,Mackworth Island - Beach,Mid,sand/shell,10:30,sunny,17.8,9.2,30.92,NA,NA,NA
2016_035_02,2016,8/2/2016,2,Skitterygusset,Inner,NA,10:50,sunny,19,8.5,20.92,NA,NA,NA
2016_035_08,2016,8/2/2016,8,Back Cove,Mid,gravel,11:20,sunny,18.8,9.6,30.55,NA,NA,NA
2016_036_01,2016,8/11/2016,1,Presumpscot Moorings,Inner,NA,08:45,foggy,23.2,8.5,3.83,NA,medium,NA
2016_036_03,2016,8/11/2016,3,Audubon,Inner,NA,09:15,foggy,22.4,7.9,9.38,NA,high,NA
2016_036_06,2016,8/11/2016,6,Mackworth Island - North,Mid,NA,10:00,sunny,18.2,9.5,31.62,present,high,NA
2016_036_05,2016,8/11/2016,5,The Brothers - North,Mid,NA,10:30,sunny,19.1,8.6,31.66,present,medium,NA
2016_036_04,2016,8/11/2016,4,Mussel Cove,Mid,NA,11:00,sunny,24.5,11.9,31.7,present,high,NA
2016_036_11,2016,8/11/2016,11,Cushing Island,Outer,sand,13:10,sunny,21.3,11.6,31.87,present,high,NA
2016_037_02,2016,8/18/2016,2,Skitterygusset,Inner,mud,08:30,overcast,21.6,8.2,13.4,NA,NA,NA
2016_037_08,2016,8/18/2016,8,Back Cove,Mid,gravel,09:15,sunny,18.7,7.9,30.79,NA,absent,NA
2016_037_09,2016,8/18/2016,9,Great Diamond Island,Outer,mud/sand,10:00,sunny,18.5,9.7,30.81,present,low,NA
2016_037_10,2016,8/18/2016,10,SMCC,Outer,sand,10:30,overcast,18.3,9.1,30.91,absent,low,NA
2016_037_07,2016,8/18/2016,7,Mackworth Island - Beach,Mid,sand/shell,11:00,sunny,19.4,8.5,30.8,present,medium,NA
